  *** Output file from program Haz42-Post *** 													
               *** Version 1.0 ***           													
 													
 Input filename:   													
 													
Number of hazard levels =       8												
 													
 Hazard Levels:													
     AEP         RP (yr)													
	2.00E-02	50
	1.00E-02	100
	4.44E-03	225
	2.11E-03	475
	1.03E-03	975
	4.04E-04	2475
	2.01E-04	4975
	1.00E-04	10000													
 													
Number of Spectral Periods =       21												
 													
  Period (sec)    Curve Number     Filename													
	0.010	1	DCPP_run_all_12x.out3
	0.020	2	DCPP_run_all_12x.out3
	0.030	3	DCPP_run_all_12x.out3
	0.050	4	DCPP_run_all_12x.out3
	0.075	5	DCPP_run_all_12x.out3
	0.100	6	DCPP_run_all_12x.out3
	0.150	7	DCPP_run_all_12x.out3
	0.200	8	DCPP_run_all_12x.out3
	0.250	9	DCPP_run_all_12x.out3
	0.300	10	DCPP_run_all_12x.out3
	0.400	11	DCPP_run_all_12x.out3
	0.500	12	DCPP_run_all_12x.out3
	0.750	13	DCPP_run_all_12x.out3
	1.000	14	DCPP_run_all_12x.out3
	1.500	15	DCPP_run_all_12x.out3
	2.000	16	DCPP_run_all_12x.out3
	3.000	17	DCPP_run_all_12x.out3
	4.000	18	DCPP_run_all_12x.out3
	5.000	19	DCPP_run_all_12x.out3
	7.500	20	DCPP_run_all_12x.out3
	10.000	21	DCPP_run_all_12x.out3                                                                     	
 	
 Testing Levels   :      0.02000	0.01000	0.00444	0.00211	0.00103	0.00040	0.00020	0.00010
 Return Period(yr):      50	        100	    225	    475	    975	    2475	4975	10000
       Period (sec)		
1	0.010	0.067	0.107	0.162	0.245	0.297	0.340	0.393	0.448
2	0.020	0.068	0.109	0.165	0.249	0.301	0.343	0.397	0.451
3	0.030	0.073	0.117	0.177	0.269	0.323	0.366	0.422	0.479
4	0.050	0.091	0.144	0.216	0.327	0.389	0.432	0.494	0.556
5	0.075	0.122	0.189	0.277	0.417	0.486	0.523	0.590	0.656
6	0.100	0.153	0.233	0.336	0.504	0.579	0.611	0.684	0.753
7	0.150	0.168	0.262	0.386	0.580	0.679	0.742	0.840	0.936
8	0.200	0.160	0.255	0.386	0.582	0.696	0.786	0.902	1.020
9	0.250	0.149	0.242	0.372	0.565	0.689	0.800	0.931	1.065
10	0.300	0.135	0.223	0.349	0.532	0.661	0.788	0.927	1.073
11	0.400	0.108	0.183	0.297	0.456	0.583	0.727	0.871	1.027
12	0.500	0.088	0.154	0.256	0.395	0.518	0.672	0.819	0.979
13	0.750	0.054	0.101	0.177	0.274	0.378	0.531	0.669	0.826
14	1.000	0.036	0.070	0.129	0.202	0.289	0.428	0.551	0.696
15	1.500	0.027	0.050	0.087	0.137	0.188	0.261	0.328	0.405
16	2.000	0.022	0.039	0.067	0.105	0.140	0.185	0.228	0.277
17	3.000	0.015	0.026	0.043	0.068	0.088	0.108	0.130	0.155
18	4.000	0.012	0.020	0.032	0.050	0.063	0.073	0.087	0.102
19	5.000	0.009	0.015	0.023	0.037	0.046	0.052	0.061	0.070
20	7.500	0.006	0.009	0.013	0.020	0.024	0.026	0.030	0.034
21	10.000	0.003	0.005	0.007	0.012	0.014	0.014	0.016	0.018
 	
Median: 	
1	0.010	***	***	***	***	***	***	***	***
2	0.020	***	***	***	***	***	***	***	***
3	0.030	***	***	***	***	***	***	***	***
4	0.050	***	***	***	***	***	***	***	***
5	0.075	***	***	***	***	***	***	***	***
6	0.100	***	***	***	***	***	***	***	***
7	0.150	***	***	***	***	***	***	***	***
8	0.200	***	***	***	***	***	***	***	***
9	0.250	***	***	***	***	***	***	***	***
10	0.300	***	***	***	***	***	***	***	***
11	0.400	***	***	***	***	***	***	***	***
12	0.500	***	***	***	***	***	***	***	***
13	0.750	***	***	***	***	***	***	***	***
14	1.000	***	***	***	***	***	***	***	***
15	1.500	***	***	***	***	***	***	***	***
16	2.000	***	***	***	***	***	***	***	***
17	3.000	***	***	***	***	***	***	***	***
18	4.000	***	***	***	***	***	***	***	***
19	5.000	***	***	***	***	***	***	***	***
20	7.500	***	***	***	***	***	***	***	***
21	10.000	***	***	***	***	***	***	***	***

Sigma: 	
1	0.010	0.594	0.594	0.594	0.594	0.594	0.594	0.594	0.594
2	0.020	0.596	0.596	0.596	0.596	0.596	0.596	0.596	0.596
3	0.030	0.605	0.605	0.605	0.605	0.605	0.605	0.605	0.605
4	0.050	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627
5	0.075	0.644	0.644	0.644	0.644	0.644	0.644	0.644	0.644
6	0.100	0.650	0.650	0.650	0.650	0.650	0.650	0.650	0.650
7	0.150	0.641	0.641	0.641	0.641	0.641	0.641	0.641	0.641
8	0.200	0.637	0.637	0.637	0.637	0.637	0.637	0.637	0.637
9	0.250	0.638	0.638	0.638	0.638	0.638	0.638	0.638	0.638
10	0.300	0.644	0.644	0.644	0.644	0.644	0.644	0.644	0.644
11	0.400	0.654	0.654	0.654	0.654	0.654	0.654	0.654	0.654
12	0.500	0.668	0.668	0.668	0.668	0.668	0.668	0.668	0.668
13	0.750	0.696	0.696	0.696	0.696	0.696	0.696	0.696	0.696
14	1.000	0.707	0.707	0.707	0.707	0.707	0.707	0.707	0.707
15	1.500	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712
16	2.000	0.712	0.712	0.712	0.712	0.712	0.712	0.712	0.712
17	3.000	0.711	0.711	0.711	0.711	0.711	0.711	0.711	0.711
18	4.000	0.701	0.701	0.701	0.701	0.701	0.701	0.701	0.701
19	5.000	0.702	0.702	0.702	0.702	0.702	0.702	0.702	0.702
20	7.500	0.698	0.698	0.698	0.698	0.698	0.698	0.698	0.698
21	10.000	0.687	0.687	0.687	0.687	0.687	0.687	0.687	0.687

Rho: 	
1	0.010	0.519	0.519	0.519	0.519	0.519	0.519	0.519	0.519
2	0.020	0.504	0.504	0.504	0.504	0.504	0.504	0.504	0.504
3	0.030	0.481	0.481	0.481	0.481	0.481	0.481	0.481	0.481
4	0.050	0.416	0.416	0.416	0.416	0.416	0.416	0.416	0.416
5	0.075	0.330	0.330	0.330	0.330	0.330	0.330	0.330	0.330
6	0.100	0.279	0.279	0.279	0.279	0.279	0.279	0.279	0.279
7	0.150	0.360	0.360	0.360	0.360	0.360	0.360	0.360	0.360
8	0.200	0.444	0.444	0.444	0.444	0.444	0.444	0.444	0.444
9	0.250	0.514	0.514	0.514	0.514	0.514	0.514	0.514	0.514
10	0.300	0.573	0.573	0.573	0.573	0.573	0.573	0.573	0.573
11	0.400	0.671	0.671	0.671	0.671	0.671	0.671	0.671	0.671
12	0.500	0.749	0.749	0.749	0.749	0.749	0.749	0.749	0.749
13	0.750	0.895	0.895	0.895	0.895	0.895	0.895	0.895	0.895
14	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
15	1.500	0.852	0.852	0.852	0.852	0.852	0.852	0.852	0.852
16	2.000	0.749	0.749	0.749	0.749	0.749	0.749	0.749	0.749
17	3.000	0.609	0.609	0.609	0.609	0.609	0.609	0.609	0.609
18	4.000	0.514	0.514	0.514	0.514	0.514	0.514	0.514	0.514
19	5.000	0.444	0.444	0.444	0.444	0.444	0.444	0.444	0.444
20	7.500	0.328	0.328	0.328	0.328	0.328	0.328	0.328	0.328
21	10.000	0.254	0.254	0.254	0.254	0.254	0.254	0.254	0.254




   
