# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
7.074,-70.748,PGA,0.032189,0-20,0.000049501242756377906,0.000019858454834320582,0.00000848929448693525,0.0000010343438816562411,0,6.005202521919273e-7,0,0
7.074,-70.748,PGA,0.032189,20-40,0.00012174789299024269,0.00005916012014495209,0.00002504191616026219,0.0000028031511192239122,6.738317210874811e-7,0.000005826806500408566,0,0
7.074,-70.748,PGA,0.032189,40-60,0.0000878589489730075,0.00006146412488305941,0.000033178450394188985,0.000030299635909614153,0.0000416342300013639,0.000025275774532929063,0,0
7.074,-70.748,PGA,0.032189,60-80,0.0003248595749028027,0.0004167600709479302,0.000360732723493129,0.00021198971080593765,0.00010441435733810067,0.000041243096347898245,0,0
7.074,-70.748,PGA,0.032189,80-100,0.00039559431024827063,0.0005848387954756618,0.0005096938111819327,0.0003002159355673939,0.00015092946705408394,0.00005924768265685998,0,0
7.074,-70.748,PGA,0.032189,100-120,0.0002776657056529075,0.0006470628431998193,0.0007830895483493805,0.0006897358107380569,0.0005363861564546824,0.00013402668992057443,0,0
7.074,-70.748,PGA,0.032189,120-140,0.00020687236974481493,0.000716982816811651,0.0010524566750973463,0.0013659870019182563,0.00048364949179813266,0.00005789583156001754,0,0
7.074,-70.748,PGA,0.032189,140-160,0.00010245468001812696,0.0005698867607861757,0.0009743716800585389,0.0008201333694159985,0.00039233354618772864,0.00006251582090044394,0,0
7.074,-70.748,PGA,0.032189,160-180,0.000028518772523966618,0.0003064314660150558,0.0006497869035229087,0.0024251299910247326,0.001766661647707224,0.0004993753391318023,0,0
7.074,-70.748,PGA,0.032189,180-200,0.0000054528022701560985,0.00015092546527739614,0.0004242748545948416,0.001445823349058628,0.0013589307200163603,0.0003218093188479543,0,0
7.074,-70.748,PGA,0.032189,200-220,3.7729077462245186e-7,0.00008151401561917737,0.0002988195337820798,0.0006621889770030975,0.00029843178344890475,0.000012854282431362662,0,0
7.074,-70.748,PGA,0.032189,220-240,0,0.00004312948658480309,0.00020391032740008086,0.0003067615325562656,0.0005175035912543535,0.00018187498790211976,0,0
7.074,-70.748,PGA,0.032189,240-260,0,0.000014040929272596259,0.0002546151226852089,0.0007297889096662402,0.00038276216946542263,0.00007249684858834371,0,0
7.074,-70.748,PGA,0.032189,260-280,0,0.000004804115633305628,0.0006126462249085307,0.0014638921711593866,0.00015158529276959598,0.00002250027500849683,0,0
7.074,-70.748,PGA,0.032189,280-300,0,0.0000021447033304866636,0.0003998805186711252,0.0008027141448110342,0.0001237778487848118,0.00005192726894165389,0,0
7.074,-70.748,PGA,0.032189,300-320,0,0.0000011223322644582368,0.0002702687052078545,0.0008257068111561239,0.00043076323345303535,0.00009063210018211976,0,0
7.074,-70.748,PGA,0.032189,320-340,0,2.1349430312511686e-7,0.0000769126636441797,0.00026062605320475996,0.000034518241591285914,0.000012037869055347983,0,0
7.074,-70.748,PGA,0.032189,340-360,0,0,0.000015800576875335537,0.000045496584789361805,0.00001003532361210091,0.000004767007339978591,0,0
7.074,-70.748,PGA,0.032189,360-380,0,0,4.7350698650916456e-7,0.000004171910859440686,0,0,0,0
7.074,-70.748,PGA,0.032189,380-400,0,0,1.5073819525923682e-8,0.0000013533135643228889,0,0,0,0
7.074,-70.748,PGA,0.004438,0-20,0.00003233286406612024,0.000016089015844045207,0.000007665051271033008,9.714395901028183e-7,0,5.892581498301297e-7,0,0
7.074,-70.748,PGA,0.004438,20-40,0.00003440576620050706,0.000026821102437679656,0.00001570363929204177,0.0000020444983874767786,5.779102139058523e-7,0.00000530353327121702,0,0
7.074,-70.748,PGA,0.004438,40-60,0.000009916503586282488,0.000013828766896040179,0.000012671429431065917,0.00001685918505245354,0.000029911027013440616,0.000020870678781648166,0,0
7.074,-70.748,PGA,0.004438,60-80,0.000015590763723594137,0.000055192878789966926,0.00009491811943007633,0.00009171342389890924,0.0000634477473795414,0.00003071391984121874,0,0
7.074,-70.748,PGA,0.004438,80-100,0.000008294376129924785,0.00004981825259164907,0.0000936202923185192,0.0000986635495792143,0.00007633330096723512,0.000039112775993999094,0,0
7.074,-70.748,PGA,0.004438,100-120,8.779688300819544e-7,0.000031209932785714045,0.00010011927952291444,0.00016289441555272788,0.00021227089746389538,0.00007027071842458099,0,0
7.074,-70.748,PGA,0.004438,120-140,0,0.00001754731420078315,0.00009697817586129531,0.00029557981179095805,0.00017103226855397224,0.000026955063731293194,0,0
7.074,-70.748,PGA,0.004438,140-160,0,0.00000581103950025863,0.00006489775114459917,0.00013917194155510515,0.00011637733405223116,0.000026369887564214878,0,0
7.074,-70.748,PGA,0.004438,160-180,0,7.325397746171802e-7,0.000030118653739918955,0.00025309601915068924,0.0003658377390820533,0.00015779580280650407,0,0
7.074,-70.748,PGA,0.004438,180-200,0,0,0.000013193592167226598,0.00012940871238242835,0.00025922991335392,0.00009232046431861818,0,0
7.074,-70.748,PGA,0.004438,200-220,0,0,0.000005862582838744856,0.00005136597610544413,0.00005564240927924402,0.0000035010527881240705,0,0
7.074,-70.748,PGA,0.004438,220-240,0,0,0.0000024278970158775337,0.00002217891233158298,0.0000714868656359613,0.00004393637937027961,0,0
7.074,-70.748,PGA,0.004438,240-260,0,0,0.000003830440618912689,0.00004995254130335525,0.000053647116146748886,0.000016592946849414147,0,0
7.074,-70.748,PGA,0.004438,260-280,0,0,0.000005287924523145193,0.00009347584273200482,0.00002208623664046172,0.000005352940661396133,0,0
7.074,-70.748,PGA,0.004438,280-300,0,0,5.785893222309824e-7,0.00003374262450961396,0.000011990487109869719,0.00000955502127908403,0,0
7.074,-70.748,PGA,0.004438,300-320,0,0,0,0.000017110476619563997,0.00004055189128848724,0.000014605784599552862,0,0
7.074,-70.748,PGA,0.004438,320-340,0,0,0,0.0000027230955765844556,0.0000028264723823667737,0.0000021691237179766176,0,0
7.074,-70.748,PGA,0.004438,340-360,0,0,0,2.1435654673496174e-7,7.578231020488602e-7,8.101105777313933e-7,0,0
7.074,-70.748,PGA,0.004438,360-380,0,0,0,0,0,0,0,0
7.074,-70.748,PGA,0.004438,380-400,0,0,0,0,0,0,0,0
7.074,-70.748,PGA,0.002105,0-20,0.000024799119273666292,0.000013702031537832227,0.00000697331597621087,9.091886568057816e-7,0,5.72852513869293e-7,0,0
7.074,-70.748,PGA,0.002105,20-40,0.00001888119732029736,0.000017496866348665208,0.00001169901679531904,0.0000016320018403348513,5.03728244893864e-7,0.000004827109933103202,0,0
7.074,-70.748,PGA,0.002105,40-60,0.0000037595941648760345,0.0000068920012381568085,0.000007656528396182694,0.000011847382666019257,0.00002367958404647652,0.000017809019482228905,0,0
7.074,-70.748,PGA,0.002105,60-80,0.000003326625119370874,0.000022445025024353527,0.000050110633310396224,0.00005823793981107883,0.00004635650111595169,0.000024725490220589563,0,0
7.074,-70.748,PGA,0.002105,80-100,8.281159011858108e-7,0.000016203499399125576,0.00004328508657636121,0.0000563936737307813,0.00005151210643816739,0.000029633432859554887,0,0
7.074,-70.748,PGA,0.002105,100-120,0,0.000006642429070780054,0.00004004779475508258,0.00008247410005424172,0.00012971123214811087,0.000047925121180014685,0,0
7.074,-70.748,PGA,0.002105,120-140,0,0.0000019381905076443218,0.000032938329241005704,0.00014426764391828328,0.00009968871017917991,0.000017466860299464315,0,0
7.074,-70.748,PGA,0.002105,140-160,0,1.0389422300249862e-7,0.000017798647604649886,0.00006201282667461783,0.00006371774361468852,0.000016493157090735622,0,0
7.074,-70.748,PGA,0.002105,160-180,0,0,0.00000609427661402151,0.00009205067181028426,0.00017608633788768202,0.00008818878268357366,0,0
7.074,-70.748,PGA,0.002105,180-200,0,0,0.0000018497212295187637,0.000043106701923534274,0.00012093021359760314,0.00004965439438819885,0,0
7.074,-70.748,PGA,0.002105,200-220,0,0,4.7055590357558685e-7,0.000015627221728209406,0.000025747558538569137,0.0000018571234932096559,0,0
7.074,-70.748,PGA,0.002105,220-240,0,0,4.2864972016332104e-8,0.000006428067536035087,0.000029609189368784428,0.000022493746655527502,0,0
7.074,-70.748,PGA,0.002105,240-260,0,0,1.9783470861511887e-7,0.000013979260984342545,0.00002223855881311465,0.000008229862942243926,0,0
7.074,-70.748,PGA,0.002105,260-280,0,0,3.9947796182104867e-8,0.00002443938865326345,0.0000092814279923914,0.0000027067710561823333,0,0
7.074,-70.748,PGA,0.002105,280-300,0,0,0,0.000006191964985191589,0.000004195758265268523,0.000004400742909638211,0,0
7.074,-70.748,PGA,0.002105,300-320,0,0,0,0.0000015862217424000846,0.000013935979040979873,0.000006376978490152396,0,0
7.074,-70.748,PGA,0.002105,320-340,0,0,0,1.7428214960091282e-7,8.897288239495538e-7,9.906735840559122e-7,0,0
7.074,-70.748,PGA,0.002105,340-360,0,0,0,1.0465681654636683e-8,2.274592389994723e-7,3.6206211007083766e-7,0,0
7.074,-70.748,PGA,0.002105,360-380,0,0,0,0,0,0,0,0
7.074,-70.748,PGA,0.002105,380-400,0,0,0,0,0,0,0,0
7.074,-70.748,PGA,0.001026,0-20,0.000018160924810217693,0.00001117590545618441,0.000006121215847088024,8.253190344476025e-7,0,5.457969791677897e-7,0,0
7.074,-70.748,PGA,0.001026,20-40,0.000009895382390823215,0.000010852458217414096,0.00000826653831609292,0.0000012355933449725853,4.182945758657297e-7,0.000004220962182444055,0,0
