# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467,iml_5.0000000000000036
PGA,mean,4.536,-75.681,0.5649136304855347,0.49240002036094666,0.41331347823143005,0.33299288153648376,0.2568485736846924,0.18955662846565247,0.13390977680683136,0.09035667777061462,0.0577603355050087,0.03447573259472847,0.01886742189526558,0.009291772730648518,0.004044635221362114,0.0015302128158509731,0.0004960699006915092,0.0001356056018266827,0.0000306753754557576,,,
PGA,quantile-0.15,4.536,-75.681,0.5137221217155457,0.4448241889476776,0.37453627586364746,0.2975442409515381,0.22661109268665314,0.16605953872203827,0.11521030217409134,0.07708854973316193,0.04899154230952263,0.028798101469874382,0.015727384015917778,0.007580942939966917,0.0032829411793500185,0.0012005915632471442,0.0003669845755212009,0.00008835561311570928,0.000015645744497305714,,,
PGA,quantile-0.85,4.536,-75.681,0.6187947392463684,0.5442180633544922,0.4561801552772522,0.36308756470680237,0.2791522741317749,0.20755921304225922,0.14864897727966309,0.1021551787853241,0.06702397763729095,0.041228700429201126,0.023178566247224808,0.011618278920650482,0.005207127425819635,0.0020208051428198814,0.0006872991216368973,0.00021398653916548938,0.000055720596719766036,0.000013855388715455774,,
SA(0.1),mean,4.536,-75.681,0.6280690431594849,0.5736114978790283,0.5088900327682495,0.4371788799762726,0.36258992552757263,0.2895946204662323,0.222451850771904,0.1643611043691635,0.11677737534046173,0.07949148863554001,0.05136088281869888,0.031041229143738747,0.01724097691476345,0.008643800392746925,0.00384530914016068,0.0014916193904355168,0.0004936705809086561,0.0001351304235868156,0.000029529910534620285,
SA(0.1),quantile-0.15,4.536,-75.681,0.583206057548523,0.5220937728881836,0.4551917612552643,0.3916865587234497,0.3229314982891083,0.25543951988220215,0.19412563741207123,0.14144650101661682,0.09781720489263535,0.06668173521757126,0.04348732531070709,0.025057274848222733,0.01287989504635334,0.005915128160268068,0.0025648234877735376,0.000992962741293013,0.0003268005093559623,0.00007250359340105206,,
SA(0.1),quantile-0.85,4.536,-75.681,0.6913875341415405,0.6462653875350952,0.5833669900894165,0.5049061179161072,0.4170682430267334,0.33234840631484985,0.25564977526664734,0.18738466501235962,0.13244813680648804,0.0913105458021164,0.06032407656311989,0.03628237918019295,0.02048654481768608,0.010672410950064659,0.0048752278089523315,0.001906912075355649,0.000641106569673866,0.00019957467156928033,0.000057739700423553586,0.000015176663509919308
SA(0.2),mean,4.536,-75.681,0.6509311199188232,0.5990424156188965,0.533624529838562,0.4581301510334015,0.37777626514434814,0.29855239391326904,0.2260182648897171,0.164077490568161,0.11424354463815689,0.07598419487476349,0.047785595059394836,0.02798701450228691,0.015005216002464294,0.007244678679853678,0.0031021940521895885,0.0011601089499890804,0.0003723941626958549,0.00010036840831162408,0.00002200376366090495,
SA(0.2),quantile-0.15,4.536,-75.681,0.6176655292510986,0.5599391460418701,0.4920040965080261,0.41956573724746704,0.34934234619140625,0.2739947736263275,0.20458129048347473,0.1459304243326187,0.09989520162343979,0.06517782062292099,0.0405084490776062,0.023463819175958633,0.01222866028547287,0.005640179384499788,0.0023099284153431654,0.0008259640308097005,0.00024995606509037316,0.000057340050261700526,,
SA(0.2),quantile-0.85,4.536,-75.681,0.6997143030166626,0.6549109816551208,0.5905854105949402,0.5087627172470093,0.4159075617790222,0.3247551918029785,0.24344965815544128,0.17780497670173645,0.12534117698669434,0.08457586169242859,0.053987305611371994,0.032385680824518204,0.01785380393266678,0.00897696428000927,0.004042835906147957,0.0015479192370548844,0.0005128374323248863,0.00014519922842737287,0.00003927722718799487,
SA(0.3),mean,4.536,-75.681,0.6415027976036072,0.5838361978530884,0.5124502182006836,0.4318912923336029,0.34826987981796265,0.26809656620025635,0.1969439834356308,0.13813772797584534,0.09235785156488419,0.05845288559794426,0.034587424248456955,0.018845655024051666,0.009314081631600857,0.004116498399525881,0.001604288350790739,0.0005448992596939206,0.00015913991956040263,0.00003916399145964533,,
