# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
10.978,-74.813,PGA,0.032189,0-20,0.0007161193061619997,0.00032288365764543414,0.00015223363880068064,0.00005608688297797926,0,0,0,0
10.978,-74.813,PGA,0.032189,20-40,0.002907948801293969,0.00156712019816041,0.0008265143842436373,0.00024268987181130797,0,0,0,0
10.978,-74.813,PGA,0.032189,40-60,0.003443103516474366,0.002559063257649541,0.0014538532122969627,0.00031411254894919693,0,0,0,0
10.978,-74.813,PGA,0.032189,60-80,0.002094712806865573,0.0020201888401061296,0.0012276670895516872,0.00018488525529392064,0,0,0,0
10.978,-74.813,PGA,0.032189,80-100,0.000882076274137944,0.0012212105793878436,0.0009676556219346821,0.00014823769743088633,0,0,0,0
10.978,-74.813,PGA,0.032189,100-120,0.00036607004585675895,0.0007340210722759366,0.0007482895161956549,0.00011681499017868191,0,0,0,0
10.978,-74.813,PGA,0.032189,120-140,0.00014942891721148044,0.00045019452227279544,0.0007225819281302392,0.0001544286060379818,0,0,0,0
10.978,-74.813,PGA,0.032189,140-160,0.000057001925597433,0.0002771615399979055,0.0006745593273080885,0.00019490615522954613,0,0,0,0
10.978,-74.813,PGA,0.032189,160-180,0.00001860085831140168,0.0001696901163086295,0.0005902816192246974,0.00020239756850060076,0,0,0,0
10.978,-74.813,PGA,0.032189,180-200,0.000004410836936585838,0.00010123282845597714,0.0004922233638353646,0.00019622266700025648,0,0,0,0
10.978,-74.813,PGA,0.032189,200-220,9.151381163974293e-7,0.00006959618622204289,0.00037298741517588496,0.0001473590382374823,0,0,0,0
10.978,-74.813,PGA,0.032189,220-240,4.585196222706145e-7,0.0000483504481962882,0.00029345485381782055,0.00010954965546261519,0,0,0,0
10.978,-74.813,PGA,0.032189,240-260,2.818517330638315e-8,0.000030118806535028853,0.0002657892182469368,0.00012493955728132278,0,0,0,0
10.978,-74.813,PGA,0.032189,260-280,0,0.000023716076611890458,0.00028831054805777967,0.0001356100692646578,0,0,0,0
10.978,-74.813,PGA,0.032189,280-300,0,0.00001806305954232812,0.00023457969655282795,0.00008232523396145552,0,0,0,0
10.978,-74.813,PGA,0.032189,300-320,0,0.000011699100468831602,0.0001845427177613601,0.000050931022997247055,0.0000027540042992768576,0,0,0
10.978,-74.813,PGA,0.032189,320-340,0,0.00000647672641207464,0.00015308587171602994,0.0000856647384352982,0.000017284492059843615,0,0,0
10.978,-74.813,PGA,0.032189,340-360,0,0.0000020402521840878762,0.00007328850915655494,0.00008317563333548605,0.0000135936234073597,6.661696971832498e-9,0,0
10.978,-74.813,PGA,0.032189,360-380,0,0,0.000009953576409316156,0.000054270363762043417,0,0,0,0
10.978,-74.813,PGA,0.032189,380-400,0,0,0.0000037775437249365496,0.000036770663427887484,0,0,0,0
10.978,-74.813,PGA,0.004438,0-20,0.00042172212852165103,0.000243149115704,0.0001317487476626411,0.00005145569230080582,0,0,0,0
10.978,-74.813,PGA,0.004438,20-40,0.0005448650917969644,0.0005461761611513793,0.0004449025436770171,0.00016448600217700005,0,0,0,0
10.978,-74.813,PGA,0.004438,40-60,0.0001968651922652498,0.00036997508141212165,0.00041804250213317573,0.00013577911886386573,0,0,0,0
10.978,-74.813,PGA,0.004438,60-80,0.00003382778595550917,0.00012923777103424072,0.00019091983267571777,0.00004927051850245334,0,0,0,0
10.978,-74.813,PGA,0.004438,80-100,0.0000014873272675686167,0.000033637217711657286,0.00008392285235458985,0.000024630853658891283,0,0,0,0
10.978,-74.813,PGA,0.004438,100-120,0,0.000007276800715771969,0.00003829761772067286,0.000012604571566043887,0,0,0,0
10.978,-74.813,PGA,0.004438,120-140,0,9.863957757261232e-7,0.00003380924681550823,0.000024748165742494166,0,0,0,0
10.978,-74.813,PGA,0.004438,140-160,0,2.173759394707986e-9,0.000021996826035319827,0.000027884167138836347,0,0,0,0
10.978,-74.813,PGA,0.004438,160-180,0,0,0.000013232412129582372,0.000022878881281940266,0,0,0,0
10.978,-74.813,PGA,0.004438,180-200,0,0,0.000007952279702294618,0.00001532883288746234,0,0,0,0
10.978,-74.813,PGA,0.004438,200-220,0,0,0.0000028481044864747673,0.0000074083909566979855,0,0,0,0
10.978,-74.813,PGA,0.004438,220-240,0,0,0.0000013727069472224684,0.0000044487933337222785,0,0,0,0
10.978,-74.813,PGA,0.004438,240-260,0,0,6.515331278933445e-7,0.0000041114772102446295,0,0,0,0
10.978,-74.813,PGA,0.004438,260-280,0,0,1.5200218683730782e-7,0.0000023186207727121655,0,0,0,0
10.978,-74.813,PGA,0.004438,280-300,0,0,2.1697212915228192e-9,7.4217359724571e-7,0,0,0,0
10.978,-74.813,PGA,0.004438,300-320,0,0,0,2.083092880411641e-7,1.5482164883451333e-7,0,0,0
10.978,-74.813,PGA,0.004438,320-340,0,0,0,1.0675884709598904e-7,6.90110255163745e-7,0,0,0
10.978,-74.813,PGA,0.004438,340-360,0,0,0,6.723193735069799e-8,4.749744562104752e-7,1.123950044146227e-9,0,0
10.978,-74.813,PGA,0.004438,360-380,0,0,0,0,0,0,0,0
10.978,-74.813,PGA,0.004438,380-400,0,0,0,0,0,0,0,0
10.978,-74.813,PGA,0.002105,0-20,0.0002793326857499778,0.00018421353888697922,0.00011002978135365993,0.00004520579386735335,0,0,0,0
10.978,-74.813,PGA,0.002105,20-40,0.00021051718795206398,0.0002704405633267015,0.00026995313237421215,0.00011325284867780283,0,0,0,0
10.978,-74.813,PGA,0.002105,40-60,0.00004138082658755593,0.00012456686818040907,0.00018689608259592205,0.00007243553409352899,0,0,0,0
10.978,-74.813,PGA,0.002105,60-80,0.000001714129098218109,0.000028766211471520364,0.00006560570909641683,0.00002100531492033042,0,0,0,0
10.978,-74.813,PGA,0.002105,80-100,0,0.000003263162625444238,0.000022132180674816482,0.000008579509994888213,0,0,0,0
10.978,-74.813,PGA,0.002105,100-120,0,7.789417111325747e-8,0.000007157767868193332,0.0000036363614981382852,0,0,0,0
10.978,-74.813,PGA,0.002105,120-140,0,0,0.000006303746886260342,0.000009369166036776733,0,0,0,0
10.978,-74.813,PGA,0.002105,140-160,0,0,0.00000319758305522555,0.000009256411431124434,0,0,0,0
10.978,-74.813,PGA,0.002105,160-180,0,0,0.0000015984255696821492,0.000006853135346318595,0,0,0,0
10.978,-74.813,PGA,0.002105,180-200,0,0,0.000001029906457006291,0.00000385708563044318,0,0,0,0
10.978,-74.813,PGA,0.002105,200-220,0,0,1.8146241131944407e-7,0.0000014535203263221774,0,0,0,0
10.978,-74.813,PGA,0.002105,220-240,0,0,4.885114179842276e-8,8.468240935144422e-7,0,0,0,0
10.978,-74.813,PGA,0.002105,240-260,0,0,1.1268304067613144e-9,6.36854451840918e-7,0,0,0,0
10.978,-74.813,PGA,0.002105,260-280,0,0,0,1.8536064771979e-7,0,0,0,0
10.978,-74.813,PGA,0.002105,280-300,0,0,0,2.514943808762382e-8,0,0,0,0
10.978,-74.813,PGA,0.002105,300-320,0,0,0,2.030326573532193e-9,3.113782653940689e-8,0,0,0
10.978,-74.813,PGA,0.002105,320-340,0,0,0,7.435296822677628e-11,1.0517686632738332e-7,0,0,0
