# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
10.978,-74.813,Active Shallow Crust,PGA,0.029869094491004944,0.004316064529120922,0.002073555253446102,0.0010177245130762458,0.0004033442528452724
10.978,-74.813,Active Shallow Crust,SA(0.1),0.03024541772902012,0.004337945953011513,0.0020809920970350504,0.0010196807561442256,0.0004048100672662258
10.978,-74.813,Active Shallow Crust,SA(0.2),0.029409032315015793,0.0042098467238247395,0.002033350057899952,0.0010062766959890723,0.0004023239598609507
10.978,-74.813,Active Shallow Crust,SA(0.3),0.028617333620786667,0.0041346559301018715,0.002006704919040203,0.0009988696547225118,0.0004006246163044125
10.978,-74.813,Active Shallow Crust,SA(0.5),0.02833135426044464,0.004125162959098816,0.002004516776651144,0.0009969861712306738,0.00040023421752266586
10.978,-74.813,Active Shallow Crust,SA(0.7),0.027854155749082565,0.00410003075376153,0.0019985074177384377,0.000997102470137179,0.00040037636063061655
10.978,-74.813,Active Shallow Crust,SA(1.0),0.02718716487288475,0.0040285722352564335,0.0019719526171684265,0.0009891183581203222,0.0003980337642133236
10.978,-74.813,Active Shallow Crust,SA(1.5),0.02666012942790985,0.004007149953395128,0.001971473451703787,0.0009902989258989692,0.00039840565295889974
10.978,-74.813,Active Shallow Crust,SA(2.0),0.02584994025528431,0.003943077754229307,0.0019554526079446077,0.0009827365865930915,0.00039783690590411425
10.978,-74.813,Active Shallow Crust,SA(2.5),0.026148151606321335,0.003991640172898769,0.001977721694856882,0.0009947282960638404,0.0004017034952994436
10.978,-74.813,Active Shallow Crust,SA(3.0),0.0265699103474617,0.004067304078489542,0.0020024790428578854,0.0010032611899077892,0.00040138151962310076
10.978,-74.813,Active Shallow Crust,SA(4.0),0.02777303196489811,0.004200637806206942,0.0020474970806390047,0.0010121612576767802,0.0004037423641420901
10.978,-74.813,Active Shallow Crust,SA(5.0),0,0.004308923147618771,0.0020824228413403034,0.001027313177473843,0.0004081493243575096
10.978,-74.813,Deep Seismicity,PGA,0.0024621165357530117,0.0001442020875401795,0.000039696769817965105,0.000009905310434987769,0.0000012832424545194954
10.978,-74.813,Deep Seismicity,SA(0.1),0.0020162658765912056,0.00013480371853802353,0.00004142655598116107,0.000011936288501601666,0.0000020117604435654357
10.978,-74.813,Deep Seismicity,SA(0.2),0.0030776136554777622,0.0002655708813108504,0.00009220099309459329,0.000030444125513895415,0.000006188278348417953
10.978,-74.813,Deep Seismicity,SA(0.3),0.00367919378913939,0.00032051574089564383,0.00011100333358626813,0.00003654437023214996,0.000007256690423673717
10.978,-74.813,Deep Seismicity,SA(0.5),0.004127659369260073,0.0003441210719756782,0.00011583391460590065,0.000036760517104994506,0.00000686582416165038
10.978,-74.813,Deep Seismicity,SA(0.7),0.004489598795771599,0.000355457334080711,0.00011680858733598143,0.00003647170524345711,0.000006719106295349775
10.978,-74.813,Deep Seismicity,SA(1.0),0.005327652674168348,0.0004170117317698896,0.0001341461465926841,0.00004103321771253832,0.000007512598131143022
10.978,-74.813,Deep Seismicity,SA(1.5),0.005758121609687805,0.00043449344229884446,0.00013532534649129957,0.00003972088234149851,0.000006941990704945056
10.978,-74.813,Deep Seismicity,SA(2.0),0.0067086732015013695,0.0005161023000255227,0.0001584093988640234,0.00004490243372856639,0.000007640163858013693
10.978,-74.813,Deep Seismicity,SA(2.5),0.006505607161670923,0.0004763624456245452,0.00014198265853337944,0.00003905608900822699,0.000006334571025945479
10.978,-74.813,Deep Seismicity,SA(3.0),0.00577588053420186,0.00037263508420437574,0.00010390320676378906,0.00002673646667972207,0.000003911168278136756
10.978,-74.813,Deep Seismicity,SA(4.0),0.00471891276538372,0.0002561933360993862,0.00006668262358289212,0.000016021227565943263,0.0000021133512291271472
10.978,-74.813,Deep Seismicity,SA(5.0),0,0.00015823521243873984,0.00003828977423836477,0.000008776094546192326,9.90241233012057e-7
10.978,-74.813,Subduction Interface,PGA,0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(0.1),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(0.2),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(0.3),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(0.5),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(0.7),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(1.0),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(1.5),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(2.0),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(2.5),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(3.0),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(4.0),0,0,0,0,0
10.978,-74.813,Subduction Interface,SA(5.0),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,PGA,0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(0.1),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(0.2),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(0.3),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(0.5),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(0.7),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(1.0),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(1.5),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(2.0),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(2.5),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(3.0),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(4.0),0,0,0,0,0
10.978,-74.813,Subduction IntraSlab,SA(5.0),0,0,0,0,0
