# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
7.116,-73.133,PGA,0.032189,0-20,0.0006324638379737735,0.0003187014372088015,0.00016075071471277624,0.0006072701653465629,0.00041613870416767895,0.00010774891416076571,0,0
7.116,-73.133,PGA,0.032189,20-40,0.0010190154425799847,0.0008239869493991137,0.0005280828918330371,0.0004230344493407756,0.00009125614451477304,0.00002005778696911875,0,0
7.116,-73.133,PGA,0.032189,40-60,0.0004961200174875557,0.0007020833436399698,0.0006228003185242414,0.0003493647964205593,0.00012403396249283105,0.00004012745193904266,0,0
7.116,-73.133,PGA,0.032189,60-80,0.00010997182107530534,0.00031764793675392866,0.00042683168430812657,0.00024729513097554445,0.0000652312082820572,0.00002429578671581112,0,0
7.116,-73.133,PGA,0.032189,80-100,0.000012334347957221325,0.00012112693366361782,0.0002574603131506592,0.0003168742114212364,0.00023955368669703603,0.00006814434163970873,0,0
7.116,-73.133,PGA,0.032189,100-120,2.9197823891990993e-7,0.00004584507041727193,0.0023331858683377504,0.002315218560397625,0.00009202035289490595,0.000026011761292465962,0,0
7.116,-73.133,PGA,0.032189,120-140,0,0.000009853830306383315,0.00400920957326889,0.00428187008947134,0.00022626925783697516,0.00007066800753818825,0,0
7.116,-73.133,PGA,0.032189,140-160,0,9.095407449422055e-7,0.0020255788695067167,0.0027425563894212246,0.00018634807202033699,0.00008682949555804953,0,0
7.116,-73.133,PGA,0.032189,160-180,0,2.039356683525284e-9,0.0014588892227038741,0.0017055063508450985,0.00015732231258880347,0.00001074682495527668,0,0
7.116,-73.133,PGA,0.032189,180-200,0,0,0.0005528136971406639,0.0005505092558450997,0.00011158415873069316,0.000028083222787245177,0,0
7.116,-73.133,PGA,0.032189,200-220,0,0,0.00005602998498943634,0.00007958837522892281,0.000036986581108067185,0.000010377709259046242,0,0
7.116,-73.133,PGA,0.032189,220-240,0,0,0.00000661871172269457,0.000027391455660108477,0.0000558543652005028,0.000026434543542563915,0,0
7.116,-73.133,PGA,0.032189,240-260,0,0,0.0000025177942006848752,0.000024514656615792774,0.0000212163995456649,0.000003193561042280635,0,0
7.116,-73.133,PGA,0.032189,260-280,0,0,0.0000015383059235318797,0.000012751694157486781,0.000012882806004199665,0.0000015545008409389993,0,0
7.116,-73.133,PGA,0.032189,280-300,0,0,7.37190930522047e-7,0.000006834871328464942,0.00002040536855929531,0.000014576224202755839,0,0
7.116,-73.133,PGA,0.032189,300-320,0,0,2.7601802798926656e-7,0.000005495320237969281,0.000015810526747372933,0.000006293629212450469,0,0
7.116,-73.133,PGA,0.032189,320-340,0,0,1.1214510209356376e-7,0.0000027963681077380897,0.000003860145625367295,0.0000034796855743479682,0,0
7.116,-73.133,PGA,0.032189,340-360,0,0,2.3348270872247667e-8,8.915935723052826e-7,0.00000313089935843891,7.214617880890728e-7,0,0
7.116,-73.133,PGA,0.032189,360-380,0,0,1.193957044343108e-9,2.6508159223226357e-8,1.882530114016845e-7,0,0,0
7.116,-73.133,PGA,0.032189,380-400,0,0,0,6.870976010375784e-10,9.135190737197263e-8,0,0,0
7.116,-73.133,PGA,0.004438,0-20,0.0001594280038261786,0.00012447129120118916,0.00008513207285432145,0.00044877902837470174,0.00037182317464612424,0.00009837669495027512,0,0
7.116,-73.133,PGA,0.004438,20-40,0.00005937324749538675,0.00009951752872439101,0.00010845336510101333,0.00014331551210489124,0.000037535250157816336,0.0000090612529675127,0,0
7.116,-73.133,PGA,0.004438,40-60,0.0000025873341655824333,0.000025250288672395982,0.00005342447548173368,0.000054502932471223176,0.000029469274522853084,0.000014102003660809714,0,0
7.116,-73.133,PGA,0.004438,60-80,0,0.0000016331929373336607,0.00001567187973705586,0.0000228819772019051,0.000010662292879715096,0.000005738794698117999,0,0
7.116,-73.133,PGA,0.004438,80-100,0,0,0.000002923508191088331,0.000015992774933693,0.00002196088280470576,0.000009953426342690364,0,0
7.116,-73.133,PGA,0.004438,100-120,0,0,0.0001980999077204615,0.0005135484389029443,0.0000067986975409439765,0.000003444546564423945,0,0
7.116,-73.133,PGA,0.004438,120-140,0,0,0.0002726393286138773,0.0007856593583710492,0.000013640003999171313,0.000006880184628244024,0,0
7.116,-73.133,PGA,0.004438,140-160,0,0,0.00007604074198752642,0.00032566272420808673,0.000006335777925414732,0.00000518665865456569,0,0
