# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
7.116,-73.133,Active Shallow Crust,PGA,0.011969740502536297,0.002093254355713725,0.0012655811151489615,0.0007797688595019281,0.000379874836653471
7.116,-73.133,Active Shallow Crust,SA(0.1),0.013963108882308006,0.0025400242302566767,0.0014696423895657063,0.0008569734054617584,0.00039163531619124115
7.116,-73.133,Active Shallow Crust,SA(0.2),0.010830942541360855,0.0018722747918218374,0.0011335418093949556,0.000712538487277925,0.00036036688834428787
7.116,-73.133,Active Shallow Crust,SA(0.3),0.01009439118206501,0.0016858153976500034,0.0010457754833623767,0.0006716417847201228,0.0003525709907989949
7.116,-73.133,Active Shallow Crust,SA(0.5),0.010398798622190952,0.0017269025556743145,0.001057973480783403,0.0006803327123634517,0.00035829583066515625
7.116,-73.133,Active Shallow Crust,SA(0.7),0.011434281244874,0.0018999992171302438,0.0011391544248908758,0.000714193913154304,0.0003662457165773958
7.116,-73.133,Active Shallow Crust,SA(1.0),0.01298789493739605,0.002203366719186306,0.0012920900480821729,0.0007850411930121481,0.0003833841474261135
7.116,-73.133,Active Shallow Crust,SA(1.5),0.015518281608819962,0.0027553089894354343,0.0015491754747927189,0.0008909264579415321,0.0003993383434135467
7.116,-73.133,Active Shallow Crust,SA(2.0),0.0167218130081892,0.002983770566061139,0.001657279091887176,0.0009322483092546463,0.0004038028127979487
7.116,-73.133,Active Shallow Crust,SA(2.5),0.018388930708169937,0.0032446051482111216,0.0017741454066708684,0.0009716548374854028,0.0004071402654517442
7.116,-73.133,Active Shallow Crust,SA(3.0),0.020487451925873756,0.003585098311305046,0.0018826717277988791,0.0009907643543556333,0.0004051900177728385
7.116,-73.133,Active Shallow Crust,SA(4.0),0.02355365641415119,0.004025281872600317,0.00202065147459507,0.0010160881793126464,0.00040689512388780713
7.116,-73.133,Active Shallow Crust,SA(5.0),0.026102373376488686,0.0042641256004571915,0.002077873796224594,0.0010242098942399025,0.00040587145485915244
7.116,-73.133,Deep Seismicity,PGA,0.020952247083187103,0.0023686715867370367,0.0008330504642799497,0.0002367998968111351,0.000025400668164365925
7.116,-73.133,Deep Seismicity,SA(0.1),0.018885647878050804,0.001920754904858768,0.000626899884082377,0.0001617555826669559,0.00001397200958308531
7.116,-73.133,Deep Seismicity,SA(0.2),0.0216232780367136,0.0026065402198582888,0.0009679514914751053,0.0003123970527667552,0.00004386988075566478
7.116,-73.133,Deep Seismicity,SA(0.3),0.02278760075569153,0.0027844198048114777,0.001060765003785491,0.0003449635405559093,0.0000501076465297956
7.116,-73.133,Deep Seismicity,SA(0.5),0.022333070635795593,0.002753493608906865,0.0010420848848298192,0.00033561844611540437,0.00004373536285129376
7.116,-73.133,Deep Seismicity,SA(0.7),0.021406495943665504,0.002572626108303666,0.0009605255327187479,0.00029852238367311656,0.00003502772233332507
7.116,-73.133,Deep Seismicity,SA(1.0),0.019884467124938965,0.0022576097398996353,0.0008032366167753935,0.00022504269145429134,0.00001873421024356503
7.116,-73.133,Deep Seismicity,SA(1.5),0.01701590046286583,0.0016963368980214,0.0005331552238203585,0.00011986072058789432,0.000004471367901714984
7.116,-73.133,Deep Seismicity,SA(2.0),0.01578897051513195,0.0014573018997907639,0.00042354612378403544,0.00007960320363054052,0.0000014447591638599988
7.116,-73.133,Deep Seismicity,SA(2.5),0.014347855933010578,0.0011943745194002986,0.00032462275703437626,0.00005204550689086318,3.6655822555076156e-7
7.116,-73.133,Deep Seismicity,SA(3.0),0.012138045392930508,0.0008405505213886499,0.0001981048844754696,0.00002538410080887843,3.7597054358684545e-8
7.116,-73.133,Deep Seismicity,SA(4.0),0.008803256787359715,0.0004148741136305034,0.00007768044451950118,0.000007051476131891832,0
7.116,-73.133,Deep Seismicity,SA(5.0),0.006453514564782381,0.00017687547369860113,0.000023039769075694494,9.709547157399356e-7,0
7.116,-73.133,Subduction Interface,PGA,0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(0.1),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(0.2),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(0.3),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(0.5),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(0.7),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(1.0),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(1.5),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(2.0),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(2.5),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(3.0),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(4.0),0,0,0,0,0
7.116,-73.133,Subduction Interface,SA(5.0),0,0,0,0,0
7.116,-73.133,Subduction IntraSlab,PGA,2.796049045628024e-7,0,0,0,0
7.116,-73.133,Subduction IntraSlab,SA(0.1),1.6248831968823652e-7,0,0,0,0
7.116,-73.133,Subduction IntraSlab,SA(0.2),0.0000015678131148888497,0,0,0,0
7.116,-73.133,Subduction IntraSlab,SA(0.3),0.0000037544941733358428,0,0,0,0
7.116,-73.133,Subduction IntraSlab,SA(0.5),0.0000071085410127125215,0,0,0,0
7.116,-73.133,Subduction IntraSlab,SA(0.7),0.000013876273442292586,1.2977547925174804e-9,0,0,0
7.116,-73.133,Subduction IntraSlab,SA(1.0),0.00003432209268794395,2.5715243623380957e-7,0,0,0
