# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
3.414,-76.522,Active Shallow Crust,PGA,0.004281260538846254,0.00038776302244514227,0.00018097581050824374,0.00008757191972108558,0.00003599156116251834
3.414,-76.522,Active Shallow Crust,SA(0.1),0.004613145720213652,0.00042045520967803895,0.00019237295782659203,0.0000913422554731369,0.000034774038795148954
3.414,-76.522,Active Shallow Crust,SA(0.2),0.004178286530077457,0.0003561406338121742,0.00016057265747804195,0.00007788217772031203,0.00003229773574275896
3.414,-76.522,Active Shallow Crust,SA(0.3),0.004389303736388683,0.00036879832623526454,0.0001679544075159356,0.00008020984387258068,0.00003436567567405291
3.414,-76.522,Active Shallow Crust,SA(0.5),0.004788863938301802,0.00041102702380158007,0.00018605971126817167,0.00009037205018103123,0.00003918370930477977
3.414,-76.522,Active Shallow Crust,SA(0.7),0.005456552375108004,0.00046675026533193886,0.00020807122928090394,0.00009970669634640217,0.00004084600004716776
3.414,-76.522,Active Shallow Crust,SA(1.0),0.006287408526986837,0.0005424820119515061,0.0002377334312768653,0.00011381074000382796,0.00004662802166421898
3.414,-76.522,Active Shallow Crust,SA(1.5),0.007240618113428354,0.0006872586673125625,0.00030750513542443514,0.00014946066949050874,0.00006243687676033005
3.414,-76.522,Active Shallow Crust,SA(2.0),0.007579701952636242,0.0007173863705247641,0.00031494221184402704,0.00015080577577464283,0.00006148016109364107
3.414,-76.522,Active Shallow Crust,SA(2.5),0.007870432920753956,0.0007516159676015377,0.00032551397453062236,0.00015248956333380193,0.00006201252836035565
3.414,-76.522,Active Shallow Crust,SA(3.0),0.008947720751166344,0.0008808544371277094,0.0003836571704596281,0.0001807141088647768,0.0000722647673683241
3.414,-76.522,Active Shallow Crust,SA(4.0),0.010952678509056568,0.001032944186590612,0.0004274436505511403,0.00019489976693876088,0.00007497511978726834
3.414,-76.522,Active Shallow Crust,SA(5.0),0.012628953903913498,0.0012916838750243187,0.0005492104100994766,0.00024923813180066645,0.00009810475603444502
3.414,-76.522,Deep Seismicity,PGA,0,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(0.1),0,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(0.2),0,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(0.3),0,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(0.5),0,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(0.7),0,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(1.0),6.475293190533193e-8,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(1.5),2.5593251962163777e-7,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(2.0),9.973207397706574e-7,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(2.5),0.0000010158244094782276,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(3.0),7.753125714771159e-7,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(4.0),3.804830726039654e-7,0,0,0,0
3.414,-76.522,Deep Seismicity,SA(5.0),1.0666980188034358e-7,0,0,0,0
3.414,-76.522,Subduction Interface,PGA,0.006290456745773554,0.0010638952953740954,0.0005218327860347927,0.0002509893965907395,0.00009592898277333006
3.414,-76.522,Subduction Interface,SA(0.1),0.004478973336517811,0.0004875225422438234,0.00019527434778865427,0.00007579219527542591,0.00001909309321490582
3.414,-76.522,Subduction Interface,SA(0.2),0.006201731041073799,0.001033372012898326,0.0004837060405407101,0.0002275951555930078,0.00008421632082900032
3.414,-76.522,Subduction Interface,SA(0.3),0.00758868083357811,0.0015616397140547633,0.0008057066006585956,0.00040434414404444396,0.00017042283434420824
3.414,-76.522,Subduction Interface,SA(0.5),0.009638294577598572,0.002293155761435628,0.00123643409460783,0.0006525322096422315,0.0002855990023817867
3.414,-76.522,Subduction Interface,SA(0.7),0.010871445760130882,0.0026906635612249374,0.0014610165962949395,0.0007713212398812175,0.0003209716232959181
3.414,-76.522,Subduction Interface,SA(1.0),0.011839425191283226,0.0029640968423336744,0.001594936358742416,0.000840086315292865,0.00034716317895799875
3.414,-76.522,Subduction Interface,SA(1.5),0.011996865272521973,0.0029906625859439373,0.001594219240359962,0.0008285567746497691,0.0003365103912074119
3.414,-76.522,Subduction Interface,SA(2.0),0.012452729046344757,0.0031108513940125704,0.0016463343054056168,0.0008553236839361489,0.00034812514786608517
3.414,-76.522,Subduction Interface,SA(2.5),0.012651273049414158,0.003157095517963171,0.0016547078266739845,0.0008456205832771957,0.00034630196751095355
3.414,-76.522,Subduction Interface,SA(3.0),0.01277579553425312,0.0031555471941828728,0.0016529228305444121,0.0008457103394903243,0.00033871125197038054
3.414,-76.522,Subduction Interface,SA(4.0),0.013243398629128933,0.0032137096859514713,0.0016555397305637598,0.0008475490612909198,0.00034191604936495423
3.414,-76.522,Subduction Interface,SA(5.0),0.013066085986793041,0.0030809184536337852,0.001571423839777708,0.0007788472576066852,0.0003106138901785016
3.414,-76.522,Subduction IntraSlab,PGA,0.022088753059506416,0.003050536150112748,0.0014647550415247679,0.0007079413626343012,0.0002809014986269176
3.414,-76.522,Subduction IntraSlab,SA(0.1),0.023536602035164833,0.003556577954441309,0.0017621874576434493,0.0008852119208313525,0.0003537277807481587
3.414,-76.522,Subduction IntraSlab,SA(0.2),0.022418692708015442,0.003154879668727517,0.0014975594822317362,0.0007397015579044819,0.00030366540886461735
3.414,-76.522,Subduction IntraSlab,SA(0.3),0.02068145014345646,0.0026075204368680716,0.0011883359402418137,0.0005447885487228632,0.00021242276125121862
3.414,-76.522,Subduction IntraSlab,SA(0.5),0.018385490402579308,0.001827203668653965,0.0007249593618325889,0.00029053882462903857,0.00009201429929817095
3.414,-76.522,Subduction IntraSlab,SA(0.7),0.016426479443907738,0.0013526573311537504,0.0004835256841033697,0.0001724838075460866,0.00004316107151680626
3.414,-76.522,Subduction IntraSlab,SA(1.0),0.014569615013897419,0.0009721585083752871,0.0003082563343923539,0.00009853684605332091,0.000020629151549655944
3.414,-76.522,Subduction IntraSlab,SA(1.5),0.01353562530130148,0.0008137199911288917,0.00024332270550075918,0.00007239023398142308,0.000013340686564333737
3.414,-76.522,Subduction IntraSlab,SA(2.0),0.012696843594312668,0.000641042657662183,0.00017175497487187386,0.00004574354170472361,0.000006917179234733339
3.414,-76.522,Subduction IntraSlab,SA(2.5),0.012069637887179852,0.0005737849860452116,0.00014577644469682127,0.000035974153433926404,0.000005035948106524302
3.414,-76.522,Subduction IntraSlab,SA(3.0),0.011051117442548275,0.00045476804370991886,0.000107247666164767,0.000024102475435938686,0.000002585010179245728
3.414,-76.522,Subduction IntraSlab,SA(4.0),0.008531325496733189,0.00021039621788077056,0.0000368764485756401,0.000005804163265565876,1.7463906942793983e-7
3.414,-76.522,Subduction IntraSlab,SA(5.0),0.006911184173077345,0.00011715128493960947,0.000016459567632409744,0.0000016150172541529173,2.9345454954921024e-9
