# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
1.618,-75.609,Active Shallow Crust,PGA,0.015956208109855652,0.0034921460319310427,0.00185955292545259,0.000976558483671397,0.00040410293149761856
1.618,-75.609,Active Shallow Crust,SA(0.1),0.015689542517066002,0.003502708161249757,0.0018563076155260205,0.0009698385838419199,0.00039902832941152155
1.618,-75.609,Active Shallow Crust,SA(0.2),0.015693299472332,0.003313856665045023,0.0017739204922690988,0.0009379081893712282,0.0003936507855542004
1.618,-75.609,Active Shallow Crust,SA(0.3),0.01640493981540203,0.003383690258488059,0.0018055373802781105,0.0009540743776597083,0.0003994895378127694
1.618,-75.609,Active Shallow Crust,SA(0.5),0.01687336154282093,0.0035009265411645174,0.0018630396807566285,0.000976842944510281,0.00040332990465685725
1.618,-75.609,Active Shallow Crust,SA(0.7),0.018132062628865242,0.003699715482071042,0.001934657571837306,0.0009987129596993327,0.0004069026908837259
1.618,-75.609,Active Shallow Crust,SA(1.0),0.0190182626247406,0.0038309041410684586,0.001975294901058078,0.0010089221177622676,0.0004074011230841279
1.618,-75.609,Active Shallow Crust,SA(1.5),0.019763639196753502,0.003934346605092287,0.0020047444850206375,0.0010149620939046144,0.00040684256237000227
1.618,-75.609,Active Shallow Crust,SA(2.0),0.019744975492358208,0.003915716893970966,0.0019916431047022343,0.0010059584164991975,0.0004042057553306222
1.618,-75.609,Active Shallow Crust,SA(2.5),0.019952166825532913,0.003940059803426266,0.0020032008178532124,0.001013304921798408,0.0004080068611074239
1.618,-75.609,Active Shallow Crust,SA(3.0),0.021103402599692345,0.004004965536296368,0.002014095662161708,0.0010092647280544043,0.0004058484046254307
1.618,-75.609,Active Shallow Crust,SA(4.0),0.02252502366900444,0.004054372664541006,0.002022824017331004,0.001016598311252892,0.00040880817687138915
1.618,-75.609,Active Shallow Crust,SA(5.0),0.023733267560601234,0.004106204956769943,0.0020310748368501663,0.0010116592748090625,0.000404159800382331
1.618,-75.609,Deep Seismicity,PGA,0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(0.1),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(0.2),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(0.3),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(0.5),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(0.7),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(1.0),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(1.5),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(2.0),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(2.5),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(3.0),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(4.0),0,0,0,0,0
1.618,-75.609,Deep Seismicity,SA(5.0),0,0,0,0,0
1.618,-75.609,Subduction Interface,PGA,0.003563747275620699,0.0002145165781257674,0.00005177334969630465,0.000009001106263895053,6.599700697051958e-8
1.618,-75.609,Subduction Interface,SA(0.1),0.0020912298932671547,0.000050220722187077627,0.000005603536010312382,2.441129076657944e-8,0
1.618,-75.609,Subduction Interface,SA(0.2),0.0027944459579885006,0.00013498385669663548,0.000028591528462129645,0.0000037014435747551033,0
1.618,-75.609,Subduction Interface,SA(0.3),0.0033705849200487137,0.00022818964498583227,0.00005918620081502013,0.000011491130862850696,2.190796948298157e-7
1.618,-75.609,Subduction Interface,SA(0.5),0.0038176062516868114,0.00031948089599609375,0.00009051558299688622,0.00001999177402467467,9.439570476388326e-7
1.618,-75.609,Subduction Interface,SA(0.7),0.004183929413557053,0.00036225037183612585,0.00010176750220125541,0.000022493430151371285,0.0000011959263019889477
1.618,-75.609,Subduction Interface,SA(1.0),0.004415934905409813,0.0003703531692735851,0.00010041319183073938,0.000021481453586602584,0.0000010617737871143618
1.618,-75.609,Subduction Interface,SA(1.5),0.004642365034669638,0.0003534693969413638,0.0000892944008228369,0.00001766568311722949,6.46570697426796e-7
1.618,-75.609,Subduction Interface,SA(2.0),0.005199112929403782,0.00040936635923571885,0.00010431872215121984,0.00002111637695634272,9.782145298231626e-7
1.618,-75.609,Subduction Interface,SA(2.5),0.005496733356267214,0.0004321688902564347,0.00010999271034961566,0.000022582900783163495,0.0000011720428574335529
1.618,-75.609,Subduction Interface,SA(3.0),0.005605649668723345,0.000392697227653116,0.00009532755939289927,0.000018640335838426836,8.325000635522883e-7
1.618,-75.609,Subduction Interface,SA(4.0),0.0059999325312674046,0.0004124068655073643,0.00010419680620543659,0.000022513810108648613,0.00000153005726133415
1.618,-75.609,Subduction Interface,SA(5.0),0.005899312440305948,0.00033685125526972115,0.0000787875906098634,0.00001543611870147288,7.138805813156068e-7
1.618,-75.609,Subduction IntraSlab,PGA,0.012997868470847607,0.0007481342763639987,0.00020378972112666816,0.00004944753891322762,0.000005369310201785993
1.618,-75.609,Subduction IntraSlab,SA(0.1),0.014813871122896671,0.0008886152063496411,0.0002446722355671227,0.0000613330485066399,0.00000746639716453501
1.618,-75.609,Subduction IntraSlab,SA(0.2),0.014328008517622948,0.0010276882676407695,0.00031735762604512274,0.00008925519068725407,0.00001319312104897108
1.618,-75.609,Subduction IntraSlab,SA(0.3),0.012987651862204075,0.0008647126378491521,0.0002554706297814846,0.0000674311668262817,0.00000842454483063193
1.618,-75.609,Subduction IntraSlab,SA(0.5),0.0121580446138978,0.0006446731276810169,0.00015972273831721395,0.00003174327139277011,0.000001827641995078011
1.618,-75.609,Subduction IntraSlab,SA(0.7),0.010475704446434975,0.0004020733467768878,0.0000792986829765141,0.000011019425073754974,1.5656253538054443e-7
1.618,-75.609,Subduction IntraSlab,SA(1.0),0.009253459051251411,0.00025770944193936884,0.000039469054172514006,0.0000034064405554090627,0
1.618,-75.609,Subduction IntraSlab,SA(1.5),0.008299811743199825,0.00016850577958393842,0.0000200976191990776,0.000001001070245365554,0
1.618,-75.609,Subduction IntraSlab,SA(2.0),0.007680628448724747,0.0001163418055512011,0.000010878529792535119,2.7126839086122345e-7,0
1.618,-75.609,Subduction IntraSlab,SA(2.5),0.007148293778300285,0.00009137915913015604,0.000007151885711209616,8.756496328032881e-8,0
1.618,-75.609,Subduction IntraSlab,SA(3.0),0.0059273927472531796,0.00004361945320852101,0.000002030176347034285,0,0
1.618,-75.609,Subduction IntraSlab,SA(4.0),0.003958790097385645,0.000010226067388430238,7.686436021003829e-8,0,0
1.618,-75.609,Subduction IntraSlab,SA(5.0),0.00287752621807158,0.0000017084532828448573,0,0,0
