# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
4.433,-75.195,Active Shallow Crust,PGA,0.015049081295728683,0.0026973108761012554,0.0015322938561439514,0.0008781368960626423,0.0003935860877390951
4.433,-75.195,Active Shallow Crust,SA(0.1),0.015489637851715088,0.002699853852391243,0.001482404419220984,0.000824812741484493,0.0003693393082357943
4.433,-75.195,Active Shallow Crust,SA(0.2),0.01473083533346653,0.0024981123860925436,0.0014163474552333355,0.0008188669453375041,0.00037639334914274514
4.433,-75.195,Active Shallow Crust,SA(0.3),0.015004822053015232,0.002569739241153002,0.001479308819398284,0.0008697058074176311,0.0003962444025091827
4.433,-75.195,Active Shallow Crust,SA(0.5),0.01546468771994114,0.002698115538805723,0.0015571699477732182,0.0009130576509051025,0.0004040916101075709
4.433,-75.195,Active Shallow Crust,SA(0.7),0.01650066487491131,0.002856121165677905,0.0016074320301413536,0.0009233647724613547,0.0004023805959150195
4.433,-75.195,Active Shallow Crust,SA(1.0),0.017282461747527122,0.0029856038745492697,0.0016541167860850692,0.0009383412543684244,0.0004070545546710491
4.433,-75.195,Active Shallow Crust,SA(1.5),0.018021393567323685,0.003124311100691557,0.0017096438677981496,0.0009550507529638708,0.00040753252687864006
4.433,-75.195,Active Shallow Crust,SA(2.0),0.017851464450359344,0.0030891685746610165,0.0016955302562564611,0.0009471548837609589,0.0004050873685628176
4.433,-75.195,Active Shallow Crust,SA(2.5),0.01805899664759636,0.00307259988039732,0.001674388418905437,0.0009354478679597378,0.00040213874308392406
4.433,-75.195,Active Shallow Crust,SA(3.0),0.01930936612188816,0.0031848852522671223,0.001706174691207707,0.0009401130955666304,0.00040433474350720644
4.433,-75.195,Active Shallow Crust,SA(4.0),0.02096782810986042,0.0032342292834073305,0.0016913459403440356,0.0009191122371703386,0.0003980326291639358
4.433,-75.195,Active Shallow Crust,SA(5.0),0.02242296189069748,0.003402566770091653,0.0017522780690342188,0.0009345051948912442,0.0003979100729338825
4.433,-75.195,Deep Seismicity,PGA,0.00008967448229668662,2.5596600394806046e-9,0,0,0
4.433,-75.195,Deep Seismicity,SA(0.1),0.00008440186502411962,3.030368489476132e-8,0,0,0
4.433,-75.195,Deep Seismicity,SA(0.2),0.0002481579431332648,7.472788752238557e-7,0,0,0
4.433,-75.195,Deep Seismicity,SA(0.3),0.00037889560917392373,0.0000015493029650315293,9.25451004718525e-9,0,0
4.433,-75.195,Deep Seismicity,SA(0.5),0.0004090289876330644,0.0000014354433233165764,1.3461418646443235e-9,0,0
4.433,-75.195,Deep Seismicity,SA(0.7),0.0005313174915499985,0.00000215135742109851,6.09248562710718e-9,0,0
4.433,-75.195,Deep Seismicity,SA(1.0),0.0008192507084459066,0.000004686848569690483,5.283628823349318e-8,0,0
4.433,-75.195,Deep Seismicity,SA(1.5),0.0009669785504229367,0.000005592442448687507,6.813696273866299e-8,0,0
4.433,-75.195,Deep Seismicity,SA(2.0),0.0013333819806575775,0.000009695438166090753,2.0291422231366596e-7,0,0
4.433,-75.195,Deep Seismicity,SA(2.5),0.001219400903210044,0.000007024307706160471,8.914769011880708e-8,0,0
4.433,-75.195,Deep Seismicity,SA(3.0),0.0009140819893218577,0.0000025291462861787295,0,0,0
4.433,-75.195,Deep Seismicity,SA(4.0),0.0005614336696453393,3.379099382527784e-7,0,0,0
4.433,-75.195,Deep Seismicity,SA(5.0),0.0003021570446435362,6.7160570438318246e-9,0,0,0
4.433,-75.195,Subduction Interface,PGA,0.0040716310031712055,0.00040834175888448954,0.000123417325085029,0.00002750583917077165,0.0000010329000588171766
4.433,-75.195,Subduction Interface,SA(0.1),0.0025232401676476,0.0001351203682133928,0.000030253384466050193,0.00000420193828176707,0
4.433,-75.195,Subduction Interface,SA(0.2),0.0035719648003578186,0.0003166802052874118,0.00009193747246172279,0.000019791230442933738,5.024673441766936e-7
4.433,-75.195,Subduction Interface,SA(0.3),0.00445280596613884,0.0005350566934794188,0.00017264464986510575,0.0000399930177081842,0.00000157668546307832
4.433,-75.195,Subduction Interface,SA(0.5),0.0055604362860322,0.0008376664482057095,0.0002936395176220685,0.00006809668411733583,0.000002362745817663381
4.433,-75.195,Subduction Interface,SA(0.7),0.006208860315382481,0.0010042403591796756,0.00035221007419750094,0.00008022933616302907,0.0000028621441288123606
4.433,-75.195,Subduction Interface,SA(1.0),0.006620750296860933,0.0010855748550966382,0.0003703785769175738,0.00007809872477082536,0.000002232077576991287
4.433,-75.195,Subduction Interface,SA(1.5),0.006757964380085468,0.0010537869529798627,0.0003432259545661509,0.00006676176417386159,0.0000013866599601897178
4.433,-75.195,Subduction Interface,SA(2.0),0.007199546322226524,0.001157886814326048,0.000383033329853788,0.00007738686690572649,0.0000024075091005215654
4.433,-75.195,Subduction Interface,SA(2.5),0.007469382137060165,0.0012027182383462787,0.00040058488957583904,0.00008613906538812444,0.0000036515666579362005
4.433,-75.195,Subduction Interface,SA(3.0),0.00752492668107152,0.0011608763597905636,0.0003856866678688675,0.00008587768388679251,0.000004267746589903254
4.433,-75.195,Subduction Interface,SA(4.0),0.0077879889868199825,0.0011808096896857023,0.00040962587809190154,0.00010580178059171885,0.000008791637810645625
4.433,-75.195,Subduction Interface,SA(5.0),0.00758056715130806,0.0010478999465703964,0.00035286624915897846,0.00009027978376252577,0.000007498179456888465
4.433,-75.195,Subduction IntraSlab,PGA,0.01341063529253006,0.0013540255604311824,0.000445166981080547,0.0001191504270536825,0.000013542008673539385
4.433,-75.195,Subduction IntraSlab,SA(0.1),0.014527191407978535,0.0016337487613782287,0.0006044189212843776,0.00020329777908045799,0.00003897891292581335
4.433,-75.195,Subduction IntraSlab,SA(0.2),0.014301856979727745,0.001639575115405023,0.0005974014056846499,0.0001875011221272871,0.000028814998586312868
4.433,-75.195,Subduction IntraSlab,SA(0.3),0.012992626056075096,0.0013426726218312979,0.0004407428205013275,0.00011205593182239681,0.000009673287422629073
4.433,-75.195,Subduction IntraSlab,SA(0.5),0.011442103423178196,0.0008960103732533753,0.000238449516473338,0.00003914341141353361,5.824713866786624e-7
4.433,-75.195,Subduction IntraSlab,SA(0.7),0.009589768014848232,0.0005683841882273555,0.00012224928650539368,0.000013444849173538387,7.347558561576761e-9
4.433,-75.195,Subduction IntraSlab,SA(1.0),0.008015910163521767,0.0003572877321857959,0.000060945698351133615,0.0000037871618587814737,0
4.433,-75.195,Subduction IntraSlab,SA(1.5),0.0070030419155955315,0.00024965027114376426,0.000035645127354655415,0.0000013540777672460536,0
4.433,-75.195,Subduction IntraSlab,SA(2.0),0.006290122400969267,0.0001824948121793568,0.000022084293959778734,5.326377845449315e-7,0
