# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
3.867,-67.919,Active Shallow Crust,PGA,0,0.0044645206071436405,0.0021138021256774664,0.0010316157713532448,0.00040562025969848037
3.867,-67.919,Active Shallow Crust,SA(0.1),0,0.004458573646843433,0.002110507804900408,0.0010311148362234235,0.0004063687811139971
3.867,-67.919,Active Shallow Crust,SA(0.2),0,0.004459335934370756,0.0021111145615577698,0.0010300595313310623,0.0004060025967191905
3.867,-67.919,Active Shallow Crust,SA(0.3),0,0.0044703735038638115,0.002109939232468605,0.0010322316084057093,0.0004053377779200673
3.867,-67.919,Active Shallow Crust,SA(0.5),0,0.004472214728593826,0.0021073678508400917,0.0010307298507541418,0.00040643394459038973
3.867,-67.919,Active Shallow Crust,SA(0.7),0,0.004471765831112862,0.0021107385400682688,0.0010329097276553512,0.0004056345787830651
3.867,-67.919,Active Shallow Crust,SA(1.0),0,0.004469519015401602,0.0021144093479961157,0.0010334636317566037,0.00040442400495521724
3.867,-67.919,Active Shallow Crust,SA(1.5),0,0.0044627077877521515,0.002107091946527362,0.0010321297449991107,0.0004055964818689972
3.867,-67.919,Active Shallow Crust,SA(2.0),0,0,0.0021112735848873854,0.0010313058737665415,0.0004056931647937745
3.867,-67.919,Active Shallow Crust,SA(2.5),0,0,0.0021120307501405478,0.0010331490775570273,0.0004047854745294899
3.867,-67.919,Active Shallow Crust,SA(3.0),0,0,0,0.0010264324955642223,0.0004068982962053269
3.867,-67.919,Active Shallow Crust,SA(4.0),0,0,0,0.0010310328798368573,0.00040659369551576674
3.867,-67.919,Active Shallow Crust,SA(5.0),0,0,0,0,0.0004049707786180079
3.867,-67.919,Deep Seismicity,PGA,0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(0.1),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(0.2),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(0.3),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(0.5),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(0.7),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(1.0),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(1.5),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(2.0),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(2.5),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(3.0),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(4.0),0,0,0,0,0
3.867,-67.919,Deep Seismicity,SA(5.0),0,0,0,0,0
3.867,-67.919,Subduction Interface,PGA,0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(0.1),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(0.2),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(0.3),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(0.5),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(0.7),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(1.0),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(1.5),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(2.0),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(2.5),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(3.0),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(4.0),0,0,0,0,0
3.867,-67.919,Subduction Interface,SA(5.0),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,PGA,0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(0.1),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(0.2),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(0.3),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(0.5),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(0.7),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(1.0),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(1.5),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(2.0),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(2.5),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(3.0),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(4.0),0,0,0,0,0
3.867,-67.919,Subduction IntraSlab,SA(5.0),0,0,0,0,0
