# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
5.058,-75.491,PGA,0.032189,0-20,0.0002932457718998194,0.00015213309961836785,0.00008202555181924254,0.00015603489009663463,0.00003520954851410352,0,0,0
5.058,-75.491,PGA,0.032189,20-40,0.0007004638318903744,0.0005483061540871859,0.0003576450690161437,0.00037809062632732093,0.00014733742864336818,0.000004121546226087958,0,0
5.058,-75.491,PGA,0.032189,40-60,0.0006267383578233421,0.0007435348234139383,0.0005779782659374177,0.0004863957583438605,0.0001392116246279329,0,0,0
5.058,-75.491,PGA,0.032189,60-80,0.0002536030951887369,0.00048565800534561276,0.0004776085843332112,0.0007524627144448459,0.00042428713641129434,0.00008014529885258526,0,0
5.058,-75.491,PGA,0.032189,80-100,0.000040348462789552286,0.00015948867076076567,0.00022012383851688355,0.00036364648258313537,0.00016160453378688544,0.000025692619601613842,0,0
5.058,-75.491,PGA,0.032189,100-120,0.000002898888396885013,0.00004683580482378602,0.0013803011970594525,0.000927048095036298,0.0006555395666509867,0.000012194925147923641,0,0
5.058,-75.491,PGA,0.032189,120-140,8.672014928379213e-8,0.000015394527508760802,0.0024453881196677685,0.001548300264403224,0.000775947468355298,0.000017895903511089273,0,0
5.058,-75.491,PGA,0.032189,140-160,0,0.00000514577823196305,0.0019256755476817489,0.0014406972331926227,0.000978280557319522,0.0005227540386840701,0.0008595528779551387,0.0012731304159387946
5.058,-75.491,PGA,0.032189,160-180,0,0.000001236714069818845,0.0008447126601822674,0.0007991968304850161,0.0006581635680049658,0.0006037427810952067,0.0007015567389316857,0.000022725384042132646
5.058,-75.491,PGA,0.032189,180-200,0,2.3314075292546477e-7,0.0004049108538310975,0.0004763745528180152,0.0005050772451795638,0.0004537726636044681,0.00016841781325638294,0.000013089791536913253
5.058,-75.491,PGA,0.032189,200-220,0,0,0.00023373629665002227,0.0003598788462113589,0.0003869666834361851,0.00016226846491917968,0.00007564879342680797,0.000010113233656738885
5.058,-75.491,PGA,0.032189,220-240,0,0,0.0001333120308117941,0.0002642074541654438,0.0002610352239571512,0.00011250819079577923,0.000059938047343166545,0.0000075622792792273685
5.058,-75.491,PGA,0.032189,240-260,0,0,0.00007701757567701861,0.000205967080546543,0.0001868542458396405,0.000048894606152316555,0.00003779594771913253,0.0000013787972648060531
5.058,-75.491,PGA,0.032189,260-280,0,0,0.00003751866825041361,0.00013734308595303446,0.00016105033864732832,0.00005166929622646421,0.00003518668745527975,0
5.058,-75.491,PGA,0.032189,280-300,0,0,0.000015017077203083318,0.00007129020377760753,0.0000860421423567459,0.00002927616696979385,0.00002589107862149831,0
5.058,-75.491,PGA,0.032189,300-320,0,0,0.000005127385520609096,0.000037965346564305946,0.00007743560126982629,0.00003840027056867257,0.0000213345410884358,0
5.058,-75.491,PGA,0.032189,320-340,0,0,0.0000010884928087762091,0.00002686327752599027,0.00005455543578136712,0.000027559250156627968,0.000014641428606410045,0
5.058,-75.491,PGA,0.032189,340-360,0,0,1.3978414870052802e-7,0.000007319928954530042,0.000026459534637979232,0.000014757395547349006,0.000010651738193701021,0
5.058,-75.491,PGA,0.032189,360-380,0,0,5.609281927831944e-9,0.0000018026582893071463,0.000006810564173065359,0.000007894564987509511,0.000008518289178027771,0
5.058,-75.491,PGA,0.032189,380-400,0,0,0,4.790019261236012e-7,0.0000033514090773678618,0.000005645264991471777,0.00000464513595943572,0
5.058,-75.491,PGA,0.004438,0-20,0.00007357139838859439,0.00006041386222932488,0.000044653090299107134,0.00012456225522328168,0.00002993330781464465,0,0,0
5.058,-75.491,PGA,0.004438,20-40,0.00004124169936403632,0.0000675396659062244,0.0000782265342422761,0.00015450833598151803,0.00007989987352630123,0.000002353060608584201,0,0
5.058,-75.491,PGA,0.004438,40-60,0.0000052663026508525945,0.00003207620466127992,0.000058262816310161725,0.00009910573862725869,0.00004212342173559591,0,0,0
5.058,-75.491,PGA,0.004438,60-80,1.3540534027356443e-8,0.000005179099844099255,0.000022231522962101735,0.00007449890108546242,0.00007105578697519377,0.00001754460208758246,0,0
5.058,-75.491,PGA,0.004438,80-100,0,1.3946215915439097e-7,0.000004089974481757963,0.00002362260056543164,0.00002190498162235599,0.000004771620297105983,0,0
5.058,-75.491,PGA,0.004438,100-120,0,0,0.00025230698520317674,0.00024432988720946014,0.00023086434521246701,0.00000249902382165601,0,0
5.058,-75.491,PGA,0.004438,120-140,0,0,0.00032615396776236594,0.0003045519988518208,0.00018669315613806248,0.0000018686002931644907,0,0
5.058,-75.491,PGA,0.004438,140-160,0,0,0.00014396152982953936,0.00017710716929286718,0.00015363728743977845,0.00006758845847798511,0.0002156189439119771,0.0004389586974866688
5.058,-75.491,PGA,0.004438,160-180,0,0,0.00003512796320137568,0.000054152729717316106,0.00004872784120379947,0.000059406615037005395,0.0001373450504615903,0.000005500648512679618
5.058,-75.491,PGA,0.004438,180-200,0,0,0.000008829769285512157,0.000019140230506309308,0.00002451217187626753,0.00003263515463913791,0.00002477228917996399,0.0000025091510451602517
5.058,-75.491,PGA,0.004438,200-220,0,0,0.000001637140599086706,0.000008451573194179218,0.000014396146070794202,0.000008241241630457807,0.000008983090083347633,0.000001571291591062618
5.058,-75.491,PGA,0.004438,220-240,0,0,1.0907539405025091e-7,0.000002731073209361057,0.00000652587050353759,0.0000045653719098481815,0.000005433887963590678,9.648448440202628e-7
5.058,-75.491,PGA,0.004438,240-260,0,0,0,8.414211265517224e-7,0.000004136337338422891,0.0000015343749737439794,0.0000028561021281348076,1.503638316080469e-7
5.058,-75.491,PGA,0.004438,260-280,0,0,0,1.5723240665010962e-7,0.0000017872154103315552,0.000001226509880325466,0.0000021538694454648066,0
5.058,-75.491,PGA,0.004438,280-300,0,0,0,2.841613166992829e-9,5.649949912367447e-7,5.021730089538323e-7,0.0000012690907169599086,0
5.058,-75.491,PGA,0.004438,300-320,0,0,0,0,2.1453735143950325e-7,6.221221724445058e-7,7.920282882878382e-7,0
5.058,-75.491,PGA,0.004438,320-340,0,0,0,0,6.362009230542753e-8,4.871023406849417e-7,4.1895540903169604e-7,0
5.058,-75.491,PGA,0.004438,340-360,0,0,0,0,1.1346731554340295e-8,8.80573125527917e-8,2.1417530149392405e-7,0
5.058,-75.491,PGA,0.004438,360-380,0,0,0,0,0,3.3774041341416705e-9,1.0966888908114925e-7,0
5.058,-75.491,PGA,0.004438,380-400,0,0,0,0,0,0,2.5856422780634603e-8,0
5.058,-75.491,PGA,0.002105,0-20,0.000037767269532196224,0.000036598154110834,0.00003074312917306088,0.00010326036135666072,0.000025678464226075448,0,0,0
5.058,-75.491,PGA,0.002105,20-40,0.00001134594640461728,0.00002618271901155822,0.000037306661397451535,0.00009222079097526148,0.000053491316066356376,0.0000015995636886145803,0,0
5.058,-75.491,PGA,0.002105,40-60,2.701541461647139e-7,0.000006792444764869288,0.000020521998521871865,0.00004546993659459986,0.00002223583396698814,0,0,0
5.058,-75.491,PGA,0.002105,60-80,0,2.9359836162257125e-7,0.000004827842985832831,0.00002597639468149282,0.000030335399060277268,0.000008152766895364039,0,0
5.058,-75.491,PGA,0.002105,80-100,0,0,3.61329938414201e-7,0.000006559872872458072,0.000008647338290757034,0.0000020835539089603117,0,0
5.058,-75.491,PGA,0.002105,100-120,0,0,0.00011615355469984934,0.00012997078010812402,0.00013608441804535687,0.000001130480995925609,0,0
5.058,-75.491,PGA,0.002105,120-140,0,0,0.000131231703562662,0.0001438785548089072,0.00009602445061318576,6.585572691619745e-7,0,0
5.058,-75.491,PGA,0.002105,140-160,0,0,0.000044440948840929195,0.00007063387602102011,0.00006920173473190516,0.000025438754164497368,0.00010237493552267551,0.0002356432960368693
5.058,-75.491,PGA,0.002105,160-180,0,0,0.000006752562967449194,0.00001716306542220991,0.000016574045730521902,0.00002001137545448728,0.00005949368642177433,0.0000025704548534122296
5.058,-75.491,PGA,0.002105,180-200,0,0,6.748541068191116e-7,0.0000045590118133986834,0.000006925189154571854,0.000009432736078451853,0.00000962086869549239,0.0000010739878462118213
5.058,-75.491,PGA,0.002105,200-220,0,0,8.765284498224446e-9,0.0000011796220178439398,0.0000036000612908537732,0.000001874432655313285,0.000003211932835256448,6.215382200025488e-7
5.058,-75.491,PGA,0.002105,220-240,0,0,0,1.6893724819055933e-7,0.0000012153270745329792,8.438806844424107e-7,0.0000017374363778799307,3.536978283591452e-7
5.058,-75.491,PGA,0.002105,240-260,0,0,0,2.0307179937617548e-8,5.70000395327952e-7,2.274503572152753e-7,8.327645559802477e-7,5.171324346520123e-8
5.058,-75.491,PGA,0.002105,260-280,0,0,0,0,6.527463369820907e-8,1.212488029977976e-7,5.547186674448312e-7,0
5.058,-75.491,PGA,0.002105,280-300,0,0,0,0,7.831484793996424e-9,3.3937624266400235e-8,2.7369026156520704e-7,0
5.058,-75.491,PGA,0.002105,300-320,0,0,0,0,0,1.1190969928520644e-8,1.1823291146129122e-7,0
5.058,-75.491,PGA,0.002105,320-340,0,0,0,0,0,4.157483957101249e-8,3.224284128577892e-8,0
5.058,-75.491,PGA,0.002105,340-360,0,0,0,0,0,1.3933442177815891e-9,2.805052634613503e-9,0
5.058,-75.491,PGA,0.002105,360-380,0,0,0,0,0,0,0,0
5.058,-75.491,PGA,0.002105,380-400,0,0,0,0,0,0,0,0
5.058,-75.491,PGA,0.001026,0-20,0.000019600320229073986,0.00002203306576120667,0.00002077588942483999,0.00008268684905488044,0.000021233705410850234,0,0,0
5.058,-75.491,PGA,0.001026,20-40,0.00000293982338916976,0.0000100916959127062,0.000017928274246514775,0.00005410659287008457,0.00003475643097772263,0.0000010502670875212061,0,0
5.058,-75.491,PGA,0.001026,40-60,2.1972748065479664e-9,0.0000011073333325839485,0.000006941115316294599,0.000020960009351256303,0.00001165663888968993,0,0,0
5.058,-75.491,PGA,0.001026,60-80,0,1.2503142965414327e-10,7.61691751449689e-7,0.00000859242572914809,0.000013021396625845227,0.0000037902473195572384,0,0
5.058,-75.491,PGA,0.001026,80-100,0,0,1.1254493337276017e-8,0.0000015527921277680434,0.000003400491095817415,9.10970300083136e-7,0,0
5.058,-75.491,PGA,0.001026,100-120,0,0,0.00005406769923865795,0.00006967331137275323,0.00008001565583981574,5.116313559483388e-7,0,0
5.058,-75.491,PGA,0.001026,120-140,0,0,0.000052827315812464803,0.00006901344750076532,0.00004999935845262371,2.2270954502801033e-7,0,0
5.058,-75.491,PGA,0.001026,140-160,0,0,0.000011703492418746464,0.000028252035917830653,0.00003211740113329142,0.000009413234693056438,0.00004806618017028086,0.0001237746182596311
