# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
6.249,-75.576,PGA,0.032189,0-20,0.00005778229024144821,0.000029003680538153276,0.000015992494809324853,0.00013682547432836145,0.000050507656851550564,0,0,0
6.249,-75.576,PGA,0.032189,20-40,0.0002958860422950238,0.0001923505187733099,0.0001100758308894001,0.0001272357621928677,0.000028031659894622862,0,0,0
6.249,-75.576,PGA,0.032189,40-60,0.000510683108586818,0.00046883936738595366,0.0003183012013323605,0.000521689944434911,0.00020490717724896967,0.000012742252692987677,0,0
6.249,-75.576,PGA,0.032189,60-80,0.00048267835518345237,0.0006596302264370024,0.0005284266662783921,0.0003628780832514167,0.00011149342026328668,0,0,0
6.249,-75.576,PGA,0.032189,80-100,0.0002833651378750801,0.000591301650274545,0.0006466824561357498,0.0005609405925497413,0.00027128172223456204,0.000013018754543736577,0,0
6.249,-75.576,PGA,0.032189,100-120,0.00011898596858372912,0.00046371182543225586,0.0006584624061360955,0.00048174927360378206,0.00022741394059266895,0.00003147292954963632,0,0
6.249,-75.576,PGA,0.032189,120-140,0.000026429259378346615,0.0002441676624584943,0.00046206306433305144,0.0006638735649175942,0.0005130500649102032,0.00020325268269516528,0.00024608627427369356,0.0009786218870431185
6.249,-75.576,PGA,0.032189,140-160,0.0000027297146516502835,0.00008954097575042397,0.00027491163928061724,0.0005399753572419286,0.000668903230689466,0.0006789759499952197,0.0007769081275910139,0.00024230979033745825
6.249,-75.576,PGA,0.032189,160-180,8.622222047449668e-9,0.000027465930543257855,0.0004945752443745732,0.0006939001614227891,0.0008005022536963224,0.0005485509755089879,0.00029257754795253277,0.000057879078667610884
6.249,-75.576,PGA,0.032189,180-200,0,0.000008339440682902932,0.000751268002204597,0.0010177996009588242,0.0008794939494691789,0.0002690820547286421,0.0001855697191786021,0.00004658965553971939
6.249,-75.576,PGA,0.032189,200-220,0,0.00000293331618195225,0.0005529795889742672,0.0008914403733797371,0.0007084549870342016,0.00025455240393057466,0.00015080209414009005,0.00003157317405566573
6.249,-75.576,PGA,0.032189,220-240,0,7.133244821488915e-7,0.0003817953693214804,0.0007283324957825243,0.0004617067170329392,0.00015168351819738746,0.00011671479296637699,0.000039523194573121145
6.249,-75.576,PGA,0.032189,240-260,0,1.0085156532113615e-7,0.00030322608654387295,0.0006669543217867613,0.0004026266688015312,0.00011112004722235724,0.00008939192775869742,0.000013246781236375682
6.249,-75.576,PGA,0.032189,260-280,0,0,0.00019463294302113354,0.000503521878272295,0.0003565718070603907,0.00008462031109957024,0.0000738876115065068,0.000010482887773832772
6.249,-75.576,PGA,0.032189,280-300,0,0,0.000106534716906026,0.00037457459256984293,0.00029864427051506937,0.00010389207454863936,0.0000610450078966096,0.000011146833458042238
6.249,-75.576,PGA,0.032189,300-320,0,0,0.000060652124375337735,0.00031174655305221677,0.0004046075919177383,0.00010257253597956151,0.00004430653643794358,0.0000057991865105577745
6.249,-75.576,PGA,0.032189,320-340,0,0,0.00003234121686546132,0.00020537506497930735,0.0002978183329105377,0.0000676663767080754,0.000038561989640584216,0.00000664655181026319
6.249,-75.576,PGA,0.032189,340-360,0,0,0.000017957316231331788,0.00011080643889727071,0.00019611220341175795,0.00008044368587434292,0.00004181063559371978,0.0000012177879398223013
6.249,-75.576,PGA,0.032189,360-380,0,0,0.000010508415471122134,0.00005488246097229421,0.00010396444849902764,0.000024162678528227843,0.00002938415127573535,0
6.249,-75.576,PGA,0.032189,380-400,0,0,0.000005931283794780029,0.00003793711221078411,0.00009991721890401095,0.000019273084035376087,0.000022586758859688416,0
6.249,-75.576,PGA,0.004438,0-20,0.00002311661228304729,0.000016571562809986062,0.000011506822374940384,0.00011228468065382913,0.000043191037548240274,0,0,0
6.249,-75.576,PGA,0.004438,20-40,0.00003632900188677013,0.000044517615606309846,0.000041628511098679155,0.0000727746810298413,0.000019433573470450938,0,0,0
6.249,-75.576,PGA,0.004438,40-60,0.000019400016753934324,0.00004716893454315141,0.00006273149483604357,0.0001373587001580745,0.00008081219129962847,0.000005975125077384291,0,0
6.249,-75.576,PGA,0.004438,60-80,0.000003367755653016502,0.000030115554181975313,0.00005918277383898385,0.00009428871999261901,0.00004854670987697318,0,0,0
6.249,-75.576,PGA,0.004438,80-100,3.580425200766513e-8,0.000009726039024826605,0.00004215418084640987,0.00008582908048992977,0.00007489145355066285,0.0000044925832298758905,0,0
6.249,-75.576,PGA,0.004438,100-120,0,0.0000016624703675915953,0.00002413666334177833,0.00005042705743107945,0.00004884600275545381,0.000011635916962404735,0,0
6.249,-75.576,PGA,0.004438,120-140,0,3.031751916182657e-8,0.000008062140295805875,0.00004892342985840514,0.00007765139889670536,0.00005959378904663026,0.00012235320173203945,0.0005941784474998713
6.249,-75.576,PGA,0.004438,140-160,0,0,0.0000017021502571878955,0.00002231326470791828,0.00006554394349223003,0.0001720388827379793,0.00034274227800779045,0.00012944857007823884
6.249,-75.576,PGA,0.004438,160-180,0,0,0.000018391427147435024,0.000052710354793816805,0.00012758892262354493,0.00010858645691769198,0.00010475360613781959,0.00002552953446866013
6.249,-75.576,PGA,0.004438,180-200,0,0,0.000027260930437478237,0.00008030806930037215,0.00014540868869516999,0.00004117262506042607,0.000055726952268742025,0.00001756667552399449
6.249,-75.576,PGA,0.004438,200-220,0,0,0.000011646645361906849,0.000050290760555071756,0.00009252592280972749,0.00003112919148406945,0.00003769914110307582,0.000010243486940453295
6.249,-75.576,PGA,0.004438,220-240,0,0,0.0000046803170334897,0.00003101512265857309,0.000060394901083782315,0.000016254654838121496,0.000024346012651221827,0.000010909219781751744
