# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
6.249,-75.576,Active Shallow Crust,PGA,0.014814951457083225,0.001620470779016614,0.0007311402587220073,0.0003604080411605537,0.00015460194845218211
6.249,-75.576,Active Shallow Crust,SA(0.1),0.017259109765291214,0.002176320645958185,0.0010602903785184026,0.0005445450660772622,0.00023718974262010306
6.249,-75.576,Active Shallow Crust,SA(0.2),0.014690583571791649,0.0016665866132825613,0.000773683306761086,0.0003823923470918089,0.0001620441471459344
6.249,-75.576,Active Shallow Crust,SA(0.3),0.013720061630010605,0.0014797946205362678,0.0006558453314937651,0.0003158478357363492,0.0001324194308836013
6.249,-75.576,Active Shallow Crust,SA(0.5),0.013909250497817993,0.0014323830837383866,0.000609564536716789,0.0002764077507890761,0.0001112324753194116
6.249,-75.576,Active Shallow Crust,SA(0.7),0.014083893038332462,0.0014504860155284405,0.0006109775858931243,0.0002781618677545339,0.00010941911023110151
6.249,-75.576,Active Shallow Crust,SA(1.0),0.01409081369638443,0.0014862240059301257,0.0006270186277106404,0.00028864608611911535,0.00011480866669444367
6.249,-75.576,Active Shallow Crust,SA(1.5),0.014572320505976677,0.0016373767284676433,0.000710466003511101,0.0003353178035467863,0.0001367446529911831
6.249,-75.576,Active Shallow Crust,SA(2.0),0.013891580514609814,0.0015472064260393381,0.0006691060843877494,0.00031312782084569335,0.000130053871544078
6.249,-75.576,Active Shallow Crust,SA(2.5),0.014366821385920048,0.0015772728947922587,0.0006822351133450866,0.0003205756365787238,0.00013195785868447274
6.249,-75.576,Active Shallow Crust,SA(3.0),0.015791209414601326,0.001764574903063476,0.0007625530124641955,0.00035713918623514473,0.0001461953652324155
6.249,-75.576,Active Shallow Crust,SA(4.0),0.01778111420571804,0.0019713903311640024,0.0008491735788993537,0.0003912792890332639,0.00015306500426959246
6.249,-75.576,Active Shallow Crust,SA(5.0),0.019512979313731194,0.002221614122390747,0.0009814865188673139,0.0004681429418269545,0.00018693233141675591
6.249,-75.576,Deep Seismicity,PGA,0.0019444377394393086,0.000029591044949484058,0.0000032979560273815878,1.795500139678552e-7,0
6.249,-75.576,Deep Seismicity,SA(0.1),0.0019822013564407825,0.00006832017243141308,0.00001514968153060181,0.000002718980113058933,1.2263063808859442e-7
6.249,-75.576,Deep Seismicity,SA(0.2),0.0032576865050941706,0.00012135865836171433,0.000026852592782233842,0.000004863484718953259,2.3656623682200006e-7
6.249,-75.576,Deep Seismicity,SA(0.3),0.003706068731844425,0.00011296937736915424,0.000020681596652138978,0.0000028926351660629734,7.254165268477664e-8
6.249,-75.576,Deep Seismicity,SA(0.5),0.003352877451106906,0.00006402192957466468,0.00000820043442217866,5.38113965831144e-7,0
6.249,-75.576,Deep Seismicity,SA(0.7),0.003501868573948741,0.00005985007373965345,0.000006901555025251582,3.8174377436916984e-7,0
6.249,-75.576,Deep Seismicity,SA(1.0),0.004276851657778025,0.00008077436359599233,0.000009792703167477157,6.338771072478266e-7,0
6.249,-75.576,Deep Seismicity,SA(1.5),0.004575567785650492,0.00008816629269858822,0.000010908189324254636,7.410392299789237e-7,0
6.249,-75.576,Deep Seismicity,SA(2.0),0.005457662511616945,0.00012358304229564965,0.00001623747630219441,0.0000011762826943595428,0
6.249,-75.576,Deep Seismicity,SA(2.5),0.0050016725435853004,0.00009527960355626419,0.000010936558282992337,5.869099481969897e-7,0
6.249,-75.576,Deep Seismicity,SA(3.0),0.0038707598578184843,0.00004562524918583222,0.0000034604638585733483,5.5015075162145877e-8,0
6.249,-75.576,Deep Seismicity,SA(4.0),0.0025247058365494013,0.000012171493835921865,3.521838891629159e-7,0,0
