# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154
PGA,mean,6.249,-75.576,0.6088424324989319,0.532985508441925,0.4451814591884613,0.3502897322177887,0.2560091018676758,0.17162808775901794,0.10467787086963654,0.05792609974741936,0.029151776805520058,0.01342757511883974,0.005711524281650782,0.002257650252431631,0.0008251326507888734,0.000272930454229936,0.0000788158577051945,0.000018605407603899948,,
PGA,quantile-0.15,6.249,-75.576,0.5411989688873291,0.46466806530952454,0.38149940967559814,0.29592081904411316,0.21405017375946045,0.1410166621208191,0.08514594286680222,0.045852772891521454,0.022872567176818848,0.010670234449207783,0.0045729088596999645,0.0018300573574379086,0.0006687554996460676,0.00020758187747560441,0.000049182650400325656,,,
PGA,quantile-0.85,6.249,-75.576,0.6755098104476929,0.6002986431121826,0.5073344111442566,0.40128692984580994,0.2970934212207794,0.20258699357509613,0.12570196390151978,0.0709076002240181,0.03550790622830391,0.01601778157055378,0.006573360878974199,0.002512280596420169,0.0009281216189265251,0.0003357297682669014,0.00010493773879716173,0.00002555719947849866,,
SA(0.1),mean,6.249,-75.576,0.6723036766052246,0.6183514595031738,0.5517750978469849,0.4739428758621216,0.38791659474372864,0.29905521869659424,0.21466077864170074,0.14206525683403015,0.08609284460544586,0.04761674255132675,0.024037867784500122,0.011109236627817154,0.004722642712295055,0.001850576139986515,0.0006647860864177346,0.00021577284496743232,0.00006176571332616732,0.000014908448974892963
SA(0.1),quantile-0.15,6.249,-75.576,0.6127663254737854,0.5516423583030701,0.4809771478176117,0.4066150188446045,0.3275297284126282,0.24815425276756287,0.17431293427944183,0.112299844622612,0.06658746302127838,0.035976871848106384,0.017665859311819077,0.007956982590258121,0.003281489945948124,0.0012396214297041297,0.00041793094715103507,0.00012433537631295621,0.000029178054319345392,
SA(0.1),quantile-0.85,6.249,-75.576,0.7473483085632324,0.7035611867904663,0.6420533657073975,0.5628222823143005,0.46840426325798035,0.3654494881629944,0.26437732577323914,0.17556072771549225,0.10699377208948135,0.06031716614961624,0.031016599386930466,0.014642009511590004,0.00643777335062623,0.0026319031603634357,0.0010206938022747636,0.00036330014700070024,0.00011939983232878149,0.000034192857128800824
SA(0.2),mean,6.249,-75.576,0.694723904132843,0.6436281204223633,0.5770049691200256,0.4961583912372589,0.4047798216342926,0.30949482321739197,0.21918079257011414,0.14243517816066742,0.08445117622613907,0.045610006898641586,0.022488653659820557,0.010175946168601513,0.004253676626831293,0.001648401259444654,0.0005887612933292985,0.00019043320207856596,0.00005407844219007529,0.000012658224477490876
SA(0.2),quantile-0.15,6.249,-75.576,0.6452520489692688,0.5885788798332214,0.5179194211959839,0.43800774216651917,0.35483214259147644,0.2705138921737671,0.1900370866060257,0.12187511473894119,0.07109716534614563,0.03812331706285477,0.018993599340319633,0.008578279986977577,0.0035234875977039337,0.0013411296531558037,0.00045674206921830773,0.00012771788169629872,0.000028617563657462597,
SA(0.2),quantile-0.85,6.249,-75.576,0.7553157210350037,0.7120776772499084,0.6487481594085693,0.5646393299102783,0.4638124406337738,0.3548870086669922,0.25068795680999756,0.16449251770973206,0.0996263399720192,0.05493801459670067,0.027375131845474243,0.012149782851338387,0.004927747882902622,0.0021196389570832253,0.000898016442079097,0.0003311118052806705,0.00009401137504028156,0.000021202700736466795
SA(0.3),mean,6.249,-75.576,0.6853488683700562,0.6277337670326233,0.5534226894378662,0.464886337518692,0.36758437752723694,0.27005961537361145,0.1822555661201477,0.11209110915660858,0.06262695789337158,0.03184807673096657,0.014829169027507305,0.006373013369739056,0.0025457870215177536,0.0009444212773814797,0.0003211096627637744,0.00009747912554303184,0.000025293782528024167,
