# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
1.251,-70.235,PGA,0.032189,0-20,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,20-40,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,40-60,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,60-80,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,80-100,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,100-120,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,120-140,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,140-160,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,160-180,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,180-200,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,200-220,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,220-240,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,240-260,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,260-280,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,280-300,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,300-320,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,320-340,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,340-360,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,360-380,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.032189,380-400,0,0,0,0,0,0,0,0
1.251,-70.235,PGA,0.004438,0-20,0.0000582259708608035,0.000024547238353989087,0.000010759873475763015,0.0000013036961945545045,0,0,0,0
1.251,-70.235,PGA,0.004438,20-40,0.00021889088384341449,0.00008309511031256989,0.00003166896931361407,0.0000034994995985471178,0,0,0,0
1.251,-70.235,PGA,0.004438,40-60,0.0003255276824347675,0.00013470635167323053,0.00005085253724246286,0.000005442973815661389,0,0,0,0
1.251,-70.235,PGA,0.004438,60-80,0.0003255933988839388,0.00016302891890518367,0.00006625083915423602,0.000007163031114032492,0,0,0,0
1.251,-70.235,PGA,0.004438,80-100,0.00026903822435997427,0.00017219656729139388,0.00007844455831218511,0.000008694434654898942,0,0,0,0
1.251,-70.235,PGA,0.004438,100-120,0.0001990370510611683,0.00016420002793893218,0.0000859398496686481,0.000010060858585347887,0,0,0,0
1.251,-70.235,PGA,0.004438,120-140,0.00013727137411478907,0.00014604305033572018,0.00008937472011893988,0.000011038120646844618,0,0,0,0
1.251,-70.235,PGA,0.004438,140-160,0.00009079801384359598,0.00012400241394061595,0.00008921725384425372,0.00001176051955553703,0,0,0,0
