# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
1.251,-70.235,Active Shallow Crust,PGA,0,0.004440666176378727,0.0021146631333976984,0.0010298172710463405,0.00040548460674472153
1.251,-70.235,Active Shallow Crust,SA(0.1),0,0.0044540404342114925,0.0021123094484210014,0.0010294767562299967,0.0004061434301547706
1.251,-70.235,Active Shallow Crust,SA(0.2),0,0.004464084282517433,0.002107757842168212,0.0010301931761205196,0.00040547148091718554
1.251,-70.235,Active Shallow Crust,SA(0.3),0,0.0044429418630898,0.002116180257871747,0.0010315717663615942,0.0004047763650305569
1.251,-70.235,Active Shallow Crust,SA(0.5),0,0.004452417138963938,0.002115726936608553,0.0010321285808458924,0.00040580303175374866
1.251,-70.235,Active Shallow Crust,SA(0.7),0,0.004441904369741678,0.0021202457137405872,0.0010330508230254054,0.00040477124275639653
1.251,-70.235,Active Shallow Crust,SA(1.0),0,0.004449709318578243,0.0021211826242506504,0.0010323654860258102,0.00040455147973261774
1.251,-70.235,Active Shallow Crust,SA(1.5),0,0.004456087481230497,0.002118112985044718,0.0010332503588870168,0.00040457435534335673
1.251,-70.235,Active Shallow Crust,SA(2.0),0,0,0.0021151909604668617,0.0010329097276553512,0.0004047538968734443
1.251,-70.235,Active Shallow Crust,SA(2.5),0,0,0.0021203274372965097,0.0010315279942005873,0.0004054993041791022
1.251,-70.235,Active Shallow Crust,SA(3.0),0,0,0,0.0010314466198906302,0.00040640353108756244
1.251,-70.235,Active Shallow Crust,SA(4.0),0,0,0,0.0010344127658754587,0.0004053756420034915
1.251,-70.235,Active Shallow Crust,SA(5.0),0,0,0,0,0.0004064698296133429
1.251,-70.235,Deep Seismicity,PGA,0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(0.1),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(0.2),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(0.3),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(0.5),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(0.7),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(1.0),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(1.5),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(2.0),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(2.5),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(3.0),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(4.0),0,0,0,0,0
1.251,-70.235,Deep Seismicity,SA(5.0),0,0,0,0,0
1.251,-70.235,Subduction Interface,PGA,0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(0.1),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(0.2),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(0.3),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(0.5),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(0.7),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(1.0),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(1.5),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(2.0),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(2.5),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(3.0),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(4.0),0,0,0,0,0
1.251,-70.235,Subduction Interface,SA(5.0),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,PGA,0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(0.1),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(0.2),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(0.3),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(0.5),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(0.7),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(1.0),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(1.5),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(2.0),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(2.5),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(3.0),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(4.0),0,0,0,0,0
1.251,-70.235,Subduction IntraSlab,SA(5.0),0,0,0,0,0
