# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
1.153,-76.652,Active Shallow Crust,PGA,0.01501925103366375,0.0031915507279336452,0.0017268231604248285,0.0009198407060466707,0.00038842749199829996
1.153,-76.652,Active Shallow Crust,SA(0.1),0.015193668194115162,0.0031372790690511465,0.0016848407685756683,0.0008981802966445684,0.00038236298132687807
1.153,-76.652,Active Shallow Crust,SA(0.2),0.014383336529135704,0.0029303571209311485,0.001582376891747117,0.0008592462399974465,0.00037262600380927324
1.153,-76.652,Active Shallow Crust,SA(0.3),0.01473812572658062,0.003052628366276622,0.0016573407920077443,0.0008888469892553985,0.0003827940090559423
1.153,-76.652,Active Shallow Crust,SA(0.5),0.014918080531060696,0.0032065585255622864,0.0017489211168140173,0.0009423850569874048,0.0003991796402260661
1.153,-76.652,Active Shallow Crust,SA(0.7),0.01598835177719593,0.0034278493840247393,0.0018379943212494254,0.0009658853523433208,0.00039993549580685794
1.153,-76.652,Active Shallow Crust,SA(1.0),0.016865618526935577,0.0036000357940793037,0.0019033459248021245,0.000987237086519599,0.000404724181862548
1.153,-76.652,Active Shallow Crust,SA(1.5),0.017661213874816895,0.0037540083285421133,0.0019567736890167,0.0010039707412943244,0.0004081929801031947
1.153,-76.652,Active Shallow Crust,SA(2.0),0.01798124983906746,0.0038008990231901407,0.0019644065760076046,0.0010048260446637869,0.0004070678842253983
1.153,-76.652,Active Shallow Crust,SA(2.5),0.018204282969236374,0.003826156258583069,0.001973310485482216,0.00100236595608294,0.0004062280640937388
1.153,-76.652,Active Shallow Crust,SA(3.0),0.019178351387381554,0.003915093839168549,0.001989462412893772,0.0010087176924571395,0.000406427017878741
1.153,-76.652,Active Shallow Crust,SA(4.0),0.02056022919714451,0.003914500121027231,0.001976326107978821,0.0009947471553459764,0.0004024508816655725
1.153,-76.652,Active Shallow Crust,SA(5.0),0.021725863218307495,0.004023779649287462,0.0020108772441744804,0.0010131874587386847,0.0004086769768036902
1.153,-76.652,Deep Seismicity,PGA,0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(0.1),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(0.2),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(0.3),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(0.5),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(0.7),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(1.0),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(1.5),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(2.0),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(2.5),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(3.0),0,0,0,0,0
1.153,-76.652,Deep Seismicity,SA(4.0),0,0,0,0,0
