# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
2.936,-75.278,PGA,0.032189,0-20,0.0005140633438713849,0.0002577930281404406,0.00012953754048794508,0.00006308942101895809,0.00001984105256269686,0.000007894318514445331,0,0
2.936,-75.278,PGA,0.032189,20-40,0.0010519158095121384,0.0007710859063081443,0.0004563386901281774,0.0006262371316552162,0.0003958681190852076,0.0002133184898411855,0.000021457737602759153,0
2.936,-75.278,PGA,0.032189,40-60,0.0007358691073022783,0.0008406335255131125,0.0006303436239250004,0.001016172580420971,0.0004882722860202193,0.00006798754475312307,0,0
2.936,-75.278,PGA,0.032189,60-80,0.00021961500169709325,0.0004401399928610772,0.0004856968589592725,0.0005740076303482056,0.00020660557493101805,0.00003171763091813773,0,0
2.936,-75.278,PGA,0.032189,80-100,0.00005051768312114291,0.00021192619169596583,0.00033676077146083117,0.0005261111655272543,0.00037015610723756254,0.0000827728072181344,0,0
2.936,-75.278,PGA,0.032189,100-120,0.000006656295227003284,0.00008601116860518232,0.00019427154620643705,0.0005168425850570202,0.00022965954849496484,0.000049809965275926515,0,0
2.936,-75.278,PGA,0.032189,120-140,2.535617227295006e-7,0.000027144245905219577,0.0001024225348373875,0.00024782679975032806,0.00020551997295115143,0.00006139131437521428,0,0
2.936,-75.278,PGA,0.032189,140-160,0,0.000007147765700210584,0.000057030516472877935,0.00015179856563918293,0.00006727170693920925,0.00002232949191238731,0,0
2.936,-75.278,PGA,0.032189,160-180,0,0.0000017866013877210207,0.0011215884005650878,0.001451545162126422,0.0016574159963056445,0.00006106210639700294,0,0
2.936,-75.278,PGA,0.032189,180-200,0,1.775223381628166e-7,0.0019651122856885195,0.0024682634975761175,0.0018373511265963316,0.000030983868782641366,0,0
2.936,-75.278,PGA,0.032189,200-220,0,1.0927192484189163e-10,0.0007468482363037765,0.0011581059079617262,0.0009339954704046249,0.00016145827248692513,0.0005277053569443524,0.0010407109512016177
2.936,-75.278,PGA,0.032189,220-240,0,0,0.000326680950820446,0.0004626449663192034,0.0003189125854987651,0.0002437533112242818,0.0005650547682307661,0
2.936,-75.278,PGA,0.032189,240-260,0,0,0.00012452961527742445,0.00018666911637410522,0.0001992964098462835,0.00021933489188086241,0.0002532530634198338,0
2.936,-75.278,PGA,0.032189,260-280,0,0,0.00004097393684787676,0.00010841192852240056,0.00015040086873341352,0.00017518583626952022,0.00008620521839475259,0
2.936,-75.278,PGA,0.032189,280-300,0,0,0.00001467620677431114,0.00004886888564215042,0.0000859787905937992,0.00009345659054815769,0.00004384440035209991,0
2.936,-75.278,PGA,0.032189,300-320,0,0,0.0000057437964642304,0.00003356703746248968,0.00008073365461314097,0.00006660972576355562,0.000016780319128884003,0
2.936,-75.278,PGA,0.032189,320-340,0,0,9.323199492428103e-7,0.000017584274246473797,0.00004162537879892625,0.000036587080103345215,0.000008906444236345123,0
2.936,-75.278,PGA,0.032189,340-360,0,0,1.3931176567894e-7,0.00000562054037800408,0.000014083116184337996,0.0000206699623959139,0.000005754780431743711,0
2.936,-75.278,PGA,0.032189,360-380,0,0,1.080852207735461e-8,0.0000019070924963671132,0.000008010691999515984,0.00001241988138644956,0.0000015761354461574228,0
2.936,-75.278,PGA,0.032189,380-400,0,0,0,7.125771617211285e-7,0.000004270614226697944,0.000007853805072954856,0,0
2.936,-75.278,PGA,0.004438,0-20,0.00016256317030638456,0.00012231091386638582,0.00008093622454907745,0.0000461630079371389,0.000015685829566791654,0.000006538177785841981,0,0
2.936,-75.278,PGA,0.004438,20-40,0.00009996112930821255,0.00013628517626784742,0.00013113800378050655,0.0002138479467248544,0.00018244449165649712,0.00011892993643414229,0.000012975133358850144,0
2.936,-75.278,PGA,0.004438,40-60,0.000015061626982060261,0.00005693493221770041,0.00008783965313341469,0.00022834465198684484,0.00017406450933776796,0.0000308947783196345,0,0
2.936,-75.278,PGA,0.004438,60-80,1.7265344354200352e-7,0.000008762999641476199,0.00003313119668746367,0.00008058973617153242,0.000052591793064493686,0.000011080967851739842,0,0
2.936,-75.278,PGA,0.004438,80-100,0,6.182243623698014e-7,0.000011183042261109222,0.00004840398833039217,0.00006850662612123415,0.000023134723960538395,0,0
2.936,-75.278,PGA,0.004438,100-120,0,0,0.0000025626316073612543,0.000033173673728015274,0.000029442788218148053,0.000010436910997668747,0,0
2.936,-75.278,PGA,0.004438,120-140,0,0,3.360389655426843e-7,0.000007517540325352456,0.000014912635379005224,0.00000766496032156283,0,0
2.936,-75.278,PGA,0.004438,140-160,0,0,1.6963573656880726e-8,0.0000028543133794300957,0.000004338702638051473,0.0000030767387215746567,0,0
2.936,-75.278,PGA,0.004438,160-180,0,0,0.00008181895827874541,0.000207834571483545,0.00039361027302220464,0.0000082029173427145,0,0
2.936,-75.278,PGA,0.004438,180-200,0,0,0.00009426935139345005,0.00026559209800325334,0.0003205071552656591,0.000003277753648944781,0,0
2.936,-75.278,PGA,0.004438,200-220,0,0,0.000014409162758965977,0.00007166319846874103,0.00010023554932558909,0.000012205188795633148,0.00008213258843170479,0.00022827672364655882
2.936,-75.278,PGA,0.004438,220-240,0,0,0.000001465384798393643,0.000016314719687215984,0.000017910933820530772,0.00001548608452139888,0.00007329349318752065,0
2.936,-75.278,PGA,0.004438,240-260,0,0,2.2341161809436016e-8,0.000002644644155225251,0.000007700059541093651,0.000010875833140744362,0.00002459641473251395,0
2.936,-75.278,PGA,0.004438,260-280,0,0,0,2.9022459102634457e-7,0.0000022508963866130216,0.000006357840447890339,0.000006894317721162224,0
2.936,-75.278,PGA,0.004438,280-300,0,0,0,6.03864478421201e-8,8.098753028207284e-7,0.000002277610519740847,0.0000027838232199428603,0
2.936,-75.278,PGA,0.004438,300-320,0,0,0,0,6.229018367776007e-7,0.0000014787979125685524,8.540789053768094e-7,0
2.936,-75.278,PGA,0.004438,320-340,0,0,0,0,1.593471949945524e-7,5.224353003541182e-7,3.51943924670195e-7,0
2.936,-75.278,PGA,0.004438,340-360,0,0,0,0,3.849033092251375e-9,1.4001912518324389e-7,1.6945253378253256e-7,0
2.936,-75.278,PGA,0.004438,360-380,0,0,0,0,9.45632638860161e-9,3.29965246237407e-8,3.274386983775912e-8,0
2.936,-75.278,PGA,0.004438,380-400,0,0,0,0,0,6.076663616738642e-9,0,0
2.936,-75.278,PGA,0.002105,0-20,0.00009419080743100494,0.00008206747588701546,0.00006074752673157491,0.000037323035940062255,0.00001312215408688644,0.0000055892196542117745,0,0
2.936,-75.278,PGA,0.002105,20-40,0.00003673130413517356,0.00006380556442309171,0.00007243850268423557,0.00012382255226839334,0.00011775235179811716,0.00008286064257845283,0.000009352057531941682,0
2.936,-75.278,PGA,0.002105,40-60,0.0000018928119516203878,0.000017155127352452837,0.0000372090726159513,0.00011401536175981164,0.000101847828773316,0.00001982062531169504,0,0
2.936,-75.278,PGA,0.002105,60-80,0,9.671495035945554e-7,0.000009880650395643897,0.000034066164516843855,0.00002755576861090958,0.000006461001703428337,0,0
2.936,-75.278,PGA,0.002105,80-100,0,1.2311862640501658e-10,0.0000018573731495052925,0.0000170479961525416,0.000031797429983271286,0.000012342234185780399,0,0
2.936,-75.278,PGA,0.002105,100-120,0,0,1.7338386726351018e-7,0.000009472744750382844,0.000012003993106191047,0.000005060302555648377,0,0
2.936,-75.278,PGA,0.002105,120-140,0,0,0,0.0000010471159157532384,0.000004585107944876654,0.0000030640774184576003,0,0
2.936,-75.278,PGA,0.002105,140-160,0,0,0,2.5589307028894837e-7,0.0000012319947018113453,0.0000012914129001728725,0,0
2.936,-75.278,PGA,0.002105,160-180,0,0,0.000025831894163275138,0.00009182506619254127,0.00020573899382725358,0.0000033584456105018035,0,0
2.936,-75.278,PGA,0.002105,180-200,0,0,0.000020767049136338755,0.00010346936323912814,0.00015023592277429998,0.0000012204085351186222,0,0
2.936,-75.278,PGA,0.002105,200-220,0,0,0.0000010639059837558307,0.000020731251424876973,0.0000391640787711367,0.0000037996690025465796,0.000034617274650372565,0.0001089514116756618
2.936,-75.278,PGA,0.002105,220-240,0,0,4.056007529840144e-9,0.0000028224817469890695,0.000005272954240354011,0.000004333810466050636,0.00002887077243940439,0
2.936,-75.278,PGA,0.002105,240-260,0,0,0,1.8541695112617163e-7,0.0000018669433075046982,0.0000025617832761781756,0.000008592781341576483,0
2.936,-75.278,PGA,0.002105,260-280,0,0,0,6.4051239867524146e-9,2.17429004578662e-7,0.000001174691533378791,0.0000021933074094704352,0
2.936,-75.278,PGA,0.002105,280-300,0,0,0,4.297007194509206e-12,1.38418796424844e-8,2.8931791007380525e-7,7.700548394495854e-7,0
2.936,-75.278,PGA,0.002105,300-320,0,0,0,0,0,1.3882618077332154e-7,1.9554713048819394e-7,0
2.936,-75.278,PGA,0.002105,320-340,0,0,0,0,0,2.644874008694842e-8,5.5907268148303046e-8,0
2.936,-75.278,PGA,0.002105,340-360,0,0,0,0,0,4.746844695091568e-9,8.885507440936635e-9,0
2.936,-75.278,PGA,0.002105,360-380,0,0,0,0,0,0,0,0
2.936,-75.278,PGA,0.002105,380-400,0,0,0,0,0,0,0,0
2.936,-75.278,PGA,0.001026,0-20,0.0000528984674019739,0.00005302392310113646,0.00004377552249934524,0.000029015380277996883,0.000010528765415074304,0.000004572957095660968,0,0
2.936,-75.278,PGA,0.001026,20-40,0.00001243607130163582,0.00002878368104575202,0.000038636568206129596,0.00006875193503219634,0.00007234923396026716,0.00005476921796798706,0.000006384044809237821,0
2.936,-75.278,PGA,0.001026,40-60,1.1163291446791845e-7,0.000004171185082668671,0.000014870808627165388,0.000054710908443666995,0.00005692275954061188,0.00001210282789543271,0,0
2.936,-75.278,PGA,0.001026,60-80,0,3.690075089934908e-8,0.0000022802712464908836,0.000013580655831901822,0.000013890576155972667,0.0000036053118037671084,0,0
2.936,-75.278,PGA,0.001026,80-100,0,0,1.6066233854417078e-7,0.000005124680683366023,0.000014113130418991204,0.00000629942132945871,0,0
2.936,-75.278,PGA,0.001026,100-120,0,0,0,0.0000019875117232004413,0.000004557366537483176,0.0000023526899894932285,0,0
2.936,-75.278,PGA,0.001026,120-140,0,0,0,7.700215576278424e-8,9.781350627235952e-7,0.0000011345291568432003,0,0
2.936,-75.278,PGA,0.001026,140-160,0,0,0,3.6454199658919606e-9,2.5090861299759126e-7,5.103017315377656e-7,0,0
2.936,-75.278,PGA,0.001026,160-180,0,0,0.0000060921311160200275,0.0000389896631531883,0.0001041540817823261,0.0000012835254210585845,0,0
2.936,-75.278,PGA,0.001026,180-200,0,0,0.0000024325690901605412,0.000036761994124390185,0.00006810278864577413,4.032085314520373e-7,0,0
2.936,-75.278,PGA,0.001026,200-220,0,0,6.503952931780077e-11,0.000004278541837265948,0.000014192516573530156,9.508109997113934e-7,0.00001368080575048225,0.000049306516302749515
2.936,-75.278,PGA,0.001026,220-240,0,0,0,2.949580562017218e-7,0.0000012378103519949946,8.941681812757452e-7,0.000010479015145392623,0
2.936,-75.278,PGA,0.001026,240-260,0,0,0,3.2789382320430605e-10,2.655249318195274e-7,3.453911858741776e-7,0.0000025740037017385475,0
2.936,-75.278,PGA,0.001026,260-280,0,0,0,0,1.035393992765421e-12,7.608568353134615e-8,5.289452928991523e-7,0
2.936,-75.278,PGA,0.001026,280-300,0,0,0,0,0,2.9754607666632182e-9,1.0474563794105052e-7,0
2.936,-75.278,PGA,0.001026,300-320,0,0,0,0,0,1.8947861057938553e-9,6.14565109913201e-9,0
2.936,-75.278,PGA,0.001026,320-340,0,0,0,0,0,7.854575878596393e-10,0,0
2.936,-75.278,PGA,0.001026,340-360,0,0,0,0,0,8.722378375125572e-11,0,0
2.936,-75.278,PGA,0.001026,360-380,0,0,0,0,0,0,0,0
2.936,-75.278,PGA,0.001026,380-400,0,0,0,0,0,0,0,0
2.936,-75.278,PGA,0.000404,0-20,0.000023276954379980452,0.000028090345949749462,0.000026751262339530513,0.000019655450159916654,0.000007404358711937675,0.0000032845823625393678,0,0
2.936,-75.278,PGA,0.000404,20-40,0.00000236667483477504,0.000008990778951556422,0.000015734143744339235,0.000029466022169799544,0.00003530452158884145,0.000029343993446673267,0.000003561247240213561,0
2.936,-75.278,PGA,0.000404,40-60,0,3.314535490517301e-7,0.000003581928467610851,0.000018859553165384568,0.00002447935548843816,0.000005853247330378508,0,0
2.936,-75.278,PGA,0.000404,60-80,0,0,1.538155061098223e-7,0.0000031596525786881102,0.000005178471838007681,0.000001550411866446666,0,0
2.936,-75.278,PGA,0.000404,80-100,0,0,0,5.441709731712763e-7,0.000004215440640109591,0.0000023829179554013535,0,0
2.936,-75.278,PGA,0.000404,100-120,0,0,0,7.470197260772693e-8,9.509727760814712e-7,7.678887072870566e-7,0,0
2.936,-75.278,PGA,0.000404,120-140,0,0,0,0,2.5365348932382403e-8,1.9386065730486735e-7,0,0
2.936,-75.278,PGA,0.000404,140-160,0,0,0,0,1.726626486231453e-8,1.141099446044791e-7,0,0
2.936,-75.278,PGA,0.000404,160-180,0,0,1.9764564740398782e-7,0.00001044507462211186,0.000039455848309444264,2.5583386786820483e-7,0,0
2.936,-75.278,PGA,0.000404,180-200,0,0,0,0.000006024219146638643,0.00002150686486857012,4.069093861858164e-8,0,0
