# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
1.212,-77.279,Active Shallow Crust,PGA,0.017359429970383644,0.0032615899108350277,0.001710329670459032,0.0008928074385039508,0.00038044460234232247
1.212,-77.279,Active Shallow Crust,SA(0.1),0.017856257036328316,0.003193097887560725,0.001649367157369852,0.000856069615110755,0.00035705725895240903
1.212,-77.279,Active Shallow Crust,SA(0.2),0.016390100121498108,0.002949714893475175,0.0015512231038883328,0.0008337577455677092,0.0003609621780924499
1.212,-77.279,Active Shallow Crust,SA(0.3),0.016242869198322296,0.003066595643758774,0.0016347430646419525,0.0008809887804090977,0.0003820676065515727
1.212,-77.279,Active Shallow Crust,SA(0.5),0.015860380604863167,0.0031916971784085035,0.00173780822660774,0.0009377444512210786,0.00039908484905026853
1.212,-77.279,Active Shallow Crust,SA(0.7),0.016538243740797043,0.003345558186993003,0.0017974734073504806,0.0009540828177705407,0.0003972887934651226
1.212,-77.279,Active Shallow Crust,SA(1.0),0.017234915867447853,0.0034743123687803745,0.0018469514325261116,0.0009704151307232678,0.0004032842116430402
1.212,-77.279,Active Shallow Crust,SA(1.5),0.017874494194984436,0.0036054758820682764,0.001897109323181212,0.0009868793422356248,0.00040631889714859426
1.212,-77.279,Active Shallow Crust,SA(2.0),0.018246524035930634,0.003652499755844474,0.0019049120601266623,0.0009863665327429771,0.0004041427746415138
1.212,-77.279,Active Shallow Crust,SA(2.5),0.0183098204433918,0.003645046381279826,0.0018965208437293768,0.0009758616797626019,0.0004011548589915037
1.212,-77.279,Active Shallow Crust,SA(3.0),0.018911221995949745,0.0037193235475569963,0.0019180572126060724,0.0009872313821688294,0.0004045572713948786
1.212,-77.279,Active Shallow Crust,SA(4.0),0.01989922672510147,0.0036763548851013184,0.0018752948381006718,0.0009668748243711889,0.0003976641455665231
1.212,-77.279,Active Shallow Crust,SA(5.0),0.020873386412858963,0.003748751012608409,0.0019065943779423833,0.0009742550319060683,0.0004002501373179257
1.212,-77.279,Deep Seismicity,PGA,0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(0.1),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(0.2),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(0.3),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(0.5),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(0.7),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(1.0),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(1.5),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(2.0),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(2.5),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(3.0),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(4.0),0,0,0,0,0
1.212,-77.279,Deep Seismicity,SA(5.0),0,0,0,0,0
1.212,-77.279,Subduction Interface,PGA,0.002450128085911274,0.00015957662253640592,0.00004627322778105736,0.000011178421118529513,7.731136406619044e-7
1.212,-77.279,Subduction Interface,SA(0.1),0.001233520801179111,0.000037060031900182366,0.000006620643489441136,4.2953203660545114e-7,0
1.212,-77.279,Subduction Interface,SA(0.2),0.002168889855965972,0.00012358433741610497,0.00003387425385881215,0.000007805060704413336,2.894354622640094e-7
1.212,-77.279,Subduction Interface,SA(0.3),0.0030689872801303864,0.00024716046755202115,0.00007679309783270583,0.000021098623619764112,0.0000022356364297593245
1.212,-77.279,Subduction Interface,SA(0.5),0.00436143483966589,0.000460738898254931,0.00015562995395157486,0.0000451316918770317,0.000005726981726184022
1.212,-77.279,Subduction Interface,SA(0.7),0.005223742686212063,0.0005985572352074087,0.0002007692528422922,0.00005684062489308417,0.000007062117674649926
1.212,-77.279,Subduction Interface,SA(1.0),0.0058587053790688515,0.000668404099997133,0.00021570354874711484,0.00005778114064014517,0.000006751423370587872
1.212,-77.279,Subduction Interface,SA(1.5),0.006121888291090727,0.0006411501672118902,0.0001915849425131455,0.000046511126129189506,0.000004519431513472227
1.212,-77.279,Subduction Interface,SA(2.0),0.006582269910722971,0.0006735948263667524,0.00019879073079209775,0.00004885658563580364,0.000005132670139573747
1.212,-77.279,Subduction Interface,SA(2.5),0.006869063712656498,0.0006889684591442347,0.00020502843835856766,0.00005143310045241378,0.0000060188822317286395
1.212,-77.279,Subduction Interface,SA(3.0),0.007058052811771631,0.0006833043298684061,0.0002008447190746665,0.000051260736654512584,0.000006205618774401955
1.212,-77.279,Subduction Interface,SA(4.0),0.007781066466122866,0.0007699833367951214,0.00024084093456622213,0.00006876415864098817,0.000010556443157838657
1.212,-77.279,Subduction Interface,SA(5.0),0.007892153225839138,0.0007116416818462312,0.00021793220366816968,0.00006040743755875155,0.000008997408258437645
1.212,-77.279,Subduction IntraSlab,PGA,0.0128585584461689,0.0010841145412996411,0.0003794764925260097,0.00012597237946465611,0.00002702198071347084
1.212,-77.279,Subduction IntraSlab,SA(0.1),0.0134268244728446,0.001270972192287445,0.0004887327668257058,0.00018378382083028555,0.0000471036255476065
1.212,-77.279,Subduction IntraSlab,SA(0.2),0.014345785602927208,0.0013939181808382273,0.0005324402009136975,0.0002020280371652916,0.00005097215034766123
1.212,-77.279,Subduction IntraSlab,SA(0.3),0.013613589107990265,0.0011671552201732993,0.00040182622615247965,0.00013195125211495906,0.000025490733605693094
1.212,-77.279,Subduction IntraSlab,SA(0.5),0.012585547752678394,0.0007899602060206234,0.00021754397312179208,0.00004975984847988002,0.0000037861302644159878
1.212,-77.279,Subduction IntraSlab,SA(0.7),0.011044788174331188,0.0005078446120023727,0.00011004357656929642,0.000016874864741112106,2.7213971520723135e-7
1.212,-77.279,Subduction IntraSlab,SA(1.0),0.009708808735013008,0.00031500202021561563,0.000051288829126860946,0.000004315834303270094,0
1.212,-77.279,Subduction IntraSlab,SA(1.5),0.008702660910785198,0.00020935611973982304,0.000026023380996775813,0.0000010864458772630314,0
1.212,-77.279,Subduction IntraSlab,SA(2.0),0.00788922980427742,0.00013428062084130943,0.000012470848560042214,2.1031188168763038e-7,0
1.212,-77.279,Subduction IntraSlab,SA(2.5),0.007517312187701464,0.00010697705874918029,0.000008513804459653329,6.271259422874209e-8,0
1.212,-77.279,Subduction IntraSlab,SA(3.0),0.006600234191864729,0.00006621289503527805,0.000003641685680122464,1.549642192344436e-9,0
1.212,-77.279,Subduction IntraSlab,SA(4.0),0.004896356724202633,0.000020868763385806233,3.274639368555654e-7,0,0
1.212,-77.279,Subduction IntraSlab,SA(5.0),0.0038071644958108664,0.0000058483033171796706,1.2423440054476487e-9,0,0
