# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
2.460,-76.599,PGA,0.032189,0-20,0.002805207157507539,0.0016384933842346072,0.0008635107078589499,0.0006263375980779529,0.00021374804782681167,0.000020626532204914838,0,0
2.460,-76.599,PGA,0.032189,20-40,0.001346496632322669,0.0013067076215520501,0.0008723835926502943,0.0003802441933657974,0.00010963255044771358,7.18221201623237e-7,0,0
2.460,-76.599,PGA,0.032189,40-60,0.00011451137834228575,0.00022165100381243974,0.00021529830701183528,0.00027112275711260736,0.00011390566942282021,0.0000069886737037450075,0,0
2.460,-76.599,PGA,0.032189,60-80,0.0000038117223084555008,0.000029114680728525855,0.00005169475480215624,0.00005163748937775381,0.000010881463822443038,0.000002546186578911147,0,0
2.460,-76.599,PGA,0.032189,80-100,4.184975210819175e-8,0.000004609454208548414,0.00001785852509783581,0.0002784279058687389,0.00029044615803286433,0.00010692574142012745,0,0
2.460,-76.599,PGA,0.032189,100-120,0,7.02925262885401e-7,0.001906511839479208,0.0021220592316240072,0.0019745412282645702,0.00002131128712790087,0,0
2.460,-76.599,PGA,0.032189,120-140,0,6.051403289575319e-8,0.0022257762029767036,0.0022659897804260254,0.0016231171321123838,0.00011052720219595358,0.00027301840600557625,0.0008757031755521894
2.460,-76.599,PGA,0.032189,140-160,0,0,0.0010160031961277127,0.001207854482345283,0.0009373716893605888,0.0003045249031856656,0.0007326278719119728,0.00006000243593007326
2.460,-76.599,PGA,0.032189,160-180,0,0,0.0003431897494010627,0.00048181606689468026,0.0004365153727121651,0.00025096681201830506,0.0002280320186400786,0
2.460,-76.599,PGA,0.032189,180-200,0,0,0.0001340588351013139,0.0002263464848510921,0.0002456823131069541,0.00012261747906450182,0.000049272228352492675,0
2.460,-76.599,PGA,0.032189,200-220,0,0,0.00005174387479200959,0.00012024946045130491,0.00013455393491312861,0.00004497272311709821,0.00002459201823512558,0
