# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467,iml_5.0000000000000036
PGA,mean,2.460,-76.599,0.49863237142562866,0.44486433267593384,0.385702908039093,0.32431191205978394,0.2639356553554535,0.20736025273799896,0.15645243227481842,0.11225396394729614,0.07546956092119217,0.0467056930065155,0.026135804131627083,0.013011577539145947,0.005678974557667971,0.002140597440302372,0.0006841127178631723,0.0001801247854018584,0.000037535850424319506,,,
PGA,quantile-0.15,2.460,-76.599,0.45124271512031555,0.4047016203403473,0.3565238118171692,0.3002697825431824,0.24207964539527893,0.1852964609861374,0.13590985536575317,0.09528345614671707,0.06287844479084015,0.038270678371191025,0.02090851590037346,0.010121002793312073,0.004282851237803698,0.0015541909961029887,0.000474112865049392,0.00011629448272287846,0.00002160375333914999,,,
PGA,quantile-0.85,2.460,-76.599,0.5482110381126404,0.48806771636009216,0.41932252049446106,0.34699925780296326,0.27686455845832825,0.2227918654680252,0.17576304078102112,0.12931792438030243,0.09058106690645218,0.05745787173509598,0.0334228053689003,0.016587240621447563,0.007362355012446642,0.0028435280546545982,0.0009252970921806991,0.00024877008399926126,0.00005912756023462862,0.000011144216841785237,,
SA(0.1),mean,2.460,-76.599,0.5459361672401428,0.505259096622467,0.4570734202861786,0.4033166766166687,0.34653982520103455,0.2895806133747101,0.2350376397371292,0.18476788699626923,0.1397905945777893,0.10068947076797485,0.06803786754608154,0.04242425411939621,0.024023791775107384,0.01217770203948021,0.00544923497363925,0.002116944408044219,0.0006978200399316847,0.00018897256813943386,0.00004016657476313412,
SA(0.1),quantile-0.15,2.460,-76.599,0.49602293968200684,0.4556303322315216,0.4104226529598236,0.36331650614738464,0.3187791109085083,0.26709190011024475,0.21253393590450287,0.16329380869865417,0.11875230073928833,0.08162058889865875,0.052971769124269485,0.031761106103658676,0.016867035999894142,0.007863806560635567,0.0033718901686370373,0.0012934744590893388,0.00042185740312561393,0.00011164829629706219,0.00001371368853142485,
SA(0.1),quantile-0.85,2.460,-76.599,0.6101012229919434,0.5694507360458374,0.5168029069900513,0.45571088790893555,0.38984766602516174,0.32141366600990295,0.2580595910549164,0.20557814836502075,0.1587229073047638,0.11896216124296188,0.0817970559000969,0.05132618173956871,0.02964475378394127,0.015267549082636833,0.006901293992996216,0.0027062168810516596,0.0009489744552411139,0.0002835505292750895,0.00006985291838645935,0.000013699576811632141
SA(0.2),mean,2.460,-76.599,0.5624960660934448,0.5229533910751343,0.4738018810749054,0.41742244362831116,0.35706090927124023,0.2962198257446289,0.23798391222953796,0.18453924357891083,0.13714274764060974,0.09656116366386414,0.06344664096832275,0.03826809674501419,0.020863410085439682,0.010143250226974487,0.004340851213783026,0.0016091581201180816,0.0005047228187322617,0.0001292074884986505,0.000025366456611664034,
SA(0.2),quantile-0.15,2.460,-76.599,0.514635443687439,0.4772430956363678,0.4309605360031128,0.3821716904640198,0.33224260807037354,0.28024762868881226,0.22261209785938263,0.16691595315933228,0.12010684609413147,0.08284875750541687,0.05325517803430557,0.03133039548993111,0.016622643917798996,0.007832891307771206,0.0032196652609854937,0.0011259430320933461,0.0003280449891462922,0.00007633861969225109,0.000013503960872185417,
SA(0.2),quantile-0.85,2.460,-76.599,0.6184849739074707,0.578338623046875,0.5237684845924377,0.45784053206443787,0.3850819766521454,0.3114248812198639,0.2490948587656021,0.19718508422374725,0.15332433581352234,0.11156772077083588,0.07485371083021164,0.04606027901172638,0.025368843227624893,0.01255861110985279,0.005554546136409044,0.0021203961223363876,0.0006940368912182748,0.00018630937847774476,0.00003513075353112072,
SA(0.3),mean,2.460,-76.599,0.5546929240226746,0.5108277201652527,0.45737379789352417,0.3973396420478821,0.33432725071907043,0.27189818024635315,0.21303150057792664,0.1598399579524994,0.11373721808195114,0.07573481649160385,0.04647079482674599,0.02588295005261898,0.01291335467249155,0.005703349132090807,0.0022027217783033848,0.0007330151274800301,0.0002053324569715187,0.000046733526687603444,,
SA(0.3),quantile-0.15,2.460,-76.599,0.5065682530403137,0.4700722396373749,0.4240517020225525,0.3734143078327179,0.3206951320171356,0.258937269449234,0.1994367241859436,0.14508910477161407,0.09985291212797165,0.06439947336912155,0.03838994726538658,0.02064436487853527,0.009846029803156853,0.004108936060220003,0.0014841583324596286,0.0004586797149386257,0.0001199331964016892,0.000027603698981693015,,
SA(0.3),quantile-0.85,2.460,-76.599,0.5988672375679016,0.549557089805603,0.48670148849487305,0.42026007175445557,0.3477177321910858,0.28245294094085693,0.22362837195396423,0.17391473054885864,0.1283271461725235,0.08846587687730789,0.05558140575885773,0.032258905470371246,0.01656884327530861,0.007519049569964409,0.002967428881675005,0.0010136507917195559,0.00029430128051899374,0.00007214345532702282,0.000012872940715169534,
SA(0.5),mean,2.460,-76.599,0.5230956673622131,0.471121221780777,0.4116598069667816,0.34801989793777466,0.2835310399532318,0.2213515043258667,0.16428272426128387,0.1147022396326065,0.0744103193283081,0.04428395256400108,0.023902345448732376,0.011586128734052181,0.005000274628400803,0.0019088139524683356,0.0006418046541512012,0.00018852957873605192,0.00004788222213392146,0.000010213184395979624,,
SA(0.5),quantile-0.15,2.460,-76.599,0.4816654920578003,0.43719762563705444,0.386541485786438,0.32724529504776,0.2598998248577118,0.20380201935768127,0.14535412192344666,0.0968833789229393,0.06038331240415573,0.035423245280981064,0.018681766465306282,0.008626298978924751,0.0034888023510575294,0.0012455927208065987,0.00038887502159923315,0.00010763126192614436,0.000027737938580685295,,,
SA(0.5),quantile-0.85,2.460,-76.599,0.5474808812141418,0.4904739260673523,0.4307217299938202,0.36954087018966675,0.3052102327346802,0.24340523779392242,0.18394342064857483,0.13120368123054504,0.08842018246650696,0.05470731481909752,0.030714314430952072,0.01553419791162014,0.007062648888677359,0.002813788130879402,0.0010078070918098092,0.00029321020701900125,0.00007386585639324039,0.000016985566617222503,,
SA(0.7),mean,2.460,-76.599,0.4761357307434082,0.4188610911369324,0.3570498526096344,0.2934807538986206,0.23103360831737518,0.172651007771492,0.12117978185415268,0.07896992564201355,0.04727201908826828,0.02576599456369877,0.012693717144429684,0.005611196160316467,0.00221068668179214,0.0007716594845987856,0.00023668937501497567,0.00006308811134658754,0.000014346806892717723,,,
SA(0.7),quantile-0.15,2.460,-76.599,0.43735527992248535,0.38937702775001526,0.3316136598587036,0.26478296518325806,0.2134084701538086,0.15559163689613342,0.10582619905471802,0.06654554605484009,0.0381578728556633,0.019980475306510925,0.009248952381312847,0.0037450301460921764,0.001347042853012681,0.00043312329216860235,0.0001247792097274214,0.00003332853157189675,,,,
SA(0.7),quantile-0.85,2.460,-76.599,0.50150465965271,0.4452517032623291,0.38389548659324646,0.3177160918712616,0.2535349130630493,0.19008301198482513,0.139383926987648,0.09342537820339203,0.05792582780122757,0.0335308238863945,0.01727242022752762,0.008133431896567345,0.0032935154158622026,0.001181629952043295,0.0003720487002283335,0.0000978429670794867,0.000027159521778230555,,,
SA(1.0),mean,2.460,-76.599,0.41747722029685974,0.357631117105484,0.2958599328994751,0.2345922589302063,0.17660245299339294,0.12487510591745377,0.08205894380807877,0.0496743805706501,0.027533864602446556,0.01390883419662714,0.006365613546222448,0.002620040439069271,0.0009613971342332661,0.00031158613273873925,0.00008827751298667863,0.00002158330062229652,,,,
SA(1.0),quantile-0.15,2.460,-76.599,0.38886788487434387,0.3342440128326416,0.2688213288784027,0.2171492576599121,0.15988291800022125,0.1078626811504364,0.06856199353933334,0.04002799466252327,0.02069324627518654,0.009695775806903839,0.004041086416691542,0.0014976890524849296,0.0004997188225388527,0.00016340534784831107,0.00004618216917151585,,,,,
SA(1.0),quantile-0.85,2.460,-76.599,0.4459364116191864,0.3773976266384125,0.3177294433116913,0.2557505965232849,0.19422368705272675,0.1408555805683136,0.09736110270023346,0.06065557524561882,0.03576027601957321,0.019053982570767403,0.009084400720894337,0.0038880007341504097,0.001459600287489593,0.0005110213533043861,0.00015127498772926629,0.000042241965275024995,0.000012815480658900924,,,
SA(1.5),mean,2.460,-76.599,0.34208226203918457,0.28172147274017334,0.2221035361289978,0.16592593491077423,0.11619670689105988,0.07554364949464798,0.04528877139091492,0.024945398792624474,0.012590235099196434,0.005797194316983223,0.002419632626697421,0.0009074138361029327,0.0003031244268640876,0.00008923783752834424,0.000022832145987194963,,,,,
SA(1.5),quantile-0.15,2.460,-76.599,0.3154679536819458,0.2551417648792267,0.20551708340644836,0.14821593463420868,0.09951727837324142,0.06183554604649544,0.03568507358431816,0.0181721281260252,0.008479181677103043,0.003704745089635253,0.001489179558120668,0.0005426439456641674,0.0001631774939596653,0.000041135292121907696,,,,,,
SA(1.5),quantile-0.85,2.460,-76.599,0.36337563395500183,0.30451467633247375,0.24302999675273895,0.18447552621364594,0.13196562230587006,0.08858231455087662,0.05574383959174156,0.03217950090765953,0.01708083599805832,0.008440745063126087,0.00379200535826385,0.001373849343508482,0.0005204183398745954,0.00015763974806759506,0.00004510387952905148,0.000014794099115533754,,,,
