# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
6.187,-67.487,PGA,0.032189,0-20,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,20-40,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,40-60,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,60-80,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,80-100,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,100-120,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,120-140,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,140-160,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,160-180,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,180-200,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,200-220,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,220-240,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,240-260,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,260-280,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,280-300,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,300-320,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,320-340,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,340-360,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,360-380,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.032189,380-400,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.004438,0-20,0.000058908153732772917,0.00002432711517030839,0.000010516122529224958,0.0000012699421176876058,0,0,0,0
6.187,-67.487,PGA,0.004438,20-40,0.00018542484031058848,0.00006597455649171025,0.000023611326469108462,0.000002455989942973247,0,0,0,0
6.187,-67.487,PGA,0.004438,40-60,0.00021998451848048717,0.00007743672904325649,0.000027379162929719314,0.0000028582628601725446,0,0,0,0
6.187,-67.487,PGA,0.004438,60-80,0.0002372847666265443,0.00008896765939425677,0.00003172220749547705,0.00000327709904013318,0,0,0,0
6.187,-67.487,PGA,0.004438,80-100,0.00024052920343820006,0.00009971619874704629,0.00003657482375274412,0.0000037699808217439568,0,0,0,0
6.187,-67.487,PGA,0.004438,100-120,0.0002308885013917461,0.00010992852912750095,0.00004196693771518767,0.000004403756520332536,0,0,0,0
6.187,-67.487,PGA,0.004438,120-140,0.00020591884094756097,0.0001140041567850858,0.000046319113607751206,0.000004882875145995058,0,0,0,0
6.187,-67.487,PGA,0.004438,140-160,0.00017329261754639447,0.0001132787874666974,0.00004986138446838595,0.0000053844673857383896,0,0,0,0
6.187,-67.487,PGA,0.004438,160-180,0.0001419980253558606,0.00011168737546540797,0.00005354973109206185,0.000005933671673119534,0,0,0,0
6.187,-67.487,PGA,0.004438,180-200,0.00011336021998431534,0.00010507395927561447,0.000055484051699750125,0.000006316322469501756,0,0,0,0
6.187,-67.487,PGA,0.004438,200-220,0.00008833948231767863,0.0000970003311522305,0.000056704629969317466,0.000006665898581559304,0,0,0,0
6.187,-67.487,PGA,0.004438,220-240,0.00006810967170167714,0.00008934461220633239,0.00005775305908173323,0.0000071092335929279216,0,0,0,0
6.187,-67.487,PGA,0.004438,240-260,0.00005204390981816687,0.0000800849447841756,0.000057474710047245026,0.000007297428965102881,0,0,0,0
6.187,-67.487,PGA,0.004438,260-280,0.00003929689773940481,0.00007107973215170205,0.00005663192132487893,0.000007550180271209683,0,0,0,0
6.187,-67.487,PGA,0.004438,280-300,0.000029544742574216798,0.00006306768045760691,0.000055672699090791866,0.00000775363059801748,0,0,0,0
6.187,-67.487,PGA,0.004438,300-320,0.000022140637156553566,0.00005498366226674989,0.00005402187889558263,0.000007813481715857051,0,0,0,0
6.187,-67.487,PGA,0.004438,320-340,0.000016388195945182815,0.00004813246778212488,0.000052051578677492216,0.000007897697287262417,0,0,0,0
6.187,-67.487,PGA,0.004438,340-360,0.000006500638846773654,0.00002158248025807552,0.000025247258236049674,0.000003977908363594906,0,4.98053395858733e-7,0,0
6.187,-67.487,PGA,0.004438,360-380,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.004438,380-400,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.002105,0-20,0.00005887245788471773,0.00002432711517030839,0.000010516122529224958,0.0000012699421176876058,0,0,0,0
6.187,-67.487,PGA,0.002105,20-40,0.00017952249618247151,0.00006559457688126713,0.000023601151042385027,0.000002455989942973247,0,0,0,0
6.187,-67.487,PGA,0.002105,40-60,0.0001861193304648623,0.00007390647078864276,0.000027119946025777608,0.0000028525507786980597,0,0,0,0
6.187,-67.487,PGA,0.002105,60-80,0.00015734965563751757,0.00007703262235736474,0.000030501145374728367,0.00000323585982187069,0,0,0,0
6.187,-67.487,PGA,0.002105,80-100,0.00011941183038288727,0.00007461976929334924,0.00003331072730361484,0.0000036388346416060813,0,0,0,0
6.187,-67.487,PGA,0.002105,100-120,0.00008535131928510964,0.00006903379107825458,0.000035408895200816914,0.0000041034063542610966,0,0,0,0
6.187,-67.487,PGA,0.002105,120-140,0.000057335473684361205,0.000059524823882384226,0.00003560070399544202,0.0000043367763282731175,0,0,0,0
6.187,-67.487,PGA,0.002105,140-160,0.0000369491935998667,0.000049063277401728556,0.000034526008676039055,0.000004510572125582257,0,0,0,0
6.187,-67.487,PGA,0.002105,160-180,0.00002352566662011668,0.00004029826231999323,0.000033211235859198496,0.000004648355570679996,0,0,0,0
6.187,-67.487,PGA,0.002105,180-200,0.000014749904948985204,0.00003185544119332917,0.00003072762774536386,0.0000045998781388334464,0,0,0,0
6.187,-67.487,PGA,0.002105,200-220,0.000009055151167558506,0.000024874334485502914,0.00002807510827551596,0.000004494836048252182,0,0,0,0
6.187,-67.487,PGA,0.002105,220-240,0.000005432984835351817,0.00001952537422766909,0.00002557716470619198,0.00000442771533926134,0,0,0,0
6.187,-67.487,PGA,0.002105,240-260,0.000003138371994282352,0.000015038975107017905,0.00002282409514009487,0.000004190840627416037,0,0,0,0
6.187,-67.487,PGA,0.002105,260-280,0.000001756433334776375,0.000011512530363688711,0.000020252338799764402,0.0000039976939660846256,0,0,0,0
6.187,-67.487,PGA,0.002105,280-300,9.394772177984123e-7,0.000008863902621669695,0.00001796249853214249,0.0000037850404623895884,0,0,0,0
6.187,-67.487,PGA,0.002105,300-320,4.704708089775522e-7,0.000006727813797624549,0.000015786272342666052,0.000003520148084135144,0,0,0,0
6.187,-67.487,PGA,0.002105,320-340,2.041345510406245e-7,0.0000051222832553321496,0.000013828934243065305,0.0000032864911645447137,0,0,0,0
6.187,-67.487,PGA,0.002105,340-360,4.616448734395817e-8,0.0000020615639186871704,0.000006249064426810946,0.0000015610829677825677,0,4.829931867789128e-7,0,0
6.187,-67.487,PGA,0.002105,360-380,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.002105,380-400,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.001026,0-20,0.00005794233220512979,0.000024250759452115744,0.000010513077540963423,0.0000012699421176876058,0,0,0,0
6.187,-67.487,PGA,0.001026,20-40,0.00015284378605429083,0.00006200609641382471,0.000023219607101054862,0.000002442141976644052,0,0,0,0
6.187,-67.487,PGA,0.001026,40-60,0.00011518695100676268,0.000059700014389818534,0.000025048890165635385,0.00000275170987151796,0,0,0,0
6.187,-67.487,PGA,0.001026,60-80,0.00006660837971139699,0.00004936804180033505,0.000025104794985963963,0.0000029325740342756035,0,0,0,0
6.187,-67.487,PGA,0.001026,80-100,0.00003531588663463481,0.00003723034024005756,0.00002367857268836815,0.0000030158769277477404,0,0,0,0
6.187,-67.487,PGA,0.001026,100-120,0.00001818943565012887,0.000026975552827934735,0.00002149231113435235,0.0000030581002192775486,0,0,0,0
6.187,-67.487,PGA,0.001026,120-140,0.000008971128409029916,0.000018546759747550823,0.000018438038750900887,0.0000028790630040020915,0,0,0,0
6.187,-67.487,PGA,0.001026,140-160,0.000004208828613627702,0.00001236621756106615,0.00001532392343506217,0.000002660251993802376,0,0,0,0
6.187,-67.487,PGA,0.001026,160-180,0.0000018340829228691291,0.000008326572242367547,0.000012725589840556495,0.000002435555643387488,0,0,0,0
6.187,-67.487,PGA,0.001026,180-200,7.270715514096082e-7,0.000005453239737107651,0.000010237003152724355,0.0000021467942588060396,0,0,0,0
6.187,-67.487,PGA,0.001026,200-220,2.446938083267014e-7,0.000003535392579578911,0.000008204751793527976,0.0000018753640915747383,0,0,0,0
6.187,-67.487,PGA,0.001026,220-240,5.442174710879044e-8,0.000002290074689881294,0.000006594366823264863,0.0000016581942645643721,0,0,0,0
6.187,-67.487,PGA,0.001026,240-260,2.3713417895976363e-9,0.0000014302569297797163,0.000005222091658652062,0.0000014137659718471696,0,0,0,0
6.187,-67.487,PGA,0.001026,260-280,0,8.599330385550275e-7,0.00000413927637055167,0.000001220172975990863,0,0,0,0
6.187,-67.487,PGA,0.001026,280-300,0,5.105501372781873e-7,0.0000032866926176211564,0.0000010488375892236945,0,0,0,0
6.187,-67.487,PGA,0.001026,300-320,0,2.894978194944997e-7,0.0000025945375909941504,8.889268769962655e-7,0,0,0,0
6.187,-67.487,PGA,0.001026,320-340,0,1.543923531244218e-7,0.0000020453016986721195,7.58525573019142e-7,0,0,0,0
6.187,-67.487,PGA,0.001026,340-360,0,4.411591802977455e-8,8.522550842826604e-7,3.37290572360871e-7,0,4.064268921410985e-7,0,0
6.187,-67.487,PGA,0.001026,360-380,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.001026,380-400,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.000404,0-20,0.00005059486284153536,0.000022982329028309323,0.00001030818839353742,0.000001258210090782086,0,0,0,0
6.187,-67.487,PGA,0.000404,20-40,0.0000838925116113387,0.0000451939704362303,0.000020007864804938436,0.0000022466319933300838,0,0,0,0
6.187,-67.487,PGA,0.000404,40-60,0.00003332926644361578,0.000028232172553543933,0.000016638226952636614,0.0000021319071947800694,0,0,0,0
6.187,-67.487,PGA,0.000404,60-80,0.000010501798897166736,0.000014885697055433411,0.000012232690096425358,0.0000018096496887665126,0,0,0,0
6.187,-67.487,PGA,0.000404,80-100,0.000003145032678730786,0.000007453970738424687,0.000008522163625457324,0.0000014655099676019745,0,0,0,0
6.187,-67.487,PGA,0.000404,100-120,8.014545187506883e-7,0.0000037170354971749475,0.000005849774424859788,0.0000011781752391470945,0,0,0,0
6.187,-67.487,PGA,0.000404,120-140,1.3894293715566164e-7,0.0000017886192154037417,0.00000388468470191583,8.892192226994666e-7,0,0,0,0
6.187,-67.487,PGA,0.000404,140-160,6.1795422112709275e-9,8.035124210437061e-7,0.0000025463432393735275,6.683522428829747e-7,0,0,0,0
6.187,-67.487,PGA,0.000404,160-180,0,3.320402583995019e-7,0.0000016924250303418376,5.038440349380835e-7,0,0,0,0
6.187,-67.487,PGA,0.000404,180-200,0,1.1913263620044745e-7,0.0000010962013448079233,3.6989320051361574e-7,0,0,0,0
6.187,-67.487,PGA,0.000404,200-220,0,3.195895459384701e-8,7.068060199344472e-7,2.716006690661743e-7,0,0,0,0
6.187,-67.487,PGA,0.000404,220-240,0,3.3462601578548856e-9,4.4821547362516867e-7,2.031567589710903e-7,0,0,0,0
6.187,-67.487,PGA,0.000404,240-260,0,0,2.7009886593987176e-7,1.4684556504107604e-7,0,0,0,0
6.187,-67.487,PGA,0.000404,260-280,0,0,1.5952940657371073e-7,1.0744290790398736e-7,0,0,0,0
6.187,-67.487,PGA,0.000404,280-300,0,0,9.048904558994764e-8,7.77784663341663e-8,0,0,0,0
6.187,-67.487,PGA,0.000404,300-320,0,0,4.821455235060057e-8,5.479601483671104e-8,0,0,0,0
6.187,-67.487,PGA,0.000404,320-340,0,0,2.3188606590451855e-8,3.7872300850949614e-8,0,0,0,0
6.187,-67.487,PGA,0.000404,340-360,0,0,5.727212482042887e-9,1.3944661425568938e-8,0,2.0380974774525384e-7,0,0
6.187,-67.487,PGA,0.000404,360-380,0,0,0,0,0,0,0,0
6.187,-67.487,PGA,0.000404,380-400,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,0-20,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,20-40,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,40-60,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,60-80,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,80-100,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,100-120,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,120-140,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,140-160,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,160-180,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,180-200,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,200-220,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,220-240,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,240-260,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,260-280,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,280-300,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,300-320,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,320-340,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,340-360,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,360-380,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.032189,380-400,0,0,0,0,0,0,0,0
6.187,-67.487,SA(0.1),0.004438,0-20,0.000058908153732772917,0.00002432711517030839,0.000010516122529224958,0.0000012699421176876058,0,0,0,0
6.187,-67.487,SA(0.1),0.004438,20-40,0.00018545928469393402,0.00006597455649171025,0.000023611326469108462,0.000002455989942973247,0,0,0,0
6.187,-67.487,SA(0.1),0.004438,40-60,0.00022071297280490398,0.00007742829620838165,0.000027378655431675725,0.0000028582628601725446,0,0,0,0
6.187,-67.487,SA(0.1),0.004438,60-80,0.00024053316155914217,0.00008894799248082563,0.000031696083169663325,0.0000032768741675681667,0,0,0,0
6.187,-67.487,SA(0.1),0.004438,80-100,0.00024780395324341953,0.00009968539234250784,0.000036465866287471727,0.0000037636461911461083,0,0,0,0
6.187,-67.487,SA(0.1),0.004438,100-120,0.00024213055439759046,0.00010982686944771558,0.00004168177110841498,0.0000043843197090609465,0,0,0,0
6.187,-67.487,SA(0.1),0.004438,120-140,0.00021947485220152885,0.00011368381819920614,0.00004573109981720336,0.00000483964640807244,0,0,0,0
6.187,-67.487,SA(0.1),0.004438,140-160,0.00018713859026320279,0.00011257088044658303,0.00004882662324234843,0.00000530218403582694,0,0,0,0
