# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
6.187,-67.487,Active Shallow Crust,PGA,0,0.004445645026862621,0.00210755318403244,0.0010288897901773453,0.00040604863897897303
6.187,-67.487,Active Shallow Crust,SA(0.1),0,0.004459526389837265,0.00211017276160419,0.0010286493925377727,0.0004059487546328455
6.187,-67.487,Active Shallow Crust,SA(0.2),0,0.004464494530111551,0.002113663125783205,0.0010281512513756752,0.00040460468153469265
6.187,-67.487,Active Shallow Crust,SA(0.3),0,0.004438432399183512,0.0021100486628711224,0.0010300471913069487,0.0004052466247230768
6.187,-67.487,Active Shallow Crust,SA(0.5),0,0.004449210129678249,0.002114308765158057,0.0010300393914803863,0.0004042803484480828
6.187,-67.487,Active Shallow Crust,SA(0.7),0,0.0044403960928320885,0.0021101036109030247,0.0010315022664144635,0.00040485482895746827
6.187,-67.487,Active Shallow Crust,SA(1.0),0,0,0.0021073599345982075,0.0010319253196939826,0.0004055024473927915
6.187,-67.487,Active Shallow Crust,SA(1.5),0,0,0.0021156969014555216,0.0010307789780199528,0.00040456379065290093
6.187,-67.487,Active Shallow Crust,SA(2.0),0,0,0,0.0010297548724338412,0.00040427298517897725
6.187,-67.487,Active Shallow Crust,SA(2.5),0,0,0,0.0010319072753190994,0.0004058021877426654
6.187,-67.487,Active Shallow Crust,SA(3.0),0,0,0,0,0.00040578548214398324
6.187,-67.487,Active Shallow Crust,SA(4.0),0,0,0,0,0.00040481978794559836
6.187,-67.487,Active Shallow Crust,SA(5.0),0,0,0,0,0.00040619095670990646
6.187,-67.487,Deep Seismicity,PGA,0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(0.1),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(0.2),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(0.3),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(0.5),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(0.7),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(1.0),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(1.5),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(2.0),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(2.5),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(3.0),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(4.0),0,0,0,0,0
6.187,-67.487,Deep Seismicity,SA(5.0),0,0,0,0,0
6.187,-67.487,Subduction Interface,PGA,0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(0.1),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(0.2),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(0.3),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(0.5),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(0.7),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(1.0),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(1.5),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(2.0),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(2.5),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(3.0),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(4.0),0,0,0,0,0
6.187,-67.487,Subduction Interface,SA(5.0),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,PGA,0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(0.1),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(0.2),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(0.3),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(0.5),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(0.7),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(1.0),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(1.5),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(2.0),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(2.5),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(3.0),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(4.0),0,0,0,0,0
6.187,-67.487,Subduction IntraSlab,SA(5.0),0,0,0,0,0
