# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792
PGA,mean,6.187,-67.487,0.007306988816708326,0.005536927841603756,0.004023636691272259,0.0028249507304280996,0.0019284685840830207,0.0012852043146267533,0.0008362286607734859,0.0005282734055072069,0.0003204014792572707,0.00018376161460764706,0.0000979503893177025,0.00004760743831866421,0.00002064193904516287,,,
PGA,quantile-0.15,6.187,-67.487,0.0059340293519198895,0.00438460661098361,0.0031370865181088448,0.002196346875280142,0.001513747964054346,0.0010272777872160077,0.000682620273437351,0.00043935360736213624,0.0002649387752171606,0.00014794239541515708,0.00007627631566720083,0.00003559351898729801,0.000014634128092438914,,,
PGA,quantile-0.85,6.187,-67.487,0.008526777848601341,0.006549871526658535,0.005048913415521383,0.003488735994324088,0.0023156097158789635,0.00147474673576653,0.0010018356842920184,0.000663992774207145,0.00042054729419760406,0.00024371019389946014,0.00012979017628822476,0.00006223515811143443,0.000026159903427469544,,,
SA(0.1),mean,6.187,-67.487,0.009300274774432182,0.007607524748891592,0.005962866358458996,0.004498084541410208,0.0032828012481331825,0.002329407725483179,0.0016133859753608704,0.0010922468500211835,0.000720787385944277,0.00046012314851395786,0.0002807497512549162,0.00016132547170855105,0.00008587494812672958,0.00004160241223871708,0.000017989177649724297,
SA(0.1),quantile-0.15,6.187,-67.487,0.007871982641518116,0.006228527519851923,0.004739243537187576,0.0034964673686772585,0.002519892994314432,0.0017819664208218455,0.0012372120982035995,0.0008402919629588723,0.0005537319811992347,0.0003498435253277421,0.0002022377884713933,0.00010854442371055484,0.000053158666560193524,0.000023230877559399232,,
SA(0.1),quantile-0.85,6.187,-67.487,0.01230926625430584,0.010355915874242783,0.008256076835095882,0.006140361540019512,0.004450925625860691,0.0030939029529690742,0.0020935707725584507,0.0013824272900819778,0.000892900163307786,0.0005621690070256591,0.00034213988692499697,0.00020215164113324136,0.0001129481679527089,0.00005827774293720722,0.000027284964744467288,0.000011359432392055169
SA(0.2),mean,6.187,-67.487,0.01016631256788969,0.008416437543928623,0.006614520214498043,0.004953810013830662,0.0035574953071773052,0.0024668739642947912,0.0016619173111394048,0.0010914505692198873,0.0006978849996812642,0.00043151210411451757,0.0002550193457864225,0.000141930315294303,0.00007313335663639009,0.00003424074384383857,0.000014262569493439514,
SA(0.2),quantile-0.15,6.187,-67.487,0.008963126689195633,0.007247249595820904,0.005569034721702337,0.004099633544683456,0.0029181421268731356,0.002026038011536002,0.0013787354109808803,0.0009190663113258779,0.0005963954608887434,0.0003726239374373108,0.00021575065329670906,0.00011556268145795912,0.00005680444883182645,0.000025102934159804136,,
SA(0.2),quantile-0.85,6.187,-67.487,0.01183388102799654,0.010941009037196636,0.008706810884177685,0.006512171123176813,0.0045202793553471565,0.003040371695533395,0.0019680974073708057,0.0012339811073616147,0.0008204436744563282,0.0005466396105475724,0.00034423466422595084,0.00019876415899489075,0.00010561401722952724,0.000050567599828355014,0.00002131107794411946,
SA(0.3),mean,6.187,-67.487,0.009781554341316223,0.007917352020740509,0.006065321154892445,0.00441961782053113,0.0030837177764624357,0.0020748320966959,0.0013538396451622248,0.0008584382594563067,0.0005273137940093875,0.0003110817924607545,0.00017396366456523538,0.000090770838141907,0.00004341236126492731,0.000018663526134332642,,
SA(0.3),quantile-0.15,6.187,-67.487,0.008626147173345089,0.006904722657054663,0.005252558272331953,0.0038256472907960415,0.0026908968575298786,0.001842741621658206,0.001233703806065023,0.0007622017292305827,0.0004483659577090293,0.0002538984699640423,0.00013178015069570392,0.00006406084867194295,0.00002864047019102145,0.000011534190889506135,,
SA(0.3),quantile-0.85,6.187,-67.487,0.011269696056842804,0.009079674258828163,0.007365267723798752,0.005265123676508665,0.003551134839653969,0.0022741169668734074,0.0015069801593199372,0.0010198848322033882,0.0006669044960290194,0.000416989583754912,0.00024125420895870775,0.00012798572424799204,0.00006175978342071176,0.000026537863959674723,,
SA(0.5),mean,6.187,-67.487,0.008529366925358772,0.006608352065086365,0.004842541180551052,0.003371652215719223,0.0022423872724175453,0.001432180404663086,0.0008814824395813048,0.000522835529409349,0.00029744140920229256,0.00016075765597634017,0.000081468271673657,0.000038109301385702565,0.000016170559320016764,,,
SA(0.5),quantile-0.15,6.187,-67.487,0.007418632972985506,0.005714740604162216,0.004188516642898321,0.002934463554993272,0.001900587580166757,0.0011744069634005427,0.0006953799165785313,0.0003956959117203951,0.00021639205806422979,0.0001087124619516544,0.0000514889725309331,0.00002270869299536571,,,,
SA(0.5),quantile-0.85,6.187,-67.487,0.009436012245714664,0.007167222909629345,0.005474952515214682,0.003986372146755457,0.00276627903804183,0.0018359520472586155,0.0011684308992698789,0.0007127593271434307,0.00041456540930084884,0.0002263227361254394,0.00011185171752003953,0.000050570590246934444,0.000020513707568170503,,,
SA(0.7),mean,6.187,-67.487,0.006805671378970146,0.00504287239164114,0.0035510279703885317,0.002384987659752369,0.0015332483453676105,0.0009456184925511479,0.0005595613038167357,0.00031667575240135193,0.00017017187201417983,0.00008589683420723304,0.00004017912215203978,0.00001714030804578215,,,,
SA(0.7),quantile-0.15,6.187,-67.487,0.006031166762113571,0.00441028643399477,0.00305530265904963,0.0020104998257011175,0.0012602964416146278,0.0007546379347331822,0.000432772736530751,0.00023806869285181165,0.0001221115526277572,0.00005851229798281565,0.0000263233196164947,0.000010948360795737244,,,,
SA(0.7),quantile-0.85,6.187,-67.487,0.00726640410721302,0.00554719939827919,0.004038412123918533,0.0027974117547273636,0.0018469925271347165,0.0011635293485596776,0.0006990187685005367,0.00039920222479850054,0.000215232401387766,0.00010504310921533033,0.00004868667747359723,0.000021241356080281548,,,,
SA(1.0),mean,6.187,-67.487,0.004981802310794592,0.0035298634320497513,0.002388643566519022,0.0015468727797269821,0.0009596137097105384,0.0005701163900084794,0.0003235909389331937,0.00017449531878810376,0.00008860484376782551,0.000041878192860167474,0.000018164109860663302,,,,,
SA(1.0),quantile-0.15,6.187,-67.487,0.004411043133586645,0.003092242171987891,0.0020638706628233194,0.0013129385188221931,0.0007969524594955146,0.0004625332949217409,0.00025726144667714834,0.0001348126825178042,0.0000656438060104847,0.00003018869574589189,0.000012944236004841514,,,,,
SA(1.0),quantile-0.85,6.187,-67.487,0.005390126723796129,0.003812846029177308,0.0026027378626167774,0.0017119153635576367,0.0010725583415478468,0.0006393349613063037,0.00036848141462542117,0.00020246923668310046,0.00010664513683877885,0.00005175917613087222,0.00002277976273035165,,,,,
SA(1.5),mean,6.187,-67.487,0.003204907523468137,0.002161209238693118,0.0013930713757872581,0.0008578456472605467,0.0005042246193625033,0.00028231553733348846,0.0001499188074376434,0.00007495231693610549,0.000034926320950035006,0.000014977892533352133,,,,,,
SA(1.5),quantile-0.15,6.187,-67.487,0.0027488309424370527,0.0018421574495732784,0.0011789749842137098,0.0007204567664302886,0.0004209649341646582,0.00023564974253531545,0.00012405744928400964,0.0000608463233220391,0.00002820449481077958,0.000012207876352476887,,,,,,
