# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467,iml_5.0000000000000036
PGA,mean,5.681,-76.638,0.5493260622024536,0.4788232147693634,0.4015564024448395,0.32311761379241943,0.24909982085227966,0.1838221698999405,0.12953917682170868,0.08665959537029266,0.054545581340789795,0.03198765590786934,0.017322247847914696,0.008588401600718498,0.0038563627749681473,0.0015415800735354424,0.0005339363124221563,0.00015368600725196302,0.000034691242035478354,,,
PGA,quantile-0.15,5.681,-76.638,0.49827998876571655,0.427966833114624,0.3539366126060486,0.2809430658817291,0.21385088562965393,0.15641634166240692,0.11188763380050659,0.07429247349500656,0.046403348445892334,0.026786552742123604,0.014728130772709846,0.006976211443543434,0.0027565511409193277,0.0008929881732910872,0.00023015755868982524,0.000046114728320389986,,,,
PGA,quantile-0.85,5.681,-76.638,0.6046809554100037,0.533038854598999,0.4495587646961212,0.36148807406425476,0.28079572319984436,0.2096724510192871,0.1493462175130844,0.10096993297338486,0.0632198303937912,0.03749419003725052,0.020392751321196556,0.010364254005253315,0.004642894025892019,0.002151260618120432,0.0008763386867940426,0.0002843576658051461,0.00006823993317084387,,,
SA(0.1),mean,5.681,-76.638,0.6106154918670654,0.5581989884376526,0.4958120584487915,0.42647749185562134,0.3541647791862488,0.283192902803421,0.2175816297531128,0.16031737625598907,0.11293371766805649,0.07565564662218094,0.04783386364579201,0.02829357236623764,0.015507659874856472,0.007790334522724152,0.0035366383381187916,0.0014247808139771223,0.0004981373203918338,0.00014719566388521343,0.00003548641689121723,
SA(0.1),quantile-0.15,5.681,-76.638,0.565338134765625,0.5079461336135864,0.4438176155090332,0.37710991501808167,0.3075600862503052,0.24163348972797394,0.18232735991477966,0.13323526084423065,0.09391596913337708,0.06281878799200058,0.03757452219724655,0.022480210289359093,0.012315000407397747,0.005893992725759745,0.0024430507328361273,0.0008488323073834181,0.00023558465181849897,0.00004793844709638506,,
SA(0.1),quantile-0.85,5.681,-76.638,0.6763672232627869,0.6319152116775513,0.5716054439544678,0.49783769249916077,0.41657721996307373,0.3344903290271759,0.25767195224761963,0.18756218254566193,0.13243229687213898,0.09126806259155273,0.05730002000927925,0.03395267203450203,0.01929367147386074,0.009852112270891666,0.004696443676948547,0.0020017707720398903,0.000784528732765466,0.0002548088086768985,0.00006452883826568723,0.000010724789717642125
SA(0.2),mean,5.681,-76.638,0.6327641010284424,0.5825663805007935,0.5192378163337708,0.44588610529899597,0.36755606532096863,0.290287047624588,0.219628244638443,0.15925480425357819,0.11049933731555939,0.07296989858150482,0.0454753115773201,0.026491770520806313,0.014296202920377254,0.007083488628268242,0.0031877208966761827,0.0012833186192438006,0.0004533024912234396,0.0001374116982333362,0.00003516716242302209,
SA(0.2),quantile-0.15,5.681,-76.638,0.5959279537200928,0.5419835448265076,0.47633758187294006,0.40469029545783997,0.33174580335617065,0.25944602489471436,0.19454579055309296,0.1406659483909607,0.0963425487279892,0.06257691979408264,0.03816824033856392,0.0213763527572155,0.011323444545269012,0.005242068320512772,0.00208079069852829,0.0006865836912766099,0.00017885763372760266,0.00003284915874246508,,
SA(0.2),quantile-0.85,5.681,-76.638,0.6847837567329407,0.6406944990158081,0.5787414312362671,0.5013266205787659,0.41377243399620056,0.32479768991470337,0.24442489445209503,0.17972733080387115,0.12468166649341583,0.08289758116006851,0.05320598557591438,0.03189462795853615,0.017480330541729927,0.008802016265690327,0.003962296526879072,0.0017211533850058913,0.0006545706419274211,0.00020366850367281586,0.000048672634875401855,
SA(0.3),mean,5.681,-76.638,0.6234897375106812,0.5674401521682739,0.49781039357185364,0.4188917279243469,0.3369867205619812,0.2589637339115143,0.1902884840965271,0.1337348073720932,0.0895945355296135,0.056803904473781586,0.03378038853406906,0.01869235374033451,0.009564063511788845,0.00449456786736846,0.001919626141898334,0.0007318644784390926,0.00024250063870567828,0.0000675589035381563,0.000015368208551080897,
