# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
12.578,-81.707,PGA,0.032189,0-20,0.000717582122888416,0.0006183680379763246,0.0005708615644834936,0,0,0,0,0
12.578,-81.707,PGA,0.032189,20-40,0.0034307288005948067,0.002722751349210739,0.0020294443238526583,0,0,0,0,0
12.578,-81.707,PGA,0.032189,40-60,0.003186037065461278,0.00302883074618876,0.0023780011106282473,0,0,0,0,0
12.578,-81.707,PGA,0.032189,60-80,0.0015914199175313115,0.002060908591374755,0.001852798624895513,0,0,0,0,0
12.578,-81.707,PGA,0.032189,80-100,0.0006969061214476824,0.0012635019375011325,0.0014178913552314043,0,0,0,0,0
12.578,-81.707,PGA,0.032189,100-120,0.00031190383015200496,0.0007849772810004652,0.0010955845937132835,0,0,0,0,0
12.578,-81.707,PGA,0.032189,120-140,0.0001416956802131608,0.0004891132703050971,0.0008498937822878361,0,0,0,0,0
12.578,-81.707,PGA,0.032189,140-160,0.00006353612843668088,0.00030425965087488294,0.0006447103223763406,0,0,0,0,0
12.578,-81.707,PGA,0.032189,160-180,0.00002372280869167298,0.0001535001356387511,0.00035502651007846,0,0,0,0,0
12.578,-81.707,PGA,0.032189,180-200,0.000005109293852001429,0.00004765260746353306,0.00011753888247767463,0,0,0,0,0
12.578,-81.707,PGA,0.032189,200-220,1.4526470692999283e-7,0.0000011533455790413427,9.661993090048782e-7,0,0,0,0,0
12.578,-81.707,PGA,0.032189,220-240,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.032189,240-260,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.032189,260-280,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.032189,280-300,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.032189,300-320,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.032189,320-340,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.032189,340-360,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.032189,360-380,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.032189,380-400,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,0-20,0.000345399952493608,0.0004089874855708331,0.00045655257417820394,0,0,0,0,0
12.578,-81.707,PGA,0.004438,20-40,0.00043712800834327936,0.0007411470869556069,0.0009294112678617239,0,0,0,0,0
12.578,-81.707,PGA,0.004438,40-60,0.00008196775161195546,0.00026205621543340385,0.0004930222639814019,0,0,0,0,0
12.578,-81.707,PGA,0.004438,60-80,0.000006507292255264474,0.00005846864587510936,0.00017076438234653324,0,0,0,0,0
12.578,-81.707,PGA,0.004438,80-100,6.11264354688501e-8,0.000011105349585704971,0.00006085398854338564,0,0,0,0,0
12.578,-81.707,PGA,0.004438,100-120,0,0.0000015503782151427004,0.00002304187000845559,0,0,0,0,0
12.578,-81.707,PGA,0.004438,120-140,0,5.2069392353359945e-8,0.000008590423021814786,0,0,0,0,0
12.578,-81.707,PGA,0.004438,140-160,0,0,0.000002808501903928118,0,0,0,0,0
12.578,-81.707,PGA,0.004438,160-180,0,0,5.556074711421388e-7,0,0,0,0,0
12.578,-81.707,PGA,0.004438,180-200,0,0,3.835393513895724e-8,0,0,0,0,0
12.578,-81.707,PGA,0.004438,200-220,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,220-240,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,240-260,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,260-280,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,280-300,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,300-320,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,320-340,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,340-360,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,360-380,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.004438,380-400,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,0-20,0.00020128177129663527,0.0002774141321424395,0.00034878484439104795,0,0,0,0,0
12.578,-81.707,PGA,0.002105,20-40,0.00014385534450411797,0.00032088992884382606,0.0005003699916414917,0,0,0,0,0
12.578,-81.707,PGA,0.002105,40-60,0.000011886902029800694,0.00007133682811399922,0.0001860135089373216,0,0,0,0,0
12.578,-81.707,PGA,0.002105,60-80,4.7774914690990045e-8,0.000008691235962032806,0.000046975263103377074,0,0,0,0,0
12.578,-81.707,PGA,0.002105,80-100,0,3.7170048017287627e-7,0.000011761600035242736,0,0,0,0,0
12.578,-81.707,PGA,0.002105,100-120,0,0,0.000002525261152186431,0,0,0,0,0
12.578,-81.707,PGA,0.002105,120-140,0,0,3.228288107948174e-7,0,0,0,0,0
12.578,-81.707,PGA,0.002105,140-160,0,0,2.965181433722819e-9,0,0,0,0,0
12.578,-81.707,PGA,0.002105,160-180,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,180-200,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,200-220,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,220-240,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,240-260,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,260-280,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,280-300,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,300-320,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,320-340,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,340-360,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,360-380,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.002105,380-400,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,0-20,0.0001101352390833199,0.0001742889580782503,0.00024510337971150875,0,0,0,0,0
12.578,-81.707,PGA,0.001026,20-40,0.00004341317981015891,0.00012868869816884398,0.00024555102572776377,0,0,0,0,0
12.578,-81.707,PGA,0.001026,40-60,7.635014753759606e-7,0.00001641512608330231,0.00006441024743253365,0,0,0,0,0
12.578,-81.707,PGA,0.001026,60-80,0,4.7636015665375453e-7,0.0000109391039586626,0,0,0,0,0
12.578,-81.707,PGA,0.001026,80-100,0,0,0.0000012237553619343089,0,0,0,0,0
12.578,-81.707,PGA,0.001026,100-120,0,0,2.520346420453734e-8,0,0,0,0,0
12.578,-81.707,PGA,0.001026,120-140,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,140-160,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,160-180,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,180-200,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,200-220,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,220-240,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,240-260,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,260-280,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,280-300,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,300-320,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,320-340,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,340-360,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,360-380,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.001026,380-400,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,0-20,0.00004582387919072062,0.00008615660772193223,0.00013885990483686328,0,0,0,0,0
12.578,-81.707,PGA,0.000404,20-40,0.000006837130513304146,0.00003353323700139299,0.00008493482164340094,0,0,0,0,0
12.578,-81.707,PGA,0.000404,40-60,0,0.0000010198915560977184,0.000012736137250612956,0,0,0,0,0
12.578,-81.707,PGA,0.000404,60-80,0,0,5.797608082502848e-7,0,0,0,0,0
12.578,-81.707,PGA,0.000404,80-100,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,100-120,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,120-140,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,140-160,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,160-180,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,180-200,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,200-220,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,220-240,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,240-260,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,260-280,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,280-300,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,300-320,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,320-340,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,340-360,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,360-380,0,0,0,0,0,0,0,0
12.578,-81.707,PGA,0.000404,380-400,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,0-20,0.0007160031236708164,0.0006174113368615508,0.0005705023068003356,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,20-40,0.0034637637436389923,0.0027089370414614677,0.0020163306035101414,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,40-60,0.0033502320293337107,0.003014765679836273,0.0023315094877034426,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,60-80,0.001759927487000823,0.002058726269751787,0.0017812877194955945,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,80-100,0.0008048992021940649,0.0012637596810236573,0.0013300739228725433,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,100-120,0.00037224552943371236,0.0007822405314072967,0.000999636948108673,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,120-140,0.0001732648233883083,0.00048308385885320604,0.0007525171968154609,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,140-160,0.00007937406917335466,0.000296644342597574,0.0005531094502657652,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,160-180,0.00003041057425434701,0.00014750933041796088,0.00029556997469626367,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,180-200,0.000006698217930534156,0.00004497154077398591,0.00009491711534792557,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,200-220,1.9221261027269065e-7,0.0000010763858426798834,7.594006774525042e-7,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,220-240,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,240-260,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,260-280,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,280-300,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,300-320,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,320-340,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,340-360,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,360-380,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.032189,380-400,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,0-20,0.00034084724029526114,0.00039180179010145366,0.0004280588182155043,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,20-40,0.0005092460196465254,0.0007541686645708978,0.0008568928460590541,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,40-60,0.00011924169666599482,0.00029075966449454427,0.00045294564915820956,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,60-80,0.000013244671208667569,0.00006964612839510664,0.00015522734611295164,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,80-100,4.186429407582182e-7,0.000014328989891509991,0.000053937437769491225,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,100-120,0,0.000002165559635614045,0.000019597400751081295,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,120-140,0,1.0333382505223199e-7,0.000006768380899302429,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,140-160,0,0,0.0000018640006373971119,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,160-180,0,0,2.537495333854167e-7,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,180-200,0,0,7.451562922256016e-9,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,200-220,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,220-240,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,240-260,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,260-280,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,280-300,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,300-320,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,320-340,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,340-360,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,360-380,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.004438,380-400,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,0-20,0.00019965830142609775,0.0002626999339554459,0.0003160362539347261,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,20-40,0.0001841054472606629,0.00034130713902413845,0.0004587896983139217,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,40-60,0.000022831402020528913,0.00008723033533897251,0.00017446244601160288,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,60-80,4.427037367804587e-7,0.000012557676200231072,0.000044217198592377827,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,80-100,0,7.479625310224947e-7,0.000010783745892695151,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,100-120,0,0,0.000002061402028630255,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,120-140,0,0,1.7412202168998192e-7,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,140-160,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,160-180,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,180-200,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,200-220,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,220-240,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,240-260,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,260-280,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,280-300,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,300-320,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,320-340,0,0,0,0,0,0,0,0
12.578,-81.707,SA(0.1),0.002105,340-360,0,0,0,0,0,0,0,0
