# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
12.578,-81.707,Active Shallow Crust,PGA,0.03245202824473381,0.00449118297547102,0.00213058665394783,0.001040984527207911,0.0004104158142581582
12.578,-81.707,Active Shallow Crust,SA(0.1),0.03239990770816803,0.004472669679671526,0.002116168849170208,0.0010361458407714963,0.0004080959770362824
12.578,-81.707,Active Shallow Crust,SA(0.2),0.03225119039416313,0.004464911762624979,0.002122440142557025,0.0010301412548869848,0.0004059745988342911
12.578,-81.707,Active Shallow Crust,SA(0.3),0.032308515161275864,0.0044762855395674706,0.002126207109540701,0.0010328871430829167,0.00040706447907723486
12.578,-81.707,Active Shallow Crust,SA(0.5),0.032340217381715775,0.004439104814082384,0.0021094055846333504,0.0010286647593602538,0.00040424836333841085
12.578,-81.707,Active Shallow Crust,SA(0.7),0.032234180718660355,0.004468384198844433,0.0021238962654024363,0.0010328363860026002,0.00040739591349847615
12.578,-81.707,Active Shallow Crust,SA(1.0),0.032228562980890274,0.004483500961214304,0.002129236003383994,0.0010373019613325596,0.00040874705882743
12.578,-81.707,Active Shallow Crust,SA(1.5),0.03233221173286438,0.004478442016988993,0.0021287293639034033,0.0010372623801231384,0.0004089845169801265
12.578,-81.707,Active Shallow Crust,SA(2.0),0.0323365181684494,0.004483274184167385,0.002130430191755295,0.001039016991853714,0.00040968722896650434
12.578,-81.707,Active Shallow Crust,SA(2.5),0.0322561077773571,0.004483034834265709,0.002123084617778659,0.0010372860124334693,0.00040812266524881124
12.578,-81.707,Active Shallow Crust,SA(3.0),0,0.004458952695131302,0.0021244105882942677,0.0010340340668335557,0.0004084336687810719
12.578,-81.707,Active Shallow Crust,SA(4.0),0,0.004476694390177727,0.0021309952717274427,0.00103802012745291,0.0004098061181139201
12.578,-81.707,Active Shallow Crust,SA(5.0),0,0.004493229556828737,0.0021328777074813843,0.0010423889616504312,0.0004113022005185485
12.578,-81.707,Deep Seismicity,PGA,0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(0.1),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(0.2),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(0.3),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(0.5),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(0.7),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(1.0),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(1.5),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(2.0),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(2.5),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(3.0),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(4.0),0,0,0,0,0
12.578,-81.707,Deep Seismicity,SA(5.0),0,0,0,0,0
12.578,-81.707,Subduction Interface,PGA,0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(0.1),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(0.2),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(0.3),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(0.5),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(0.7),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(1.0),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(1.5),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(2.0),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(2.5),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(3.0),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(4.0),0,0,0,0,0
12.578,-81.707,Subduction Interface,SA(5.0),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,PGA,0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(0.1),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(0.2),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(0.3),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(0.5),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(0.7),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(1.0),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(1.5),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(2.0),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(2.5),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(3.0),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(4.0),0,0,0,0,0
12.578,-81.707,Subduction IntraSlab,SA(5.0),0,0,0,0,0
