# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
11.205,-74.200,Active Shallow Crust,PGA,0.028439851477742195,0.004275414627045393,0.002065324457362294,0.0010220938129350543,0.00040647212881594896
11.205,-74.200,Active Shallow Crust,SA(0.1),0.02897791750729084,0.00427597900852561,0.0020531476475298405,0.001014786772429943,0.00040259381057694554
11.205,-74.200,Active Shallow Crust,SA(0.2),0.027651673182845116,0.004122924990952015,0.002005703281611204,0.000994766829535365,0.00040030613308772445
11.205,-74.200,Active Shallow Crust,SA(0.3),0.026954272761940956,0.004085148219019175,0.0019935001619160175,0.0009937584400177002,0.00040079609607346356
11.205,-74.200,Active Shallow Crust,SA(0.5),0.026304880157113075,0.004062123131006956,0.001992339501157403,0.0009945190977305174,0.00040132991853170097
11.205,-74.200,Active Shallow Crust,SA(0.7),0.025811346247792244,0.004073705058544874,0.002000657143071294,0.0009991591796278954,0.00040193236782215536
11.205,-74.200,Active Shallow Crust,SA(1.0),0.024917567148804665,0.00405034190043807,0.001998006133362651,0.000999732525087893,0.0004008249379694462
11.205,-74.200,Active Shallow Crust,SA(1.5),0.024492869153618813,0.004065623972564936,0.002010911935940385,0.001005045953206718,0.0004014151345472783
11.205,-74.200,Active Shallow Crust,SA(2.0),0.023590806871652603,0.004025924950838089,0.0020037293434143066,0.001003591576591134,0.00040329372859559953
11.205,-74.200,Active Shallow Crust,SA(2.5),0.023715533316135406,0.004056477919220924,0.0020220670849084854,0.0010112520540133119,0.0004040757776238024
11.205,-74.200,Active Shallow Crust,SA(3.0),0.02444261871278286,0.0041695996187627316,0.002053375355899334,0.001017415663227439,0.00040492042899131775
11.205,-74.200,Active Shallow Crust,SA(4.0),0,0.004271503072232008,0.002076749224215746,0.00102497439365834,0.0004060826904606074
11.205,-74.200,Active Shallow Crust,SA(5.0),0,0.0043456838466227055,0.002100100042298436,0.0010283730225637555,0.00040529336547479033
11.205,-74.200,Deep Seismicity,PGA,0.0040225256234407425,0.00020364714146126062,0.000056222321290988475,0.00001443298242520541,0.0000019779738522629486
11.205,-74.200,Deep Seismicity,SA(0.1),0.003459756262600422,0.00019571917073335499,0.000060510858020279557,0.00001848977990448475,0.000003458993433014257
11.205,-74.200,Deep Seismicity,SA(0.2),0.004770916886627674,0.0003381698625162244,0.00011505355359986424,0.00003742901753867045,0.00000764328615332488
