# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467
PGA,mean,11.205,-74.200,0.24217207729816437,0.19509351253509521,0.1506957858800888,0.11185143887996674,0.07988792657852173,0.054956190288066864,0.036388348788022995,0.023087481036782265,0.01391372736543417,0.007882860489189625,0.004156950395554304,0.002020542975515127,0.0008927981834858656,0.00035028724232688546,0.00011773272854043171,0.00003237705459468998,,,
PGA,quantile-0.15,11.205,-74.200,0.12565508484840393,0.10259304195642471,0.08378950506448746,0.06776197254657745,0.052977778017520905,0.039158862084150314,0.027025779709219933,0.017305608838796616,0.010260244831442833,0.005758863873779774,0.002978816395625472,0.00142835290171206,0.0006332499324344099,0.0002510641061235219,0.0000824303351691924,0.000020164994566584937,,,
PGA,quantile-0.85,11.205,-74.200,0.3453558087348938,0.28074219822883606,0.2141842395067215,0.15627430379390717,0.10946924984455109,0.07097598910331726,0.043808333575725555,0.0259331613779068,0.01665274053812027,0.009980921633541584,0.005413637030869722,0.002623498672619462,0.0011149856727570295,0.00040193955646827817,0.00013231778575573117,0.00003986723822890781,,,
SA(0.1),mean,11.205,-74.200,0.28891152143478394,0.2479562908411026,0.20490992069244385,0.16337543725967407,0.125912144780159,0.09381413459777832,0.06748835742473602,0.046791572123765945,0.03118002414703369,0.019863205030560493,0.011995646171271801,0.006800343748182058,0.003580531571060419,0.001728966599330306,0.0007524885586462915,0.0002884959685616195,0.00009475248225498945,0.000025822304451139644,
SA(0.1),quantile-0.15,11.205,-74.200,0.15382222831249237,0.1274270862340927,0.10658160597085953,0.08769598603248596,0.07175374776124954,0.05750792473554611,0.04545046389102936,0.033175449818372726,0.02228112705051899,0.014263413846492767,0.008440658450126648,0.004602457862347364,0.002314195968210697,0.0010679293191060424,0.00044239411363378167,0.000156751528265886,0.00004369624730315991,,
SA(0.1),quantile-0.85,11.205,-74.200,0.4177108407020569,0.3708062469959259,0.3130662739276886,0.25003930926322937,0.18860338628292084,0.1347654014825821,0.09194376319646835,0.06051626428961754,0.0407283678650856,0.025130391120910645,0.015309902839362621,0.008761640638113022,0.004597478546202183,0.002265067771077156,0.0010444651124998927,0.0004335975681897253,0.00015843154687900096,0.00004946633998770267,0.000012574329957715236
SA(0.2),mean,11.205,-74.200,0.30854296684265137,0.2679422199726105,0.22241760790348053,0.17648620903491974,0.13409067690372467,0.09777373820543289,0.06857695430517197,0.046334460377693176,0.03011675924062729,0.01872226968407631,0.011029201559722424,0.006095432210713625,0.0031288694590330124,0.0014752026181668043,0.0006287450669333339,0.0002363156818319112,0.00007555890624644235,0.000019600094674387947,
SA(0.2),quantile-0.15,11.205,-74.200,0.17240756750106812,0.14511644840240479,0.11857793480157852,0.09594941884279251,0.07807832211256027,0.062468595802783966,0.04729852452874184,0.03388964757323265,0.022766247391700745,0.01423014048486948,0.008392775431275368,0.004588468000292778,0.002309792209416628,0.0010697004618123174,0.000448820908786729,0.00016381347086280584,0.0000484191368741449,0.00001057387544278754,
SA(0.2),quantile-0.85,11.205,-74.200,0.4281838536262512,0.3820931315422058,0.32295161485671997,0.25655674934387207,0.1907215416431427,0.13268455862998962,0.08880307525396347,0.05724107101559639,0.03415713086724281,0.021194398403167725,0.013760270550847054,0.008185122162103653,0.004437487572431564,0.0021670993883162737,0.0009351942571811378,0.0003464916080702096,0.00010543941607465968,0.000024684455638634972,
SA(0.3),mean,11.205,-74.200,0.3012484312057495,0.2576536238193512,0.20986811816692352,0.1627308875322342,0.12023185938596725,0.08485167473554611,0.05740896984934807,0.037322673946619034,0.023263994604349136,0.013801331631839275,0.00771562522277236,0.004025622736662626,0.001942306524142623,0.0008568778866901994,0.0003394402447156608,0.0001172937554656528,0.00003396785905351862,,
SA(0.3),quantile-0.15,11.205,-74.200,0.16770616173744202,0.14108708500862122,0.1156729981303215,0.09316066652536392,0.07355751842260361,0.05573026090860367,0.03923511132597923,0.02710842527449131,0.017594462260603905,0.01030911784619093,0.005657081492245197,0.0029275515116751194,0.001401512767188251,0.0006207571132108569,0.0002461426774971187,0.00008722824713913724,0.00002511447382858023,,
SA(0.3),quantile-0.85,11.205,-74.200,0.4064685106277466,0.3523590564727783,0.2877969443798065,0.22003979980945587,0.15986835956573486,0.10734693706035614,0.0675223171710968,0.041537053883075714,0.02540699392557144,0.01628759130835533,0.009941831231117249,0.0054901475086808205,0.0027429438196122646,0.0012284581316635013,0.00048299378249794245,0.0001609420869499445,0.000043084473873022944,,
SA(0.5),mean,11.205,-74.200,0.2717779874801636,0.2241213321685791,0.17519044876098633,0.12949565052986145,0.09050838649272919,0.06002586707472801,0.03796052187681198,0.02294512651860714,0.01322122197598219,0.007211516611278057,0.003694329410791397,0.0017637411365285516,0.0007779684965498745,0.0003128774696961045,0.00011203149915672839,0.000034475386200938374,,,
SA(0.5),quantile-0.15,11.205,-74.200,0.14949561655521393,0.122813381254673,0.09801856428384781,0.07571674883365631,0.05527425557374954,0.038132764399051666,0.024870513007044792,0.015308183617889881,0.008853385224938393,0.004797369707375765,0.002442479832097888,0.0011642492609098554,0.0005073764477856457,0.00020608982595149428,0.0000777156965341419,0.00002672529262781609,,,
SA(0.5),quantile-0.85,11.205,-74.200,0.342180997133255,0.27821850776672363,0.21212103962898254,0.15088200569152832,0.10300685465335846,0.06753835827112198,0.04248379170894623,0.02570115216076374,0.016068140044808388,0.009408853948116302,0.005043349228799343,0.0024520468432456255,0.0010760498698800802,0.00042102980660274625,0.0001408949465258047,0.00004101483500562608,0.000010622121408232488,,
SA(0.7),mean,11.205,-74.200,0.22852225601673126,0.18044038116931915,0.13487695157527924,0.09526076912879944,0.0636618509888649,0.040406860411167145,0.024434320628643036,0.01407269574701786,0.007684134878218174,0.003951840102672577,0.001901234150864184,0.0008489228202961385,0.00034812086960300803,0.0001286166807403788,0.000041518382204230875,0.00001127640007325681,,,
SA(0.7),quantile-0.15,11.205,-74.200,0.12732484936714172,0.10184924304485321,0.07890740036964417,0.05774853378534317,0.04003538936376572,0.026236439123749733,0.016248613595962524,0.00950810220092535,0.005263835657387972,0.0027480667922645807,0.0013427675003185868,0.0005957704270258546,0.0002487232559360564,0.00009687891724752262,0.00003474964978522621,,,,
SA(0.7),quantile-0.85,11.205,-74.200,0.2821306586265564,0.22046484053134918,0.16274623572826385,0.11348139494657516,0.07503028959035873,0.04730004817247391,0.028528781607747078,0.016443956643342972,0.009281697683036327,0.005002208519726992,0.0024844317231327295,0.0011304348008707166,0.0004360386519692838,0.00014588062185794115,0.000045687684178119525,0.00001491967668698635,,,
