# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
9.302,-75.395,PGA,0.032189,0-20,0.0003995557490270585,0.00015136552974581718,0.00005974337909719907,0.000025384673790540546,0,0,0,0
9.302,-75.395,PGA,0.032189,20-40,0.0017060455866158009,0.0007351514068432152,0.00029819473274983466,0.0001047261175699532,0,0,0,0
9.302,-75.395,PGA,0.032189,40-60,0.0021373764611780643,0.001181592931970954,0.00047718267887830734,0.0001419438631273806,0,0,0,0
9.302,-75.395,PGA,0.032189,60-80,0.0008833925821818411,0.0007001149351708591,0.00037143053486943245,0.0001373142731608823,0,0,0,0
9.302,-75.395,PGA,0.032189,80-100,0.00042464217403903604,0.0005353346932679415,0.0003782418789342046,0.00015831769269425422,0,0,0,0
9.302,-75.395,PGA,0.032189,100-120,0.00017939196550287306,0.00031475815922021866,0.0002683602797333151,0.00010847936937352642,1.238361306832303e-7,0,0,0
9.302,-75.395,PGA,0.032189,120-140,0.00004892839933745563,0.00011243167682550848,0.000412083842093125,0.00022184208501130342,0.000036432807974051684,0.000003924568318325328,0,0
9.302,-75.395,PGA,0.032189,140-160,0.000010750463843578473,0.0000505272728332784,0.0006426410400308669,0.00037390165380202234,0.00003756584555958398,0.0000076199039540369995,0,0
9.302,-75.395,PGA,0.032189,160-180,0.000004627958333003335,0.000047834804718149826,0.0006159772165119648,0.0009377889800816774,0.0004433093126863241,0.0001327082864008844,0,0
9.302,-75.395,PGA,0.032189,180-200,0.0000014999965287643136,0.00004378809535410255,0.0005779351340606809,0.00057410349836573,0.00014590304635930806,0,0,0
9.302,-75.395,PGA,0.032189,200-220,5.270815108815441e-7,0.000048719681217335165,0.0005077501409687102,0.0006587087409570813,0.00028899009339511395,0.00005113384759170003,0,0
9.302,-75.395,PGA,0.032189,220-240,2.74628945362565e-7,0.0000408408377552405,0.0005332381115294993,0.000566149887163192,0.00014901741815265268,0.000014275205103331245,0,0
9.302,-75.395,PGA,0.032189,240-260,0,0.000031744653824716806,0.0009002393344417214,0.0008437043288722634,0.00021246429241728038,0.00003172920332872309,0,0
9.302,-75.395,PGA,0.032189,260-280,0,0.000028557860787259415,0.000989045831374824,0.0010098364436998963,0.00025632596225477755,0.0000052806217354373075,0,0
9.302,-75.395,PGA,0.032189,280-300,0,0.000020284092897782102,0.0007790555828250945,0.0008802685188129544,0.0001972895988728851,0.000024514365577488206,0,0
9.302,-75.395,PGA,0.032189,300-320,0,0.000008234069355239626,0.0005986748146824539,0.0007693425286561251,0.0002556577674113214,0.00019269321637693793,0,0
9.302,-75.395,PGA,0.032189,320-340,0,0.000003126766159766703,0.0004128524160478264,0.0005949983606114984,0.00016757697449065745,0.0001086026823031716,0.00018058931163977832,0.0006507098441943526
9.302,-75.395,PGA,0.032189,340-360,0,5.973808470116637e-7,0.0002102736762026325,0.0003669687721412629,0.00021747271239291877,0.00021271468722261488,0.0001792199327610433,0.00010854800348170102
9.302,-75.395,PGA,0.032189,360-380,0,0,0.00012599998444784433,0.0002563456946518272,0.00009081698226509616,0.0000999359181150794,0.00010768480569822714,0.00008146895561367273
9.302,-75.395,PGA,0.032189,380-400,0,0,0.00009505272464593872,0.00020424289687070996,0.000051195587730035186,0.0000587567119509913,0.00006862713053124025,0.00006310991011559963
9.302,-75.395,PGA,0.004438,0-20,0.00024129325174726546,0.00011735408043023199,0.000053093717724550515,0.00002384181607339997,0,0,0,0
9.302,-75.395,PGA,0.004438,20-40,0.00037479421007446945,0.0002831809688359499,0.00017104859580285847,0.0000758751921239309,0,0,0,0
9.302,-75.395,PGA,0.004438,40-60,0.0001616615627426654,0.00020738289458677173,0.00015778779925312847,0.000070768735895399,0,0,0,0
9.302,-75.395,PGA,0.004438,60-80,0.000021381676560849883,0.0000571217606193386,0.00006820055568823591,0.00004435809387359768,0,0,0,0
9.302,-75.395,PGA,0.004438,80-100,0.0000014679835658171214,0.000020638202840927988,0.000041041799704544246,0.000034513013815740123,0,0,0,0
9.302,-75.395,PGA,0.004438,100-120,0,0.0000051268457355035935,0.000018219458070234396,0.000016538921045139432,3.4531261405845726e-8,0,0,0
9.302,-75.395,PGA,0.004438,120-140,0,5.981588060421927e-7,0.0001180611434392631,0.00010049595584860072,0.00001142768087447621,0.0000017406662209396018,0,0
9.302,-75.395,PGA,0.004438,140-160,0,4.717481161264914e-8,0.00014303353964351118,0.00012002265430055559,0.000010327813470212277,0.0000031989964099921053,0,0
9.302,-75.395,PGA,0.004438,160-180,0,3.2151850071215904e-9,0.0000925749191083014,0.00014564242155756801,0.00008087481546681374,0.00003725025453604758,0,0
9.302,-75.395,PGA,0.004438,180-200,0,0,0.0000611488867434673,0.00007179840031312779,0.000022022320990799926,0,0,0
9.302,-75.395,PGA,0.004438,200-220,0,0,0.00003062337782466784,0.0000616197066847235,0.00003743283377843909,0.000010147620741918217,0,0
9.302,-75.395,PGA,0.004438,220-240,0,0,0.000024162694899132475,0.00004892955257673748,0.000020318788301665336,0.000003637992222138564,0,0
9.302,-75.395,PGA,0.004438,240-260,0,0,0.00003697850843309425,0.00007638920214958489,0.00002318991937499959,0.000007631493645021692,0,0
9.302,-75.395,PGA,0.004438,260-280,0,0,0.00002619796032377053,0.00006838171248091385,0.00002429130472592078,0.0000010258257816531113,0,0
9.302,-75.395,PGA,0.004438,280-300,0,0,0.000012447456356312614,0.000045562570448964834,0.000016316706023644656,0.0000044105863707954995,0,0
9.302,-75.395,PGA,0.004438,300-320,0,0,0.000004934036951453891,0.00003073030529776588,0.000021100846424815245,0.000037384379538707435,0,0
9.302,-75.395,PGA,0.004438,320-340,0,0,0.0000011551618399607833,0.000015920837540761568,0.000007703481969656423,0.000009102412150241435,0.00003198967169737443,0.00026204955065622926
9.302,-75.395,PGA,0.004438,340-360,0,0,4.1363087177614943e-8,0.000005397259428718826,0.000009384931217937265,0.000018312406609766185,0.00002606452108011581,0.000032020718208514154
9.302,-75.395,PGA,0.004438,360-380,0,0,0,0.00000225778239837382,0.0000012982525277038803,0.000004810310656466754,0.000013874202522856649,0.00002156954724341631
9.302,-75.395,PGA,0.004438,380-400,0,0,0,6.973397148613003e-7,4.116709249046835e-7,0.0000022378965240932303,0.0000076039750638301484,0.000014708293747389689
9.302,-75.395,PGA,0.002105,0-20,0.0001681631401879713,0.00009344132558908314,0.00004643522697733715,0.000021881889551877975,0,0,0,0
9.302,-75.395,PGA,0.002105,20-40,0.00017053399642463773,0.00015945029736030847,0.00011454194464022294,0.00005732235877076164,0,0,0,0
9.302,-75.395,PGA,0.002105,40-60,0.00004572420584736392,0.00008483177225571126,0.00008228188380599022,0.00004383852137834765,0,0,0,0
9.302,-75.395,PGA,0.002105,60-80,0.0000022049580366001464,0.00001671763493504841,0.0000281626453215722,0.000022727886971551925,0,0,0,0
9.302,-75.395,PGA,0.002105,80-100,0,0.0000033547275961609557,0.000013701732314075343,0.000015121187061595265,0,0,0,0
9.302,-75.395,PGA,0.002105,100-120,0,2.5811320369939494e-7,0.000004772970896738116,0.000006303659574768972,1.6567232918873742e-8,0,0,0
9.302,-75.395,PGA,0.002105,120-140,0,3.1250766419077536e-9,0.00006370489427354187,0.00006516266148537397,0.000005786551810160745,0.0000010119267699337797,0,0
9.302,-75.395,PGA,0.002105,140-160,0,2.9891644715007715e-12,0.00006710505113005638,0.0000667527929181233,0.000004969519523001509,0.0000018163325421483023,0,0
9.302,-75.395,PGA,0.002105,160-180,0,0,0.00003791370181716047,0.00006445022881962359,0.00003339790418976918,0.000017958880562218837,0,0
9.302,-75.395,PGA,0.002105,180-200,0,0,0.00002228107587143313,0.00002903802669607103,0.000008488565072184429,0,0,0
9.302,-75.395,PGA,0.002105,200-220,0,0,0.000009075435627892148,0.000021330577510525472,0.000013539391147787683,0.0000042587089410517365,0,0
9.302,-75.395,PGA,0.002105,220-240,0,0,0.000006061037311155815,0.00001625180993869435,0.00000752917685531429,0.000001680355921962473,0,0
9.302,-75.395,PGA,0.002105,240-260,0,0,0.000007590759196318686,0.00002515996493457351,0.000007810479473846499,0.000003465805548330536,0,0
9.302,-75.395,PGA,0.002105,260-280,0,0,0.000003347143092469196,0.00001925825017679017,0.000007665009434276726,4.417486536567594e-7,0,0
9.302,-75.395,PGA,0.002105,280-300,0,0,7.89902344422444e-7,0.000010853847015823703,0.000004820506092073629,0.0000017884343606056063,0,0
9.302,-75.395,PGA,0.002105,300-320,0,0,2.8314470768009414e-8,0.000005629816769214813,0.000006211112577148015,0.000015742079995106906,0,0
9.302,-75.395,PGA,0.002105,320-340,0,0,0,0.0000017582108284841524,0.0000015199447034319746,0.000002776987912511686,0.000013327715350897051,0.00014995461970102042
9.302,-75.395,PGA,0.002105,340-360,0,0,0,2.143004280696914e-7,0.000001900278334687755,0.0000057166089391103014,0.000010074636520585045,0.000016076852261903696
9.302,-75.395,PGA,0.002105,360-380,0,0,0,3.8897649545788227e-8,1.0264119332248356e-8,9.379719472235593e-7,0.0000051104275371471886,0.000010379578270658385
9.302,-75.395,PGA,0.002105,380-400,0,0,0,0,0,3.055570232390892e-7,0.0000026283246370439883,0.0000067339033194002695
9.302,-75.395,PGA,0.001026,0-20,0.00010941311484202743,0.00006960185419302434,0.00003834277595160529,0.00001914595122798346,0,0,0,0
9.302,-75.395,PGA,0.001026,20-40,0.00007250953058246523,0.00008353396697202697,0.00007098657806636766,0.00004006712697446346,0,0,0,0
9.302,-75.395,PGA,0.001026,40-60,0.000009927209248417057,0.00003190407369402237,0.00003971334808738902,0.000024990071324282326,0,0,0,0
9.302,-75.395,PGA,0.001026,60-80,3.282518079572583e-8,0.0000037208776575425873,0.000010682161700970028,0.000010742436643340625,0,0,0,0
9.302,-75.395,PGA,0.001026,80-100,0,1.9136174955747265e-7,0.0000038899393075553235,0.000006099906840972835,0,0,0,0
9.302,-75.395,PGA,0.001026,100-120,0,0,8.074368338384375e-7,0.000002172241920561646,7.315590355716495e-9,0,0,0
9.302,-75.395,PGA,0.001026,120-140,0,0,0.00003251438101870008,0.00003980944893555716,0.000002703437075979309,5.391277682065265e-7,0,0
9.302,-75.395,PGA,0.001026,140-160,0,0,0.000029617920517921448,0.00003507101064315066,0.0000022084766442276305,9.459110401621729e-7,0,0
9.302,-75.395,PGA,0.001026,160-180,0,0,0.000014557188478647731,0.000027634836442302912,0.000012685200999840163,0.000007976517736096866,0,0
9.302,-75.395,PGA,0.001026,180-200,0,0,0.000007392807674477808,0.000011456770153017715,0.0000029757877655356424,0,0,0
9.302,-75.395,PGA,0.001026,200-220,0,0,0.0000021063624444650486,0.000007039684533083346,0.000004359067588666221,0.0000016371035371776088,0,0
9.302,-75.395,PGA,0.001026,220-240,0,0,9.99700091597333e-7,0.000005158857220521895,0.0000025003998871397926,7.134696033972432e-7,0,0
9.302,-75.395,PGA,0.001026,240-260,0,0,7.732552944617055e-7,0.000007462638222932583,0.0000022533124592882814,0.0000014499336202788982,0,0
9.302,-75.395,PGA,0.001026,260-280,0,0,4.660029873093663e-8,0.000004242528575559845,0.000001985848484764574,1.7615047909202985e-7,0,0
9.302,-75.395,PGA,0.001026,280-300,0,0,0,0.000001565657157698297,0.000001113676489694626,6.628907840422471e-7,0,0
9.302,-75.395,PGA,0.001026,300-320,0,0,0,4.2975815972567943e-7,0.0000014424334722207277,0.000006095709522924153,0,0
9.302,-75.395,PGA,0.001026,320-340,0,0,0,2.897846407279303e-8,1.7106468419569865e-7,6.417069471353898e-7,0.000005135546871315455,0.00007964249380165711
9.302,-75.395,PGA,0.001026,340-360,0,0,0,0,3.058093511754123e-7,0.0000014470009546130314,0.0000035497873795975465,0.000007501159871026175
9.302,-75.395,PGA,0.001026,360-380,0,0,0,0,0,3.5445463453243065e-8,0.0000016860217328940053,0.000004642448857339332
9.302,-75.395,PGA,0.001026,380-400,0,0,0,0,0,1.84542825465428e-10,7.844880656193709e-7,0.0000028628992367885076
9.302,-75.395,PGA,0.000404,0-20,0.0000560489934287034,0.000042694155126810074,0.000027169222448719665,0.000014793226000620052,0,0,0,0
9.302,-75.395,PGA,0.000404,20-40,0.000020010973457829095,0.000031710918847238645,0.00003366500823176466,0.00002224133459094446,0,0,0,0
9.302,-75.395,PGA,0.000404,40-60,4.975219098923844e-7,0.000006780972398701124,0.00001331772637058748,0.00001050836726790294,0,0,0,0
9.302,-75.395,PGA,0.000404,60-80,0,1.592448342080388e-7,0.000002300882897543488,0.000003480283567114384,0,0,0,0
9.302,-75.395,PGA,0.000404,80-100,0,0,3.3444806035731744e-7,0.0000015118811234060558,0,0,0,0
9.302,-75.395,PGA,0.000404,100-120,0,0,5.7115672191798694e-9,3.488416098207381e-7,2.1288095730653822e-9,0,0,0
9.302,-75.395,PGA,0.000404,120-140,0,0,0.00001207920922752237,0.000018805072613758966,8.607972858953872e-7,2.0559693325594708e-7,0,0
9.302,-75.395,PGA,0.000404,140-160,0,0,0.000008750589586270507,0.000013575388038589153,6.510425123451569e-7,3.4988741504093923e-7,0,0
9.302,-75.395,PGA,0.000404,160-180,0,0,0.0000032084765280160354,0.000008629656804259866,0.000002740688842095551,0.000002344982476643054,0,0
9.302,-75.395,PGA,0.000404,180-200,0,0,0.0000010821941032190807,0.00000321351899401634,5.23067967606039e-7,0,0,0
9.302,-75.395,PGA,0.000404,200-220,0,0,9.083127139319913e-8,0.0000014939813581804628,6.017383498146955e-7,3.659608296402439e-7,0,0
9.302,-75.395,PGA,0.000404,220-240,0,0,8.74637695602587e-9,8.800949444776052e-7,3.9176009636321396e-7,1.9433520037637209e-7,0,0
9.302,-75.395,PGA,0.000404,240-260,0,0,0,7.497064871131442e-7,2.3087072520411311e-7,3.852420604744111e-7,0,0
9.302,-75.395,PGA,0.000404,260-280,0,0,0,1.5545818143891665e-7,1.4135511605672946e-7,4.2165353875134315e-8,0,0
9.302,-75.395,PGA,0.000404,280-300,0,0,0,1.588622211556867e-8,5.707917338781954e-8,1.3511147756162245e-7,0,0
9.302,-75.395,PGA,0.000404,300-320,0,0,0,0,4.830873123751189e-8,0.0000013855758425052045,0,0
9.302,-75.395,PGA,0.000404,320-340,0,0,0,0,3.985471952461239e-10,6.88256847070079e-8,0.0000011385909601813182,0.000030713927117176354
9.302,-75.395,PGA,0.000404,340-360,0,0,0,0,0,2.0442357140382228e-7,6.219269721441378e-7,0.000002400992798357038
9.302,-75.395,PGA,0.000404,360-380,0,0,0,0,0,0,2.493623014743207e-7,0.0000013901806141802808
9.302,-75.395,PGA,0.000404,380-400,0,0,0,0,0,0,8.707496590432129e-8,7.855064154682623e-7
9.302,-75.395,SA(0.1),0.032189,0-20,0.0003992914280388504,0.00015094643458724022,0.000059622732806019485,0.000025350702344439924,0,0,0,0
9.302,-75.395,SA(0.1),0.032189,20-40,0.0017900139791890979,0.0007380733732134104,0.0002950199123006314,0.00010347722854930907,0,0,0,0
9.302,-75.395,SA(0.1),0.032189,40-60,0.002451864071190357,0.0012159080943092704,0.0004675566160585731,0.0001373660343233496,0,0,0,0
9.302,-75.395,SA(0.1),0.032189,60-80,0.0011100209085270762,0.0007421530317515135,0.00035938661312684417,0.00012870134378317744,0,0,0,0
9.302,-75.395,SA(0.1),0.032189,80-100,0.0005777243059128523,0.0005808686837553978,0.00036043504951521754,0.00014331894635688514,0,0,0,0
9.302,-75.395,SA(0.1),0.032189,100-120,0.0002602402528282255,0.00034622784005478024,0.00025122365332208574,0.00009481854795012623,1.1081461082085298e-7,0,0,0
9.302,-75.395,SA(0.1),0.032189,120-140,0.0000769027101341635,0.00012591479753609747,0.00040707539301365614,0.00021314754849299788,0.00003286119317635894,0.000003556267301974003,0,0
9.302,-75.395,SA(0.1),0.032189,140-160,0.00001914948006742634,0.000056916247558547184,0.0006512973341159523,0.00035857540206052363,0.00003322171323816292,0.000006786875928810332,0,0
9.302,-75.395,SA(0.1),0.032189,160-180,0.000009176944331557024,0.000053265255701262504,0.000631132978014648,0.000818213855382055,0.00034493894781917334,0.0001001283380901441,0,0
9.302,-75.395,SA(0.1),0.032189,180-200,0.000003990783625340555,0.00004883314250037074,0.0005980856949463487,0.0004926556721329689,0.00011305045336484909,0,0,0
9.302,-75.395,SA(0.1),0.032189,200-220,0.0000022998649455985287,0.00005697230153600685,0.0005295687587931752,0.0005658748559653759,0.00021071199444122612,0.00003504670166876167,0,0
9.302,-75.395,SA(0.1),0.032189,220-240,0.000001885260530798405,0.0000503867122461088,0.0005699653993360698,0.0004967132117599249,0.00011378512135706842,0.000011401343726902269,0,0
