# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
9.302,-75.395,Active Shallow Crust,PGA,0.01962514966726303,0.0028371033258736134,0.0013981048250570893,0.0007127674180082977,0.00030004215659573674
9.302,-75.395,Active Shallow Crust,SA(0.1),0.019000494852662086,0.002844045637175441,0.0014227995416149497,0.0007327467319555581,0.0003089095407631248
9.302,-75.395,Active Shallow Crust,SA(0.2),0.01986107975244522,0.002732200315222144,0.0013130679726600647,0.000650545465759933,0.00026672653621062636
9.302,-75.395,Active Shallow Crust,SA(0.3),0.020204558968544006,0.002711936831474304,0.0012834296794608235,0.0006274579791352153,0.0002518943219911307
9.302,-75.395,Active Shallow Crust,SA(0.5),0.019017361104488373,0.0024373054038733244,0.0010905859526246786,0.0004997285432182252,0.0001831285480875522
9.302,-75.395,Active Shallow Crust,SA(0.7),0.019344575703144073,0.002418977441266179,0.0010259823175147176,0.0004343701002653688,0.000144576930324547
9.302,-75.395,Active Shallow Crust,SA(1.0),0.019750075414776802,0.0024351850152015686,0.0010032692225649953,0.0004123685648664832,0.00013202485570218414
9.302,-75.395,Active Shallow Crust,SA(1.5),0.019558440893888474,0.002408386208117008,0.0009785003494471312,0.00039776976336725056,0.00012657273327931762
9.302,-75.395,Active Shallow Crust,SA(2.0),0.019974689930677414,0.002438470721244812,0.0009813752258196473,0.0004019538755528629,0.0001330267550656572
9.302,-75.395,Active Shallow Crust,SA(2.5),0.02103239856660366,0.0025077639147639275,0.0009896084666252136,0.0003944277414120734,0.0001287659106310457
9.302,-75.395,Active Shallow Crust,SA(3.0),0.022098688408732414,0.002711049746721983,0.0011217365972697735,0.0004833604907616973,0.00017175528046209365
9.302,-75.395,Active Shallow Crust,SA(4.0),0.02382410131394863,0.0029950353782624006,0.001299745519645512,0.0006004712195135653,0.0002290487173013389
9.302,-75.395,Active Shallow Crust,SA(5.0),0,0.0029934318736195564,0.0012663280358538032,0.0005665349308401346,0.00021003263827878982
9.302,-75.395,Deep Seismicity,PGA,0.010729102417826653,0.001169104129076004,0.0005025397404097021,0.00021987241052556783,0.000072165195888374
9.302,-75.395,Deep Seismicity,SA(0.1),0.012224344536662102,0.0014366131508722901,0.0006253835163079202,0.00027698228950612247,0.00009323907579528168
9.302,-75.395,Deep Seismicity,SA(0.2),0.010862668976187706,0.0014208989450708032,0.0006485975463874638,0.00030005426378920674,0.00010840653703780845
9.302,-75.395,Deep Seismicity,SA(0.3),0.009302390739321709,0.0011163215385749936,0.0004968332941643894,0.00022527819965034723,0.00007845335494494066
9.302,-75.395,Deep Seismicity,SA(0.5),0.008231453597545624,0.00074262690031901,0.0002852108154911548,0.00011055064533138648,0.000030454903026111424
9.302,-75.395,Deep Seismicity,SA(0.7),0.006811848841607571,0.00047364100464619696,0.00015643636288587004,0.000049811918870545924,0.000010104491593665443
9.302,-75.395,Deep Seismicity,SA(1.0),0.005965061020106077,0.0003325793077237904,0.00009743972623255104,0.00002708119063754566,0.000004360526418167865
9.302,-75.395,Deep Seismicity,SA(1.5),0.0053623695857822895,0.00021948506764601916,0.00005538557888939977,0.000013171056707506068,0.0000016411851220254903
9.302,-75.395,Deep Seismicity,SA(2.0),0.005195959471166134,0.00017706488142721355,0.00004043061926495284,0.000008708634595677722,9.265900757782219e-7
9.302,-75.395,Deep Seismicity,SA(2.5),0.004962148144841194,0.00016315853281412274,0.00003598634430090897,0.000007263842235261109,7.104036399141478e-7
9.302,-75.395,Deep Seismicity,SA(3.0),0.004084434825927019,0.0001035736859194003,0.000021619311155518517,0.0000043227819332969375,4.059768912156869e-7
9.302,-75.395,Deep Seismicity,SA(4.0),0.0028936807066202164,0.00004244129013386555,0.00000736117272026604,0.0000012105198265999206,6.617912617912225e-8
9.302,-75.395,Deep Seismicity,SA(5.0),0,0.000014142828149488196,0.0000014715443512614002,1.0204752243225812e-7,0
9.302,-75.395,Subduction Interface,PGA,0.0023762863129377365,0.000438758113887161,0.00021974254923406988,0.0001063242307282053,0.00003738734085345641
9.302,-75.395,Subduction Interface,SA(0.1),0.0013382580364122987,0.00016254637739621103,0.00006708040018565953,0.000026549154426902533,0.000006676319571852218
9.302,-75.395,Subduction Interface,SA(0.2),0.0019762672018259764,0.0003439084975980222,0.00017067929729819298,0.00008266852819360793,0.00002995296563312877
9.302,-75.395,Subduction Interface,SA(0.3),0.003101200796663761,0.0006373992655426264,0.00034868845250457525,0.00018818546959664673,0.0000794844381744042
9.302,-75.395,Subduction Interface,SA(0.5),0.005425115115940571,0.001267226180061698,0.0007410563412122428,0.0004286829207558185,0.00019726398750208318
9.302,-75.395,Subduction Interface,SA(0.7),0.006597976665943861,0.0015719389775767922,0.000935991876758635,0.0005454029887914658,0.0002512006612960249
9.302,-75.395,Subduction Interface,SA(1.0),0.007036019582301378,0.0016968625131994486,0.0010204496793448925,0.0005992248188704252,0.0002755729074124247
9.302,-75.395,Subduction Interface,SA(1.5),0.007806248962879181,0.0018343566916882992,0.0010864600772038102,0.000628517649602145,0.00028378231218084693
9.302,-75.395,Subduction Interface,SA(2.0),0.007540805730968714,0.0018444437300786376,0.0010975124314427376,0.0006291267345659435,0.000277937448117882
9.302,-75.395,Subduction Interface,SA(2.5),0.006648229900747538,0.0017729174578562379,0.0010869393590837717,0.0006266062264330685,0.00027755851624533534
9.302,-75.395,Subduction Interface,SA(3.0),0.006372493226081133,0.0016610692255198956,0.000989146763458848,0.0005589320207946002,0.00024279041099362075
9.302,-75.395,Subduction Interface,SA(4.0),0.00583313312381506,0.0014150748029351234,0.0008021552348509431,0.00043807068141177297,0.00018369399185758084
9.302,-75.395,Subduction Interface,SA(5.0),0,0.0014790131244808435,0.0008705685613676906,0.0004839118046220392,0.00020644444157369435
9.302,-75.395,Subduction IntraSlab,PGA,0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(0.1),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(0.2),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(0.3),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(0.5),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(0.7),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(1.0),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(1.5),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(2.0),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(2.5),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(3.0),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(4.0),0,0,0,0,0
9.302,-75.395,Subduction IntraSlab,SA(5.0),0,0,0,0,0
