# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154
PGA,mean,9.302,-75.395,0.4048418700695038,0.3243645429611206,0.24698737263679504,0.1781044900417328,0.12070774286985397,0.0762207880616188,0.04459168389439583,0.024159669876098633,0.012167554348707199,0.005725174210965633,0.0025208252482116222,0.0010334514081478119,0.0003885891637764871,0.00013065591338090599,0.00003805680535151623,,,
PGA,quantile-0.15,9.302,-75.395,0.26512232422828674,0.20062986016273499,0.1512986719608307,0.11318063735961914,0.0816054493188858,0.05449989065527916,0.031316932290792465,0.016415024176239967,0.007732850033789873,0.0034542272333055735,0.0013249525800347328,0.0004903801600448787,0.00016805923951324075,0.00004848310345550999,0.000012275316294108052,,,
PGA,quantile-0.85,9.302,-75.395,0.522642970085144,0.43357256054878235,0.335379421710968,0.24082104861736298,0.16377753019332886,0.10440672188997269,0.06167853996157646,0.03214416280388832,0.015345648862421513,0.00686935568228364,0.003006805432960391,0.0012406742898747325,0.00047612361959181726,0.0001663582952460274,0.000051767852710327134,0.000013888396097172517,,
SA(0.1),mean,9.302,-75.395,0.48185548186302185,0.4137420654296875,0.340435653924942,0.26816970109939575,0.2017878144979477,0.14425942301750183,0.09720583260059357,0.061262547969818115,0.035935934633016586,0.019607728347182274,0.009975867345929146,0.004745705518871546,0.0021081166341900826,0.0008674431010149419,0.0003254287876188755,0.00010863298666663468,0.000031379731808556244,
SA(0.1),quantile-0.15,9.302,-75.395,0.34474945068359375,0.27131301164627075,0.20637641847133636,0.16034483909606934,0.12211385369300842,0.08989302814006805,0.06297047436237335,0.041185107082128525,0.024448659271001816,0.013187335804104805,0.006618143990635872,0.0029354081489145756,0.0011717190500348806,0.00042014915379695594,0.00013359573495108634,0.00003628836930147372,,
SA(0.1),quantile-0.85,9.302,-75.395,0.6142487525939941,0.5556779503822327,0.47937411069869995,0.38916847109794617,0.2953066825866699,0.20776261389255524,0.13553249835968018,0.08281701058149338,0.05120869353413582,0.029001042246818542,0.014428602531552315,0.007190383970737457,0.0033611496910452843,0.0013983199605718255,0.0005484505090862513,0.0002037781960098073,0.00006692911119898781,0.000018763130356092006
SA(0.2),mean,9.302,-75.395,0.5139031410217285,0.44729116559028625,0.3705539405345917,0.2914298176765442,0.2171248197555542,0.15259402990341187,0.10049473494291306,0.06162502244114876,0.03506554663181305,0.01853225752711296,0.009135525673627853,0.004218747839331627,0.0018243493977934122,0.0007327421335503459,0.00026854826137423515,0.00008738783071748912,0.000024424140065093525,
SA(0.2),quantile-0.15,9.302,-75.395,0.39468902349472046,0.3206915259361267,0.24675004184246063,0.18253102898597717,0.13437244296073914,0.09839507192373276,0.06855034083127975,0.044288650155067444,0.024449728429317474,0.012133393436670303,0.005777031648904085,0.0023757542949169874,0.0008873324259184301,0.0003056293062400073,0.00009880070138024166,0.0000300681476801401,,
SA(0.2),quantile-0.85,9.302,-75.395,0.6270120739936829,0.5693709850311279,0.4905526638031006,0.39641523361206055,0.2974076271057129,0.20563718676567078,0.13223619759082794,0.08177950978279114,0.045815978199243546,0.022726545110344887,0.010500233620405197,0.004731090739369392,0.002054114593192935,0.0008554774103686213,0.000321712635923177,0.00010617117368383333,0.000029923850888735615,
SA(0.3),mean,9.302,-75.395,0.50271075963974,0.43072310090065,0.34975990653038025,0.26837271451950073,0.19384852051734924,0.13098521530628204,0.08220484107732773,0.04766560345888138,0.025518294423818588,0.012664764188230038,0.0058624413795769215,0.002541635185480118,0.0010290438076481223,0.0003847821499221027,0.0001301792508456856,0.000038765498175052926,,
