# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154
PGA,mean,10.460,-73.259,0.39735525846481323,0.32101237773895264,0.24631820619106293,0.178397998213768,0.12106966227293015,0.07660086452960968,0.04521484300494194,0.02507053315639496,0.013154358603060246,0.006530592683702707,0.0030321073718369007,0.0012914936523884535,0.0004940205253660679,0.0001654820516705513,0.00004721579171018675,0.000010968014976242557,,
PGA,quantile-0.15,10.460,-73.259,0.24748583137989044,0.18286363780498505,0.13142724335193634,0.09189479798078537,0.061844803392887115,0.03944304585456848,0.023495512083172798,0.012937142513692379,0.006513876840472221,0.0031362343579530716,0.0012716228375211358,0.00043061538599431515,0.00011680481111397967,0.00002594884244899731,,,,
PGA,quantile-0.85,10.460,-73.259,0.5147188305854797,0.4326019287109375,0.3417816758155823,0.2514263391494751,0.1745559722185135,0.11422403901815414,0.06755515187978745,0.036394450813531876,0.018222715705633163,0.008905638009309769,0.004255680833011866,0.0019198668887838721,0.0007911089342087507,0.0002865847200155258,0.00008113806688925251,0.000018069706129608676,,
SA(0.1),mean,10.460,-73.259,0.4703215956687927,0.40607950091362,0.3369015157222748,0.26763230562210083,0.20256724953651428,0.14517013728618622,0.09792786836624146,0.061982959508895874,0.036871861666440964,0.02074144035577774,0.011097208596765995,0.005642463453114033,0.0026962438132613897,0.0011870708549395204,0.000470020022476092,0.00016236171359196305,0.00004734687536256388,0.000011190355508006178
SA(0.1),quantile-0.15,10.460,-73.259,0.3259463310241699,0.25404027104377747,0.18902555108070374,0.14143308997154236,0.10113473236560822,0.06971495598554611,0.046368297189474106,0.02967984601855278,0.01824638806283474,0.010160568170249462,0.005040451418608427,0.00229691993445158,0.0010361174354329705,0.0004168037266936153,0.00014437972276937217,0.000040386341424891725,,
SA(0.1),quantile-0.85,10.460,-73.259,0.601309061050415,0.5464332699775696,0.47574111819267273,0.39344772696495056,0.30653679370880127,0.22334936261177063,0.15149445831775665,0.09561994671821594,0.0564408116042614,0.03144717216491699,0.017001857981085777,0.008589072152972221,0.004076405894011259,0.0018357897642999887,0.0007584990817122161,0.0002811085432767868,0.00009104960190597922,0.000025121345970546827
SA(0.2),mean,10.460,-73.259,0.5020312070846558,0.43890830874443054,0.3665224015712738,0.2910256087779999,0.2185392826795578,0.1542675793170929,0.1018586978316307,0.06281250715255737,0.03629988059401512,0.019801698625087738,0.010248395614326,0.005013676360249519,0.0022856963332742453,0.0009502863977104425,0.0003515350981615484,0.00011220825399504974,0.000029920569431851618,
SA(0.2),quantile-0.15,10.460,-73.259,0.37789979577064514,0.30507299304008484,0.23267307877540588,0.16842059791088104,0.11617652326822281,0.08001581579446793,0.0526486299932003,0.03282177820801735,0.019079390913248062,0.010211668908596039,0.005041772965341806,0.0025463441852480173,0.0011286120861768723,0.00040823506424203515,0.00012289964070077986,0.000028599721190403216,,
SA(0.2),quantile-0.85,10.460,-73.259,0.6137194633483887,0.5598654747009277,0.4873863756656647,0.40069058537483215,0.3080264925956726,0.21945928037166595,0.14404906332492828,0.08882800489664078,0.05187555029988289,0.02689434215426445,0.013041205704212189,0.006257360335439444,0.0028695056680589914,0.0012313553597778082,0.00048370755393989384,0.0001644919830141589,0.0000458059657830745,0.00001008749950415222
SA(0.3),mean,10.460,-73.259,0.4916094243526459,0.4234126806259155,0.34674757719039917,0.26857298612594604,0.1954384744167328,0.13271021842956543,0.08374859392642975,0.04915687441825867,0.02699471265077591,0.013962593860924244,0.006800458300858736,0.0030864744912832975,0.001282371929846704,0.00047755625564605,0.00015606592933181673,0.000043762687710113823,0.0000102329222499975,
SA(0.3),quantile-0.15,10.460,-73.259,0.36554160714149475,0.29310593008995056,0.22402945160865784,0.16300271451473236,0.11291326582431793,0.07395816594362259,0.0455700121819973,0.026404857635498047,0.014394170604646206,0.007338615134358406,0.0034240763634443283,0.001423417474143207,0.0005574790993705392,0.00019258078827988356,0.00004709577115136199,,,
SA(0.3),quantile-0.85,10.460,-73.259,0.5882083177566528,0.5228918790817261,0.4404166638851166,0.3479606807231903,0.2583569288253784,0.17695409059524536,0.11081554740667343,0.06343962997198105,0.033338624984025955,0.016549892723560333,0.008196664042770863,0.0038181361742317677,0.001691895304247737,0.0006838907720521092,0.00024390687758568674,0.00007431579433614388,0.000018623750293045305,
SA(0.5),mean,10.460,-73.259,0.44721370935440063,0.37139734625816345,0.29149672389030457,0.21454490721225739,0.14675351977348328,0.09266471862792969,0.05392070114612579,0.029024798423051834,0.01452522911131382,0.006755405105650425,0.0028984826058149338,0.001132781500928104,0.00039839057717472315,0.00012501976743806154,0.000035078042856184766,,,
SA(0.5),quantile-0.15,10.460,-73.259,0.3207247853279114,0.24984999001026154,0.18448825180530548,0.12863871455192566,0.0837721899151802,0.050575289875268936,0.028434723615646362,0.01510789804160595,0.007632611319422722,0.0035854680463671684,0.001492659910582006,0.0005199577426537871,0.00014352946891449392,0.000028495511287474073,,,,
SA(0.5),quantile-0.85,10.460,-73.259,0.509628176689148,0.42651066184043884,0.33516639471054077,0.24518342316150665,0.16545319557189941,0.10338699817657471,0.06035856157541275,0.032857418060302734,0.01684552989900112,0.00816464051604271,0.0037188830319792032,0.0015701247612014413,0.0006055919802747667,0.0002103563310811296,0.00006510547245852649,0.000017200422007590532,,
SA(0.7),mean,10.460,-73.259,0.37834110856056213,0.30029046535491943,0.22428196668624878,0.15617278218269348,0.10057678073644638,0.05966789647936821,0.0326462984085083,0.016521945595741272,0.007726219017058611,0.0033163195475935936,0.0012923370813950896,0.00045208254596218467,0.00014092196943238378,0.00003936956272809766,,,,
SA(0.7),quantile-0.15,10.460,-73.259,0.2640902101993561,0.19904421269893646,0.1420229822397232,0.09473258256912231,0.058368194848299026,0.0331813283264637,0.017619730904698372,0.008842645213007927,0.004180857911705971,0.0017949623288586736,0.0006485114572569728,0.00018507069034967571,0.00003754056160687469,,,,,
SA(0.7),quantile-0.85,10.460,-73.259,0.4305357038974762,0.3454244136810303,0.2600191831588745,0.18181076645851135,0.11717357486486435,0.06943657994270325,0.038006819784641266,0.019371433183550835,0.009280132129788399,0.004178010392934084,0.0017376011237502098,0.0006584040820598602,0.00022417641594074667,0.00006722750549670309,0.000017583899534656666,,,
SA(1.0),mean,10.460,-73.259,0.29733461141586304,0.22397218644618988,0.1580130010843277,0.10348818451166153,0.06255420297384262,0.03485792130231857,0.017926977947354317,0.008497519418597221,0.003691377816721797,0.0014566293684765697,0.0005168569041416049,0.00016386134666390717,0.000046595952881034464,0.00001198267000290798,,,,
SA(1.0),quantile-0.15,10.460,-73.259,0.2015070766210556,0.1469278335571289,0.10099320113658905,0.06448470056056976,0.03797508776187897,0.020733753219246864,0.010590349324047565,0.005032345652580261,0.0021626735106110573,0.0007993986364454031,0.0002386504493188113,0.00005292248533805832,,,,,,
SA(1.0),quantile-0.85,10.460,-73.259,0.3481072783470154,0.26557236909866333,0.189220130443573,0.12474042177200317,0.07564438879489899,0.04220423102378845,0.021764559671282768,0.010425343178212643,0.004646457266062498,0.00191858212929219,0.0007261298596858978,0.00024231532006524503,0.0000741196345188655,0.000019724699086509645,,,,
SA(1.5),mean,10.460,-73.259,0.20855437219142914,0.1469268500804901,0.09623590856790543,0.058207765221595764,0.032425008714199066,0.016627490520477295,0.007834533229470253,0.0033746904227882624,0.0013191718608140945,0.000463284581201151,0.0001452367869205773,0.00004061048093717545,0.000010277562978444621,,,,,
SA(1.5),quantile-0.15,10.460,-73.259,0.1369745284318924,0.0963224470615387,0.06437192112207413,0.03867672011256218,0.021297158673405647,0.010882250033318996,0.005156910512596369,0.002220588969066739,0.0008332496508955956,0.00025480141630396247,0.000058338671806268394,,,,,,,
SA(1.5),quantile-0.85,10.460,-73.259,0.2517748773097992,0.17907625436782837,0.117843858897686,0.07117573916912079,0.03933683782815933,0.019922280684113503,0.009279878810048103,0.003986809868365526,0.0015781002584844828,0.0005708409007638693,0.00017909494636114687,0.00005393210449256003,0.000015967067156452686,,,,,
SA(2.0),mean,10.460,-73.259,0.15153168141841888,0.10106804966926575,0.06235530972480774,0.035396743565797806,0.01843900978565216,0.008797465823590755,0.003831688314676285,0.0015164118958637118,0.000541250454261899,0.00017279430176131427,0.00004904132219962776,0.000012396246347634587,,,,,,
SA(2.0),quantile-0.15,10.460,-73.259,0.09630174189805984,0.06480489671230316,0.041132207959890366,0.02446960285305977,0.013436091132462025,0.006462419405579567,0.002840021625161171,0.0011097729438915849,0.00036601931788027287,0.00009410703205503523,0.00001606557816558052,,,,,,,
SA(2.0),quantile-0.85,10.460,-73.259,0.18561924993991852,0.12473414838314056,0.077027827501297,0.04339347034692764,0.022237613797187805,0.011020132340490818,0.004898358602076769,0.0018572210101410747,0.0006336992955766618,0.00020380946807563305,0.000059880680055357516,0.000017534643120598048,,,,,,
SA(2.5),mean,10.460,-73.259,0.11230107396841049,0.07134946435689926,0.041800640523433685,0.022492220625281334,0.01109758485108614,0.00501553900539875,0.002071462804451585,0.0007779768784530461,0.0002631313691381365,0.00007903850200818852,0.00002084824700432364,,,,,,,
SA(2.5),quantile-0.15,10.460,-73.259,0.07366717606782913,0.04772254079580307,0.029069479554891586,0.016540328040719032,0.008726499043405056,0.004069590475410223,0.0017401842633262277,0.0006597139872610569,0.0002084138832287863,0.00004991254536435008,,,,,,,,
SA(2.5),quantile-0.85,10.460,-73.259,0.13766267895698547,0.08795344084501266,0.05138271674513817,0.027294058352708817,0.013552431017160416,0.005963230039924383,0.0023463789839297533,0.0008760184864513576,0.0003025212208740413,0.00009598397446097806,0.00002678384589671623,,,,,,,
SA(3.0),mean,10.460,-73.259,0.08661887049674988,0.052912089973688126,0.02978893741965294,0.015424272045493126,0.0073453146032989025,0.0032157788518816233,0.0012911688536405563,0.0004724302270915359,0.00015515348059125245,0.0000447470010840334,0.000011165398973389529,,,,,,,
SA(3.0),quantile-0.15,10.460,-73.259,0.060308970510959625,0.03853575140237808,0.023120494559407234,0.012134713120758533,0.0059484392404556274,0.0027445375453680754,0.0011055006179958582,0.00039502285653725266,0.00012486038031056523,0.00003181342253810726,,,,,,,,
SA(3.0),quantile-0.85,10.460,-73.259,0.1048475056886673,0.06386986374855042,0.035450585186481476,0.01787734590470791,0.008216122165322304,0.003570984350517392,0.0014728899113833904,0.0006038725841790438,0.000203954623430036,0.0000619814163655974,0.000015984371202648617,,,,,,,
SA(4.0),mean,10.460,-73.259,0.0561709962785244,0.032669223845005035,0.01760941930115223,0.008806760422885418,0.0040863072499632835,0.001752757583744824,0.0006890293443575501,0.00024369162565562874,0.00007515914330724627,0.00001951442209247034,,,,,,,,
SA(4.0),quantile-0.15,10.460,-73.259,0.04188027232885361,0.024797869846224785,0.01367182843387127,0.007173892110586166,0.003372980747371912,0.0014759453479200602,0.0005504066357389092,0.00017647925415076315,0.000049243921239394695,0.00001178185448225122,,,,,,,,
