# Layer: disagg-40507
lat,lon,imt,poe,dist,mag_5-5.5,mag_5.5-6,mag_6-6.5,mag_6.5-7,mag_7-7.5,mag_7.5-8,mag_8-8.5,mag_8.5-9
4.124,-73.625,PGA,0.032189,0-20,0.002112727612257004,0.0009906489867717028,0.0005120222922414541,0.0010165933053940535,0.0003979394386988133,0.00008921023982111365,0,0
4.124,-73.625,PGA,0.032189,20-40,0.0037197016645222902,0.00236648041754961,0.001144557143561542,0.0010497482726350427,0.00034724263241514564,0.000030266888643382117,0,0
4.124,-73.625,PGA,0.032189,40-60,0.0016350806690752506,0.0016538809286430478,0.001130279852077365,0.0006982655613683164,0.0002433151239529252,0.00020658585708588362,0.000020268951629986987,0
4.124,-73.625,PGA,0.032189,60-80,0.00043479324085637927,0.0007390410173684359,0.0006896610138937831,0.0008833936881273985,0.0004115454212296754,0.000021975634808768518,0,0
4.124,-73.625,PGA,0.032189,80-100,0.00008973196963779628,0.00029031693702563643,0.0003898857394233346,0.0005551810609176755,0.0005155576509423554,0.00008457378135062754,0,0
4.124,-73.625,PGA,0.032189,100-120,0.00001492842875450151,0.00011604512110352516,0.0002368412388022989,0.00048716674791648984,0.00011001556413248181,0.00002574889913375955,0,0
4.124,-73.625,PGA,0.032189,120-140,0.0000020423678961378755,0.00006379857222782448,0.00018347386503592134,0.00016316211258526891,0.00009216357284458354,0.000020319921532063745,0,0
4.124,-73.625,PGA,0.032189,140-160,1.2977360297483642e-9,0.000021279509383020923,0.00009543794294586405,0.0003292017208877951,0.00035696750273928046,0.00006742140249116346,0,0
4.124,-73.625,PGA,0.032189,160-180,0,0.000005633961791318143,0.00005093892468721606,0.0001448205584893003,0.00005593565583694726,0.000007069279490679037,0,0
4.124,-73.625,PGA,0.032189,180-200,0,0.0000010079041885546758,0.000019651597540359944,0.00008535768574802205,0.00011204594193259254,0.00000502452303408063,0,0
4.124,-73.625,PGA,0.032189,200-220,0,7.495559373182914e-8,0.00008258422167273238,0.0002890476898755878,0.0000853936217026785,0.000016413234334322624,0,0
4.124,-73.625,PGA,0.032189,220-240,0,0,0.0001877855829661712,0.00033975575934164226,0.00012324545241426677,0.00003994164217147045,0,0
4.124,-73.625,PGA,0.032189,240-260,0,0,0.00018025412282440811,0.0003905376943293959,0.0002763393858913332,0.000023938811864354648,0,0
4.124,-73.625,PGA,0.032189,260-280,0,0,0.00013950953143648803,0.0003392695798538625,0.00021702091908082366,0.000004322740551288007,0,0
4.124,-73.625,PGA,0.032189,280-300,0,0,0.00010344196925871074,0.00026220353902317584,0.00019947408873122185,0.000022073718355386518,0,0
