# Layer: disagg-40507
lat,lon,trt,imt,poe_0.032189,poe_0.004438,poe_0.002105,poe_0.001026,poe_0.000404
4.124,-73.625,Active Shallow Crust,PGA,0.028015943244099617,0.004383075051009655,0.0021027533803135157,0.001032190746627748,0.00040445683407597244
4.124,-73.625,Active Shallow Crust,SA(0.1),0.028374794870615005,0.004410816356539726,0.0021076868288218975,0.001029791310429573,0.0004064899985678494
4.124,-73.625,Active Shallow Crust,SA(0.2),0.027950381860136986,0.0043753040954470634,0.002102015307173133,0.0010310666402801871,0.00041138147935271263
4.124,-73.625,Active Shallow Crust,SA(0.3),0.02798835188150406,0.004376157186925411,0.0021000553388148546,0.0010326587362214923,0.0004094370815437287
4.124,-73.625,Active Shallow Crust,SA(0.5),0.02800089679658413,0.00438223360106349,0.0021032895892858505,0.0010306381154805422,0.0004096396442037076
4.124,-73.625,Active Shallow Crust,SA(0.7),0.02863394282758236,0.0044078221544623375,0.0021015473175793886,0.0010308640776202083,0.00040650181472301483
4.124,-73.625,Active Shallow Crust,SA(1.0),0.02894747070968151,0.004407671745866537,0.00210001808591187,0.001028863713145256,0.00040802740841172636
4.124,-73.625,Active Shallow Crust,SA(1.5),0.029113078489899635,0.004412761423736811,0.002101950580254197,0.001028180937282741,0.00040931982221081853
4.124,-73.625,Active Shallow Crust,SA(2.0),0.029066912829875946,0.0044061122462153435,0.002102666301652789,0.0010288392659276724,0.0004106528067495674
4.124,-73.625,Active Shallow Crust,SA(2.5),0.02925504371523857,0.004407437518239021,0.002104119397699833,0.0010325973853468895,0.00040490052197128534
4.124,-73.625,Active Shallow Crust,SA(3.0),0.02959916926920414,0.004409309476613998,0.002104087034240365,0.001028320286422968,0.0004105688421986997
4.124,-73.625,Active Shallow Crust,SA(4.0),0.029943186789751053,0.004405788611620665,0.0021066435147076845,0.0010334729449823499,0.0004097512282896787
4.124,-73.625,Active Shallow Crust,SA(5.0),0.03023473545908928,0.004420997574925423,0.002110891742631793,0.0010318729327991605,0.00040512901614420116
4.124,-73.625,Deep Seismicity,PGA,0.0016002760967239738,0.000013504589333024342,4.640388908683235e-7,0,0
4.124,-73.625,Deep Seismicity,SA(0.1),0.0018284204415977001,0.000018326758436160162,0.00000101306193300843,0,0
