# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467,iml_5.0000000000000036
PGA,mean,4.124,-73.625,0.4516005516052246,0.38867291808128357,0.32160040736198425,0.25403523445129395,0.18994727730751038,0.13344693183898926,0.08778684586286545,0.05417599901556969,0.03154143691062927,0.01743222028017044,0.009190347976982594,0.00464137876406312,0.00225526699796319,0.0010510548017919064,0.0004561077512335032,0.0001737178972689435,0.000054224958148552105,0.000013048233086010441,,
PGA,quantile-0.15,4.124,-73.625,0.4213140904903412,0.3488024175167084,0.2785474359989166,0.21374741196632385,0.15677586197853088,0.10894905775785446,0.07133664190769196,0.04393991827964783,0.025537509471178055,0.014035152271389961,0.007179665379226208,0.003454240271821618,0.0015323491534218192,0.0006051473319530487,0.00020332768326625228,0.000054875963542144746,0.000010825888239196502,,,
PGA,quantile-0.85,4.124,-73.625,0.5033451318740845,0.43215781450271606,0.35584965348243713,0.28448131680488586,0.21754707396030426,0.1561962366104126,0.10367714613676071,0.06526084989309311,0.0382523313164711,0.02107458934187889,0.011214466765522957,0.005829439498484135,0.0030921832658350468,0.0016447413945570588,0.0008010967867448926,0.0003508857626002282,0.0001287730410695076,0.000032660602300893515,0.000011124836419185158,
SA(0.1),mean,4.124,-73.625,0.5084476470947266,0.45950329303741455,0.40369945764541626,0.3435214161872864,0.28161799907684326,0.22081458568572998,0.16427554190158844,0.11520513147115707,0.07595657557249069,0.04718254134058952,0.027763089165091515,0.015568814240396023,0.00835796631872654,0.004304519388824701,0.0021195888984948397,0.000982014462351799,0.00041469463030807674,0.0001540818193461746,0.00004900340718450025,0.000013007078450755216
SA(0.1),quantile-0.15,4.124,-73.625,0.46170681715011597,0.41676202416419983,0.3578667938709259,0.2958647906780243,0.23468054831027985,0.18097573518753052,0.13466167449951172,0.09191183745861053,0.05833762139081955,0.03633809834718704,0.02040761709213257,0.010719498619437218,0.00521406764164567,0.0023739926982671022,0.0009757054504007101,0.0003500368620734662,0.00010502798249945045,0.000024449851480312645,,
SA(0.1),quantile-0.85,4.124,-73.625,0.5794535875320435,0.5318801403045654,0.4708111882209778,0.39960721135139465,0.3313101828098297,0.26228734850883484,0.19666412472724915,0.13821350038051605,0.09175172448158264,0.05808352679014206,0.0354340597987175,0.02089773118495941,0.0118827810510993,0.0065605780109763145,0.0035345496144145727,0.0018462480511516333,0.0009119720198214054,0.0004352443211246282,0.00017575301171746105,0.00005875039641978219
SA(0.2),mean,4.124,-73.625,0.5305012464523315,0.4824554920196533,0.4245554506778717,0.3598610758781433,0.29210594296455383,0.22545598447322845,0.16425220668315887,0.11233546584844589,0.07200214266777039,0.04336598515510559,0.0246757660061121,0.013338975608348846,0.006884447298943996,0.0034112189896404743,0.0016298979753628373,0.0007442859350703657,0.00031265683355741203,0.00011371292202966288,0.000033696509490255266,
SA(0.2),quantile-0.15,4.124,-73.625,0.4923795759677887,0.43776175379753113,0.3947922885417938,0.3252170979976654,0.2572464942932129,0.1966376155614853,0.14165370166301727,0.09618288278579712,0.06137048453092575,0.036787308752536774,0.02057640440762043,0.010882942005991936,0.005410980433225632,0.002501046983525157,0.0010520413052290678,0.00039081258000805974,0.00012327988224569708,0.000031135768949752674,,
SA(0.2),quantile-0.85,4.124,-73.625,0.5887627005577087,0.5415452122688293,0.4780232906341553,0.40223047137260437,0.3247232735157013,0.25257745385169983,0.18609362840652466,0.12962906062602997,0.08369065821170807,0.05132153630256653,0.028840946033596992,0.015469753183424473,0.008063014596700668,0.004151548724621534,0.0021826026495546103,0.0011494405334815383,0.0005789232673123479,0.0002605230547487736,0.00007669332990190014,0.000020312652850407176
SA(0.3),mean,4.124,-73.625,0.5217490196228027,0.468514084815979,0.4051890969276428,0.33559074997901917,0.26429447531700134,0.1963651180267334,0.13671746850013733,0.08890785276889801,0.054089438170194626,0.03095879778265953,0.01678430661559105,0.008671374060213566,0.00429700780659914,0.002059351187199354,0.000957575102802366,0.00042217448935844004,0.00016674899961799383,0.00005510389382834546,0.00001424856782250572,
