# Layer: hcurves-10y
# Investigation time: 1.0
imt,stat,lat,lon,iml_0.001,iml_0.0015656065579430964,iml_0.0024511238942744305,iml_0.0038374956432070686,iml_0.0060080083450830485,iml_0.009406177265238874,iml_0.014726372811633234,iml_0.023055705848607912,iml_0.036096164274587554,iml_0.05651239150488561,iml_0.08847617074509666,iml_0.13851887314021646,iml_0.21686605618721055,iml_0.3395269197619529,iml_0.531565572177533,iml_0.83222254577792,iml_1.3029330753380104,iml_2.039880567310154,iml_3.193650393601467,iml_5.0000000000000036
PGA,mean,5.328,-72.397,0.460586816072464,0.3899853527545929,0.317805677652359,0.2500896155834198,0.19000479578971863,0.13827960193157196,0.09503667056560516,0.06084389612078667,0.03612058609724045,0.020052950829267502,0.010586246848106384,0.005382486619055271,0.0026258162688463926,0.001205198117531836,0.0005083471769466996,0.00019094641902484,0.00006093531192163937,0.00001566285027365666,,
PGA,quantile-0.15,5.328,-72.397,0.38523492217063904,0.315542072057724,0.251900315284729,0.19858670234680176,0.15461963415145874,0.11692483723163605,0.08118771761655807,0.05037238448858261,0.028596296906471252,0.016446609050035477,0.008184012956917286,0.003742741420865059,0.0015871947398409247,0.0006096253637224436,0.00020328423124738038,0.000054883068514754996,0.000010825948265846819,,,
PGA,quantile-0.85,5.328,-72.397,0.5353875160217285,0.4651246666908264,0.38546469807624817,0.3042735457420349,0.22840186953544617,0.16230586171150208,0.11040928214788437,0.06988014280796051,0.04116418585181236,0.02351284958422184,0.012845133431255817,0.007471933029592037,0.004245717078447342,0.0022825116757303476,0.0011251354590058327,0.0004079237696714699,0.00014940356777515262,0.00004359525701147504,0.000013714815395360347,
SA(0.1),mean,5.328,-72.397,0.5253190994262695,0.4704481065273285,0.407499223947525,0.34149259328842163,0.277385413646698,0.21850720047950745,0.16629396378993988,0.12114016711711884,0.08344350010156631,0.05380455031991005,0.032380905002355576,0.01829703152179718,0.009810337796807289,0.005025147460401058,0.0024493166711181402,0.0011192098027095199,0.00046855496475473046,0.0001738693827064708,0.00005544603118323721,0.000014682222172268666
SA(0.1),quantile-0.15,5.328,-72.397,0.45899665355682373,0.3964559733867645,0.32941487431526184,0.2677636444568634,0.21536947786808014,0.17035409808158875,0.13238763809204102,0.09871531277894974,0.06601474434137344,0.04028037562966347,0.023570740595459938,0.013328777626156807,0.006155804730951786,0.002611940260976553,0.001016212161630392,0.0003531498950906098,0.00010503501835046336,0.00002445444988552481,,
SA(0.1),quantile-0.85,5.328,-72.397,0.6086122393608093,0.565275251865387,0.5074466466903687,0.4375443458557129,0.36079323291778564,0.28388097882270813,0.21288637816905975,0.1518276333808899,0.10264772176742554,0.06562930345535278,0.04137709364295006,0.02450723573565483,0.013717963360249996,0.008124309591948986,0.004649817477911711,0.002506675897166133,0.0012376250233501196,0.0005443361005745828,0.00020716847211588174,0.00006524073978653178
SA(0.2),mean,5.328,-72.397,0.5486569404602051,0.4959079325199127,0.4315040707588196,0.3607862591743469,0.2902511656284332,0.22515001893043518,0.1681448072195053,0.1199163943529129,0.08061297237873077,0.050478704273700714,0.029332544654607773,0.015931613743305206,0.008204729296267033,0.0040527405217289925,0.0019168712897226214,0.0008534637163393199,0.0003489039372652769,0.00012567017984110862,0.00003792971256189048,
SA(0.2),quantile-0.15,5.328,-72.397,0.4932591915130615,0.43498125672340393,0.3673672080039978,0.29806551337242126,0.2355620265007019,0.18588702380657196,0.14292918145656586,0.10507535934448242,0.07235647737979889,0.04427100718021393,0.025202486664056778,0.013082343153655529,0.006242365576326847,0.002737022005021572,0.001095035346224904,0.00039391248719766736,0.0001232654321938753,0.00003114629362244159,,
SA(0.2),quantile-0.85,5.328,-72.397,0.6161473393440247,0.5721843242645264,0.5112612843513489,0.436363160610199,0.35422372817993164,0.2731822729110718,0.2001003921031952,0.13868270814418793,0.09035474061965942,0.05487692356109619,0.03250119462609291,0.018178947269916534,0.010231763124465942,0.005658726207911968,0.00302588427439332,0.0015646914253011346,0.0007437975145876408,0.00031464555650018156,0.00008941345731727779,0.00002463123200868722
SA(0.3),mean,5.328,-72.397,0.5384589433670044,0.47995084524154663,0.41022029519081116,0.33583641052246094,0.2637604773044586,0.19887791574001312,0.14330868422985077,0.09760978072881699,0.06202596798539162,0.03649868816137314,0.019967980682849884,0.010308295488357544,0.005110024008899927,0.002450536238029599,0.0011224650079384446,0.0004796460270881653,0.00018485981854610145,0.0000613231968600303,0.00001675354542385321,
SA(0.3),quantile-0.15,5.328,-72.397,0.48198699951171875,0.4215436577796936,0.35474565625190735,0.2872011065483093,0.2257077544927597,0.17285162210464478,0.12821625173091888,0.08863627165555954,0.05679986998438835,0.032752569764852524,0.01777563989162445,0.008303381502628326,0.003618482733145356,0.0014921686379238963,0.0005767014226876199,0.0002033212804235518,0.0000623530795564875,0.00001544373662909493,,
SA(0.3),quantile-0.85,5.328,-72.397,0.5931320786476135,0.537451982498169,0.46557241678237915,0.383632093667984,0.3002602159976959,0.22320939600467682,0.1600947231054306,0.10679733008146286,0.06628607958555222,0.039786528795957565,0.022418737411499023,0.011850773356854916,0.006393766030669212,0.0033924055751413107,0.0018015322275459766,0.0008985783788375556,0.0003708623116835952,0.0001391268742736429,0.00004285362592781894,0.000010286220458510797
SA(0.5),mean,5.328,-72.397,0.4964446425437927,0.42763441801071167,0.352008193731308,0.276582270860672,0.20697444677352905,0.14659686386585236,0.09730516374111176,0.05999470502138138,0.0343160405755043,0.018390223383903503,0.009410524740815163,0.004687815438956022,0.002284854184836149,0.0010745618492364883,0.0004759809235110879,0.00019280696869827807,0.00006872644007671624,0.00002060160113614984,,
SA(0.5),quantile-0.15,5.328,-72.397,0.4396480619907379,0.3734332323074341,0.30451664328575134,0.23903916776180267,0.18076565861701965,0.13014578819274902,0.08596847206354141,0.052586592733860016,0.028612099587917328,0.013810067437589169,0.006172630470246077,0.0026158373802900314,0.0010646909940987825,0.00041308533400297165,0.0001490405120421201,0.00004795860513695516,0.000013257596037874464,,,
SA(0.5),quantile-0.85,5.328,-72.397,0.5212526917457581,0.447467565536499,0.36572006344795227,0.2881212830543518,0.22100943326950073,0.1609693169593811,0.11028316617012024,0.07050573080778122,0.04197709634900093,0.022166181355714798,0.011366400867700577,0.0064917136915028095,0.0036472019273787737,0.0019442577613517642,0.0009341920376755297,0.00041201416752301157,0.0001610658800927922,0.00005386968041420914,0.000014665420167148113,
SA(0.7),mean,5.328,-72.397,0.4323904812335968,0.3583933413028717,0.28386300802230835,0.21416400372982025,0.1528705209493637,0.1022331565618515,0.06352917850017548,0.03664081543684006,0.019790392369031906,0.010189710184931755,0.005100728943943977,0.0025021079927682877,0.0011896463111042976,0.0005354538443498313,0.00022134947357699275,0.00008107507892418653,0.000025196215574396774,,,
SA(0.7),quantile-0.15,5.328,-72.397,0.3783300817012787,0.31057775020599365,0.24594156444072723,0.18651802837848663,0.1352417916059494,0.08801062405109406,0.05583137646317482,0.03063008189201355,0.015003073029220104,0.006743805482983589,0.002853932324796915,0.0011582106817513704,0.00045114289969205856,0.00016595669148955494,0.000055553351558046415,0.00001631459417694714,,,,
SA(0.7),quantile-0.85,5.328,-72.397,0.453898161649704,0.3775537610054016,0.30026930570602417,0.22762048244476318,0.166941300034523,0.11594103276729584,0.07481823861598969,0.043956466019153595,0.023342302069067955,0.012705950066447258,0.007213710341602564,0.004030703101307154,0.002142187673598528,0.001041710376739502,0.0004534036270342767,0.00018416384409647435,0.00006348734314087778,0.00001816820804378949,,
SA(1.0),mean,5.328,-72.397,0.35410553216934204,0.2818819284439087,0.2143627405166626,0.15460176765918732,0.10467609763145447,0.0659559890627861,0.03858267143368721,0.021098656579852104,0.010962234809994698,0.005526311695575714,0.0027384613640606403,0.0013255603844299912,0.0006133685819804668,0.00026329830870963633,0.00010141380334971473,0.0000337072997353971,,,,
SA(1.0),quantile-0.15,5.328,-72.397,0.3093435764312744,0.24821308255195618,0.19140203297138214,0.13726235926151276,0.09011641144752502,0.05717172473669052,0.03320734202861786,0.017429297789931297,0.007968330755829811,0.0033802525140345097,0.0013641183031722903,0.0005307357641868293,0.00019859574967995286,0.00006935152487130836,0.000021679290512111038,,,,,
SA(1.0),quantile-0.85,5.328,-72.397,0.37826234102249146,0.3034658133983612,0.23297902941703796,0.1698683798313141,0.11625174432992935,0.07442113012075424,0.04361763224005699,0.024196980521082878,0.014001988805830479,0.007921918295323849,0.004415890201926231,0.002365387976169586,0.0011694434797391295,0.0005741578061133623,0.0002315793972229585,0.00008473098569083959,0.000026106448785867542,,,
