Record Sequence Number,EQID,SSN,Earthquake Magnitude,Dip (deg),Rake Angle (deg),ClstD (km),Rjb (km),Repi (km),Rhyp (km),Rx,Source to Site Azimuth (deg),Preferred Vs30,GMX_C1,GMX_C2,GMX_C3,Dur,AI,minFreq,PGA (g),PGV (cm/sec),PGD (cm),T0.010s,T0.020s,T0.022s,T0.025s,T0.029s,T0.030s,T0.032s,T0.035s,T0.036s,T0.040s,T0.042s,T0.044s,T0.045s,T0.046s,T0.048s,T0.050s,T0.055s,T0.060s,T0.065s,T0.067s,T0.070s,T0.075s,T0.080s,T0.085s,T0.090s,T0.095s,T0.100s,T0.110s,T0.120s,T0.130s,T0.133s,T0.140s,T0.150s,T0.160s,T0.170s,T0.180s,T0.190s,T0.200s,T0.220s,T0.240s,T0.250s,T0.260s,T0.280s,T0.290s,T0.300s,T0.320s,T0.340s,T0.350s,T0.360s,T0.380s,T0.400s,T0.420s,T0.440s,T0.450s,T0.460s,T0.480s,T0.500s,T0.550s,T0.600s,T0.650s,T0.667s,T0.700s,T0.750s,T0.800s,T0.850s,T0.900s,T0.950s,T1.000s,T1.100s,T1.200s,T1.300s,T1.400s,T1.500s,T1.600s,T1.700s,T1.800s,T1.900s,T2.000s,T2.200s,T2.400s,T2.500s,T2.600s,T2.800s,T3.000s,T3.200s,T3.400s,T3.500s,T3.600s,T3.800s,T4.000s,T4.200s,T4.400s,T4.600s,T4.800s,T5.000s,T5.500s,T6.000s,T6.500s,T7.000s,T7.500s,T8.000s,T8.500s,T9.000s,T9.500s,T10.000s,T11.000s,T12.000s,T13.000s,T14.000s,T15.000s,T20.000s,File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical)
1000040,1000003,1000008,7.28,87,-81,205.178246,196.7555119,220.2063075,232.3713792,85.65,-999,635,-999,-999,-999,99,99,-999,0.029509,2.4738,0.4858,0.02952981,0.02960361,0.02963347,0.02968643,0.02977593,0.0298024,0.029862,0.02994622,0.02994787,0.03014616,0.03029045,0.03055076,0.03072947,0.03091929,0.03125488,0.03169886,0.03462734,0.03576917,0.03310678,0.03322366,0.03483832,0.03545852,0.03513947,0.03775892,0.04005283,0.04033984,0.04659999,0.05009313,0.04750364,0.04531244,0.04388441,0.04813235,0.05422581,0.06010449,0.0599811,0.05859052,0.05699759,0.06580178,0.06460595,0.06910144,0.07027346,0.06873276,0.06782334,0.06807115,0.07043985,0.08331209,0.08265739,0.08544413,0.08675391,0.08583251,0.1089271,0.132552,0.1313341,0.1236763,0.1165588,0.1117126,0.1138666,0.09962913,0.06543257,0.06660343,0.07041443,0.06959667,0.06308397,0.05440315,0.04797668,0.04603305,0.03930794,0.03333315,0.02344752,0.01741504,0.01399431,0.01275851,0.01258202,0.01069128,0.00914262,0.007397645,0.005970435,0.005987557,0.00590098,0.00396029,0.003370916,0.002928293,0.002414647,0.002086036,0.001812125,0.001744633,0.00166028,0.001660667,0.001603502,0.001501976,0.001458859,0.001480759,0.001597429,0.001543812,0.001365667,0.001175406,0.001128912,0.001182796,0.00102804,0.000802613,0.000639955,0.000590057,0.000510981,0.000468504,0.00041276,0.000460341,0.000354517,0.000285843,0.000223465,0.000158451,6.98E-05,NGAsubRSN1000040_NIKHBNE.AT2,NGAsubRSN1000040_NIKHBNN.AT2,NGAsubRSN1000040_NIKHBNZ.AT2
1002186,1000003,1000113,7.28,87,-81,317.5411314,312.6918515,337.2490976,345.3152094,18.76,-999,635,-999,-999,-999,99,99,-999,0.013892,0.85302,0.25927,0.01392019,0.01400658,0.01403052,0.01407078,0.0141329,0.01415002,0.01418478,0.01424304,0.01426387,0.01435554,0.01440463,0.01445681,0.01448706,0.01452594,0.01457304,0.01465699,0.01495393,0.01540295,0.01669509,0.01689341,0.01783665,0.01823318,0.01950621,0.02123844,0.02159347,0.02364557,0.02467388,0.02800905,0.03172022,0.03384918,0.03783791,0.04340446,0.0348908,0.0378699,0.04722291,0.05645858,0.05914752,0.05697045,0.04738308,0.04716086,0.05193549,0.04787483,0.05212296,0.05830202,0.05621382,0.04959775,0.03887711,0.03484454,0.03350312,0.03096625,0.02507194,0.01911717,0.01744005,0.01718446,0.0165267,0.01529768,0.01432384,0.01600413,0.01507661,0.0136181,0.01312147,0.01335012,0.01155419,0.01089739,0.00957682,0.009365766,0.01005811,0.01226343,0.01186309,0.0107379,0.009122938,0.008478886,0.007611984,0.006700677,0.006046104,0.004865461,0.004708587,0.003976734,0.003418698,0.002836004,0.002935861,0.002995018,0.003231759,0.003104464,0.002212641,0.001562942,0.001398398,0.001388989,0.001262535,0.00116339,0.001091647,0.000933343,0.00081324,0.000666717,0.000553634,0.000477869,0.000534508,0.000633247,0.000654574,0.000708094,0.000585471,0.000474855,0.000396413,0.000329909,0.000272505,0.000182971,0.000132743,0.000107512,9.19E-05,7.90E-05,3.42E-05,NGAsubRSN1002186_ADKBH1.AT2,NGAsubRSN1002186_ADKBH2.AT2,NGAsubRSN1002186_ADKBHZ.AT2
1002402,1000001,1000113,7.96,25,-13,248.4254766,235.8891498,305.2999351,322.4621634,-205.89,-999,635,-999,-999,-999,99,99,-999,0.016314,1.3595,0.96431,0.01636926,0.01653622,0.01657761,0.01663955,0.0167738,0.01681138,0.01689185,0.01699537,0.0170381,0.01725625,0.01734184,0.0174783,0.01754249,0.01758632,0.01774183,0.01788025,0.01820335,0.01894176,0.02085071,0.02100322,0.02146362,0.0226434,0.02282215,0.02249404,0.02355122,0.02586411,0.0276327,0.02695499,0.02623483,0.0288502,0.03127754,0.03813055,0.03953025,0.03496945,0.03634678,0.04056555,0.0444678,0.0489464,0.04955894,0.03172721,0.03397705,0.03329579,0.03637,0.0401829,0.04102223,0.04252332,0.04270219,0.03969656,0.0372048,0.03532892,0.03934389,0.03601408,0.02965419,0.02575782,0.02234388,0.0220727,0.02055047,0.02096717,0.01736763,0.01810233,0.01749421,0.01506944,0.01408711,0.01377498,0.01275502,0.01177494,0.009943391,0.009657069,0.009957849,0.00889852,0.009630242,0.008962079,0.008682178,0.007412802,0.008675256,0.008320263,0.008056574,0.00846683,0.006580616,0.00702241,0.006503381,0.007210318,0.006971001,0.006032739,0.005219632,0.005306649,0.005450001,0.005480285,0.005560845,0.005264386,0.004741709,0.004489072,0.004474531,0.003770276,0.002937398,0.00198271,0.002164859,0.001839073,0.001417632,0.001117411,0.000966812,0.000832339,0.000706774,0.000720119,0.000712012,0.000706865,0.000583832,0.000429128,0.000364354,0.000351753,0.000189294,NGAsubRSN1002402_ADKBH1.AT2,NGAsubRSN1002402_ADKBH2.AT2,NGAsubRSN1002402_ADKBHZ.AT2
1002800,1000142,1000016,7.15,66,33,167.4883152,121.7395826,142.8611453,192.7635391,68.63,-999,665,-999,-999,-999,99,99,-999,0.1067,2.3569,0.63325,0.108171,0.1128552,0.1142688,0.1167928,0.1218506,0.1234297,0.1270288,0.1339468,0.1367985,0.152943,0.1658377,0.184045,0.192879,0.199718,0.2068717,0.2162512,0.2467044,0.2638074,0.2567238,0.2482492,0.2335717,0.2493272,0.2362921,0.2502521,0.3231,0.3571344,0.3839021,0.4355023,0.3169455,0.2754849,0.2858773,0.2589554,0.2170351,0.1929421,0.1683245,0.1989389,0.2083309,0.1987324,0.1589438,0.1748937,0.1601764,0.16028,0.1240564,0.108808,0.1049121,0.1160914,0.1185312,0.1168333,0.1126599,0.1167982,0.0984698,0.08993258,0.08625948,0.08072232,0.07422831,0.07506685,0.07639925,0.0638235,0.04479556,0.03643705,0.03276282,0.03766607,0.04083929,0.04176122,0.03908027,0.0385207,0.0336028,0.02931293,0.02399222,0.01836096,0.01391781,0.009833128,0.008733024,0.006882096,0.006386079,0.00579645,0.005751395,0.005604058,0.005709528,0.004772015,0.004614431,0.004632985,0.004805817,0.004476239,0.003917003,0.003417912,0.003161558,0.002900117,0.002433875,0.0020367,0.001773552,0.001850768,0.00195024,0.001761361,0.001487689,0.001213857,0.00117938,0.00121371,0.001281241,0.001055746,0.000886858,0.000724999,0.00061079,0.000540544,0.00050775,0.000446694,0.00039548,0.000339022,0.000291338,0.000246879,9.57E-05,NGAsubRSN1002800_BRLKBHE.AT2,NGAsubRSN1002800_BRLKBHN.AT2,NGAsubRSN1002800_BRLKBHZ.AT2
1002801,1000142,1000087,7.15,66,33,174.6665449,130.9866371,152.034453,199.6570812,73.86,-999,665,-999,-999,-999,99,99,-999,0.031559,2.1548,1.1723,0.0319566,0.03340957,0.03384306,0.03466865,0.03619102,0.03664354,0.03770599,0.03961854,0.04038624,0.04668594,0.05247737,0.05869377,0.05971494,0.06073852,0.06907855,0.07736007,0.08102202,0.08079392,0.07463453,0.07598413,0.08394412,0.08592309,0.09362634,0.1027675,0.1027251,0.1018861,0.1026248,0.08520647,0.08326151,0.09935459,0.1022679,0.1078374,0.1054039,0.1010755,0.1154034,0.100115,0.08746134,0.08371013,0.08027785,0.0933082,0.08156711,0.07518355,0.08066127,0.08850452,0.0891405,0.07501122,0.07044865,0.064099,0.06603316,0.06965394,0.06548319,0.05472234,0.04448022,0.04332196,0.04348385,0.04235861,0.04234424,0.05499751,0.05136514,0.04101706,0.04057905,0.04094156,0.03717656,0.0388611,0.03810602,0.03603991,0.03200996,0.03216948,0.02428203,0.01892099,0.01557674,0.01454752,0.0155604,0.01414929,0.01290871,0.01328417,0.01277725,0.01324708,0.01197029,0.008532457,0.006804192,0.005503543,0.004062244,0.003788765,0.004314996,0.004692894,0.004738392,0.004597065,0.004127732,0.003792576,0.003470512,0.003188791,0.002846869,0.002650528,0.002550038,0.002256181,0.002001582,0.001801942,0.001763586,0.001760689,0.001703911,0.001576029,0.00140997,0.001245026,0.001071271,0.000796676,0.000678037,0.000566598,0.000476318,0.000404622,0.000195732,NGAsubRSN1002801_BRSEBHE.AT2,NGAsubRSN1002801_BRSEBHN.AT2,NGAsubRSN1002801_BRSEBHZ.AT2
1002808,1000142,1000021,7.15,66,33,157.5251728,106.1869095,125.10973,180.0025548,82.1,-999,455,-999,-999,-999,99,99,-999,0.054999,3.9704,1.571,0.0554137,0.05670718,0.05705972,0.0577566,0.05885473,0.05913479,0.05987353,0.06110411,0.06160174,0.06420149,0.06642704,0.06985655,0.07075737,0.07308806,0.07951837,0.08061081,0.0808498,0.08951813,0.1002759,0.09951692,0.1007123,0.1182389,0.1037142,0.1087289,0.1197452,0.1296118,0.1232464,0.1354328,0.1245923,0.1296427,0.1317631,0.1440701,0.1344616,0.1224125,0.1117162,0.1257779,0.1259326,0.1190392,0.1211483,0.1265559,0.1299152,0.1383403,0.1458803,0.1458218,0.1459116,0.1479279,0.1297032,0.1299741,0.135648,0.1436408,0.139482,0.1304559,0.1391089,0.1404903,0.1377866,0.1190322,0.1024502,0.1101312,0.1096857,0.09158002,0.0900645,0.09713788,0.1085059,0.1041119,0.09104493,0.07235891,0.05735189,0.04760669,0.03856283,0.02835053,0.02373847,0.01778803,0.01591157,0.01478967,0.01461194,0.01463085,0.0136769,0.01213744,0.01141784,0.01136401,0.009801473,0.008842618,0.008263415,0.007654454,0.00675959,0.006197269,0.005958876,0.005789192,0.005781625,0.0057212,0.005515978,0.005130387,0.004869038,0.004539988,0.004197115,0.003614031,0.003314585,0.002726993,0.002140817,0.001730791,0.001407832,0.001168072,0.001039476,0.000954349,0.000886277,0.000758909,0.000623464,0.000557879,0.000488232,0.000420276,0.000223128,NGAsubRSN1002808_CNPBNE.AT2,NGAsubRSN1002808_CNPBNN.AT2,NGAsubRSN1002808_CNPBNZ.AT2
1002818,1000142,1000068,7.15,66,33,244.0711203,218.5689991,242.6309165,274.987703,-51.1,-999,399,-999,-999,-999,99,99,-999,0.045035,8.858,5.7107,0.04511084,0.0453308,0.04540451,0.04551966,0.04568454,0.04570954,0.04583531,0.04595948,0.04609273,0.04641325,0.04678777,0.04705492,0.04721553,0.04750042,0.04775785,0.04750074,0.04801095,0.04714166,0.04717808,0.04863691,0.05093405,0.05311078,0.05306194,0.05237506,0.0551967,0.05573644,0.05499214,0.06349196,0.0696804,0.06812178,0.06632631,0.07035126,0.0831679,0.09036969,0.107177,0.1313176,0.1317196,0.1242389,0.1237103,0.09696935,0.09040361,0.09545404,0.09215011,0.09267136,0.1075197,0.1125757,0.1010215,0.09313453,0.09335911,0.1007353,0.0933124,0.08160634,0.07454564,0.07762344,0.07939408,0.08136687,0.08610713,0.08919611,0.09758081,0.1283688,0.1348442,0.1199534,0.09163629,0.0912215,0.1048403,0.109716,0.09952191,0.08458007,0.06545883,0.07451914,0.08847119,0.08882909,0.09315162,0.09126972,0.0826427,0.07604428,0.0785554,0.07327146,0.06031511,0.05214988,0.05130416,0.04577209,0.03637529,0.03514091,0.03721151,0.03549055,0.03671101,0.03661429,0.03120145,0.02602883,0.02222235,0.0197286,0.01911426,0.01880484,0.0179899,0.01391549,0.01136472,0.009916302,0.008941644,0.008971634,0.007257379,0.005773005,0.00524864,0.004918089,0.004435801,0.003585915,0.002794125,0.002321803,0.001937582,0.001715514,0.00064332,NGAsubRSN1002818_FIREHNE.AT2,NGAsubRSN1002818_FIREHNN.AT2,NGAsubRSN1002818_FIREHNZ.AT2
1002829,1000142,1000029,7.15,66,33,139.5938051,80.58694,100.7890822,164.0332718,58.11,-999,455,-999,-999,-999,99,99,-999,0.20613,11.85,2.8503,0.2067195,0.2086966,0.2091997,0.210228,0.2116151,0.2120085,0.2128933,0.2143095,0.2148453,0.2172931,0.2183869,0.21969,0.2199795,0.2204831,0.2211031,0.22172,0.2213489,0.2384828,0.2349572,0.2417664,0.2515462,0.2898909,0.3177299,0.323813,0.3108293,0.3188456,0.3546089,0.3982224,0.4487908,0.520535,0.5670826,0.6418449,0.8252481,0.9603681,1.067343,0.9860223,0.9990419,0.8939561,0.6890886,0.5893459,0.5692282,0.4779108,0.3600148,0.3195247,0.3023377,0.2968842,0.3783919,0.4230786,0.4635117,0.4056523,0.32198,0.2719914,0.2411201,0.2173554,0.2051769,0.2035765,0.2041941,0.2497868,0.1899939,0.1783997,0.1996384,0.2190816,0.195932,0.1881882,0.1868429,0.1810689,0.17314,0.1730179,0.1694982,0.1411571,0.1301223,0.09467027,0.07102329,0.06410592,0.06039067,0.05528159,0.05209216,0.04937654,0.04595511,0.03698258,0.03349276,0.03129731,0.02657097,0.02131118,0.02087745,0.01886028,0.0185367,0.018076,0.01630102,0.01406244,0.01222203,0.01093633,0.01019708,0.009533169,0.009084225,0.007755375,0.006453905,0.005013163,0.003942679,0.003158331,0.002635692,0.002363884,0.002124757,0.001894614,0.001677375,0.001303998,0.001025713,0.000826478,0.000681,0.00057856,0.000306377,NGAsubRSN1002829_HOMBNE.AT2,NGAsubRSN1002829_HOMBNN.AT2,NGAsubRSN1002829_HOMBNZ.AT2
1002865,1000142,1000216,7.15,66,33,236.1814053,206.1601799,228.3599882,262.481922,70.73,-999,360,-999,-999,-999,99,99,-999,0.053212,3.4882,1.2615,0.05365199,0.05507664,0.05545301,0.05620632,0.05781678,0.05828543,0.05934181,0.06127778,0.06205126,0.06603265,0.06935772,0.07759592,0.08253998,0.089287,0.09991266,0.1060974,0.1162755,0.1353185,0.1459574,0.1550098,0.1557837,0.1672985,0.1632059,0.1810816,0.1739172,0.1594185,0.1682622,0.1738914,0.1391187,0.1000716,0.09575498,0.0949541,0.09321452,0.08057502,0.08026994,0.07485418,0.06398765,0.06297445,0.06803434,0.06497183,0.06459085,0.06437781,0.05921976,0.05923792,0.06183187,0.05630827,0.04627834,0.04256387,0.04247938,0.04244878,0.03865793,0.03840217,0.04374055,0.0451597,0.04665629,0.04777978,0.04707631,0.04266826,0.04934181,0.05783016,0.05753354,0.06076854,0.064645,0.06127921,0.05838681,0.05950214,0.06026769,0.05976306,0.04887247,0.0306296,0.03640877,0.03096441,0.02190981,0.01768331,0.01687101,0.01728073,0.01821145,0.01745517,0.01654692,0.01363141,0.01234943,0.01108965,0.00883721,0.00692626,0.005869755,0.00546019,0.005279735,0.005038745,0.004673623,0.004182509,0.003888183,0.003669058,0.003541953,0.00329545,0.003134606,0.002342289,0.002113932,0.0021056,0.001928254,0.001694866,0.001584344,0.001464133,0.001274126,0.001029119,0.000833711,0.000673051,0.000546016,0.000461123,0.000385398,0.000317711,0.000166422,NGAsubRSN1002865_SWDBNE.AT2,NGAsubRSN1002865_SWDBNN.AT2,NGAsubRSN1002865_SWDBNZ.AT2
1002911,1000142,1000233,7.15,66,33,127.8935647,67.5163645,77.5082683,150.8509424,-67.4,-999,453,-999,-999,-999,99,99,-999,0.015169,1.7473,0.9099,0.01518591,0.01524047,0.01525844,0.01528935,0.01533859,0.01535248,0.01538244,0.01543325,0.01545191,0.01553697,0.01558687,0.01564323,0.01567408,0.01570718,0.01578108,0.01586776,0.01622376,0.01724804,0.01805164,0.01816492,0.01790043,0.0191843,0.01913318,0.01884592,0.01967133,0.02125903,0.02335193,0.02676675,0.02384703,0.02216921,0.02211918,0.0214851,0.02347562,0.02516889,0.02928898,0.03088153,0.03326008,0.03250193,0.02505654,0.02518696,0.02631733,0.02810889,0.02842697,0.02896002,0.03163045,0.03640508,0.04616981,0.05155565,0.05331214,0.05887873,0.06743386,0.07083127,0.06769346,0.07533253,0.08057469,0.08367022,0.08468064,0.05960038,0.05295619,0.03541692,0.03316419,0.02610743,0.01877653,0.01716923,0.01505081,0.01305953,0.01418304,0.01390762,0.0115386,0.01060514,0.01067654,0.009671604,0.009049984,0.008230224,0.008033137,0.007701751,0.007741118,0.007584782,0.007015625,0.006407237,0.006174578,0.005951978,0.005563083,0.005453055,0.004731262,0.004121717,0.003819848,0.003511147,0.003277257,0.002957214,0.002787154,0.002672997,0.002529834,0.002447697,0.002318872,0.001971292,0.001506693,0.001139982,0.001003629,0.000864237,0.0007031,0.000648649,0.00058289,0.000517014,0.000457982,0.000389286,0.000326219,0.000289491,0.000260925,0.000241654,0.000141628,NGAsubRSN1002911_O19KBHE.AT2,NGAsubRSN1002911_O19KBHN.AT2,NGAsubRSN1002911_O19KBHZ.AT2
